table,var,format,description,nomenclature
ER_PRS_F,BSE_REM_BSE,Numérique (9),Base de remboursement (acte de base),-
ER_PRS_F,BSE_REM_MNT,Numérique (9),Montant remboursé (acte de base),-
ER_PRS_F,BSE_REM_PRU,Numérique (12),Prix unitaire (acte de base),-
ER_PRS_F,BSE_REM_SGN,Numérique (1),Signe (acte de base),IR_SGN_V
ER_PRS_F,CPL_REM_BSE,Numérique (9),Base de remboursement (complément d'acte),-
ER_PRS_F,CPL_REM_MNT,Numérique (9),Montant remboursé (complément d'acte),-
ER_PRS_F,CPL_REM_PRU,Numérique (12),Prix unitaire (complément d'acte),-
ER_PRS_F,CPL_REM_SGN,Numérique (1),Signe (complément d'acte),IR_SGN_V
ER_PRS_F,PRS_ACT_CFT,Numérique (7),Coefficient (non signé) de l'acte,-
ER_PRS_F,PRS_ACT_COG,Numérique (9),Coefficient global (signé) de l'acte,-
ER_PRS_F,PRS_ACT_NBR,Numérique (3),Dénombrement (signé) des actes,-
ER_PRS_F,PRS_ACT_QTE,Numérique (3),Quantité (signée) de l'acte,-
ER_PRS_F,PRS_DEP_MNT,Numérique (9),Montant (signé) du dépassement,-
ER_PRS_F,PRS_ETA_RAC,Numérique (9),Reste à charge de l’établissement,-
ER_PRS_F,PRS_PAI_MNT,Numérique (9),Montant (signé) de la dépense,-
ER_PRS_F,RGO_MOD_MNT,Numérique (9),Montant de la majoration de la participation de l'assuré (R. O.),-
ER_PRS_F,ORB_BSE_NUM,Caractère (6),Organisme de base de l'affiliation du bénéficiaire,IR_CAI_V
ER_PRS_F,ORL_BSE_NUM,Caractère (6),Organisme de base de liquidation des prestations,IR_CAI_V
ER_PRS_F,RGM_COD,Numérique (3),Petit régime d'affiliation,IR_RGM_V
ER_PRS_F,RGM_GRG_COD,Numérique (2),Grand régime de liquidation,IR_GRG_V
ER_PRS_F,ACC_TIE_IND,Numérique (1),"Indication de tiers sur feuille de soins en cas d'accident (0 = non, 1 = oui, 2 = sans objet)",-
ER_PRS_F,BSE_FJH_TYP,Numérique (1),Type prise en charge du forfait journalier (acte de base),IR_FJH_V
ER_PRS_F,BSE_PRS_NAT,Numérique (4),Nature de la prestation (acte de base),IR_NAT_V
ER_PRS_F,CPL_AFF_COD,Numérique (2),Code complément d'acte affiné,IR_CCA_V
ER_PRS_F,CPL_ANO_COD,Numérique (1),Code anomalie du complément affiné,IR_ANC_V
ER_PRS_F,CPL_FJH_TYP,Numérique (1),Type prise en charge FJ (complément d'acte),IR_FJH_V
ER_PRS_F,CPL_MAJ_TOP,Numérique (1),Top complément et majoration,-
ER_PRS_F,CPL_PRS_NAT,Numérique (4),Nature de prestation (complément d'acte),IR_NAT_V
ER_PRS_F,DPN_QLF,Numérique (2),Qualificatif de la dépense,IR_DEP_V
ER_PRS_F,DRG_MOD,Numérique (2),Mode de règlement,IR_MOD_V
ER_PRS_F,DRG_NAT,Numérique (2),Nature de destinataire du règlement,IR_DRG_V
ER_PRS_F,EXE_LIE_COD,Numérique (1),Code lieu d'exécution,IR_LIE_V
ER_PRS_F,EXO_MTF,Numérique (2),Motif exonération TM,IR_EXO_V
ER_PRS_F,IJR_EMP_NUM,Caractère (15),Numéro de l'employeur (IJ),-
ER_PRS_F,IJR_RVL_NAT,Caractère (2),Nature de la revalorisation (IJ),IR_RVL_V
ER_PRS_F,MTM_NAT,Numérique (8),Modulation du ticket modérateur,IR_MTM_V
ER_PRS_F,ORG_CLE_NEW,Caractère (9),Organisme de liquidation des prestations (après fusion des caisses),IR_ORG_V
ER_PRS_F,PRE_REN_COD,Caractère (1),Type de renouvellement de la prescription (opticien / pharmacien),IR_REN_V
ER_PRS_F,PRS_CRD_OPT,Numérique (1),Top option de coordination,IR_TOC_V
ER_PRS_F,PRS_DPN_QLP,Numérique (2),Qualificatif de la dépense transmis,IR_DEP_V
ER_PRS_F,PRS_NAT_REF,Numérique (4),Nature de la prestation de référence,IR_NAT_V
ER_PRS_F,PRS_OPS_TRF,Numérique (1),Indicateur de tarif opposable,IR_TOP_V
ER_PRS_F,PRS_PDS_QCP,Numérique (2),Qualificatif du parcours de soins calculé,IR_QPS_V
ER_PRS_F,PRS_PDS_QTP,Numérique (2),Qualificatif du parcours de soins transmis,IR_QPE_V
ER_PRS_F,PRS_PPF_COD,Caractère (1),Code participation forfaitaire,IR_PAF_V
ER_PRS_F,PRS_PRE_MTT,Numérique (1),Origine de la prescription,IR_TMT_V
ER_PRS_F,PRS_REF_KIN,Caractère (2),Indicateur Référentiel Entente Préalable kinésithérapie,IR_REK_V
ER_PRS_F,PRS_TOP_ENP,Numérique (1),Indicateur Top Entente Préalable,IR_TEK_V
ER_PRS_F,PRS_TYP_KIN,Caractère (1),Type de prestation de kinésithérapie,IR_TPR_V
ER_PRS_F,RGO_ASU_NAT,Numérique (2),Nature de l'assurance (R. O.),IR_ASU_V
ER_PRS_F,RGO_ENV_TYP,Numérique (2),Type d'enveloppe (R. O.),IR_ENV_V
ER_PRS_F,RGO_FTA_COD,Numérique (1),Code forçage du taux (R. O.),IR_FOR_V
ER_PRS_F,RGO_MIN_TAU,Numérique (5),Taux de remboursement modulé (R. O.),-
ER_PRS_F,RGO_REM_TAU,Numérique (5),Taux de remboursement (R. O.),-
ER_PRS_F,RGO_THE_TAU,Numérique (5),Taux de remboursement théorique (R. O.),IR_TAU_V
ER_PRS_F,ETB_PRE_FIN,Caractère (8),N° FINESS géographique établissement prescripteur,-
ER_PRS_F,PFS_EXE_NUM,Caractère (8),N° PS exécutant,-
ER_PRS_F,PFS_EXE_NUMC,Caractère (32),N° PS exécutant (anonymisé),-
ER_PRS_F,PFS_PRE_NUM,Caractère (8),N° PS prescripteur,-
ER_PRS_F,PFS_PRE_NUMC,Caractère (32),N° PS prescripteur (anonymisé),-
ER_PRS_F,PRS_MTT_NUM,Caractère (8),N° médecin traitant,-
ER_PRS_F,PRS_MTT_NUMC,Caractère (32),N° médecin traitant (anonymisé),-
ER_PRS_F,PSE_ACT_NAT,Numérique (8),Nature d'activité du PS exécutant,IR_ACT_V
ER_PRS_F,PSE_CNV_COD,Numérique (8),Code convention du PS exécutant,IR_CNV_V
ER_PRS_F,PSE_REF_ADH,Caractère (1),Top PS exécutant référent,-
ER_PRS_F,PSE_SPE_COD,Numérique (8),Spécialité médicale PS exécutant,IR_SPE_V
ER_PRS_F,PSE_STJ_COD,Numérique (8),Mode d'exercice du PS exécutant,IR_SJP_V
ER_PRS_F,PSP_ACT_NAT,Numérique (8),Nature d'activité du PS prescripteur,IR_ACT_V
ER_PRS_F,PSP_CNV_COD,Numérique (8),Code convention du PS prescripteur,IR_CNV_V
ER_PRS_F,PSP_PPS_NUM,Caractère (10),Numéro RPPS du prescripteur,-
ER_PRS_F,PSP_PPS_NUMC,Caractère (32),Numéro RPPS du prescripteur (anonymisé),-
ER_PRS_F,PSP_REF_ADH,Caractère (1),"Top prestation prescrite par un professionnel de santé adhérent à l'option référent (0 = non, 1 = oui, 2 = non disponible)",-
ER_PRS_F,PSP_SPE_COD,Numérique (8),Spécialité médicale PS prescripteur,IR_SPE_V
ER_PRS_F,PSP_STJ_COD,Numérique (8),Mode d'exercice du PS prescripteur,IR_SJP_V
ER_PRS_F,PSP_SVI_PPS,Numérique (2),Indicateur fiabilite du numero RPPS,IR_SVI_V
ER_PRS_F,DCT_ORD_NUM,Numérique (8),N° ordre décompte dans caisse                      1,-
ER_PRS_F,FLX_DIS_DTD,Date (8),Date de mise à disposition des données dans SI     2,IR_DTE_V
ER_PRS_F,FLX_EMT_NUM,Numérique (8),N° émetteur du flux                                                  3,IR_NEM_V
ER_PRS_F,FLX_EMT_ORD,Numérique (8),N° séquence du flux                                               4,IR_FLX_R
ER_PRS_F,FLX_EMT_TYP,Numérique (8),Type d'émetteur                                                      5,IR_FLP_R
ER_PRS_F,FLX_TRT_DTD,Date (8),Date de traitement des données dans SI                   6,IR_DTE_V
ER_PRS_F,ORG_CLE_NUM,Caractère (9),"Ancien concept de l'organisme de liquidation (avant fusion, jusqu’au jour J de la fusion)          7",IR_ORG_V
ER_PRS_F,PRS_ORD_NUM,Numérique (8),N° ordre prestation dans décompte                 8,-
ER_PRS_F,REM_TYP_AFF,Numérique (8),Type de remboursement affiné                                 9,-
ER_DCT_F,DCT_ARC_DTE,Date (8),Date liquidation,IR_DTE_V
ER_DCT_F,DCT_ARR_DTE,Date (8),Date arrivée du dossier,IR_DTE_V
ER_DCT_F,DCT_CTL_COD,Numérique (2),Code du contrôle,IR_CLC_V
ER_DCT_F,DCT_LOT_TCR,Caractère (1),Type certification du lot,IR_TCR_V
ER_DCT_F,DCT_CTL_TYP,Caractère (1),Type de contrôle,IR_CTL_V
ER_DCT_F,DCT_EMT_IDT,Caractère (15),Identification de l'émetteur,-
ER_DCT_F,DCT_ENT_SUP,Numérique (2),Type de saisie affinée,IR_SAF_V
ER_DCT_F,DCT_INT_VER,Caractère (2),Type de version interface tiers,IR_INT_V
ER_DCT_F,DCT_MAN_DTD,Date (8),Date de mandatement Initial,IR_DTE_V
ER_DCT_F,DCT_MUT_CMP,Caractère (1),Part mutuelle complémentaire décompte,IR_PMC_V
ER_DCT_F,DCT_MVT_SYS,Numérique (1),Type de saisie,IR_SAI_V
ER_DCT_F,DCT_REM_DTD,Date (8),Date de remboursement / recyclage,IR_DTE_V
ER_DCT_F,DCT_RGU_SNS,Caractère (1),Sens de la régularisation,IR_RGU_V
ER_DCT_F,ORG_CLE_NEW,Caractère (9),Organisme de liquidation (après fusion des caisses),IR_ORG_V
ER_DCT_F,DCT_ORD_NUM,Numérique (8),N° ordre décompte dans caisse                      1,-
ER_DCT_F,FLX_DIS_DTD,Date (8),Date de mise à disposition des données dans SI     2,IR_DTE_V
ER_DCT_F,FLX_EMT_NUM,Numérique (8),N° émetteur du flux                                                  3,IR_NEM_V
ER_DCT_F,FLX_EMT_ORD,Numérique (8),N° séquence du flux                                               4,IR_FLX_R
ER_DCT_F,FLX_EMT_TYP,Numérique (8),Type d'émetteur                                                      5,IR_FLP_R
ER_DCT_F,FLX_TRT_DTD,Date (8),Date de traitement des données dans SI                   6,IR_DTE_V
ER_DCT_F,ORG_CLE_NUM,Caractère (9),"Ancien concept de l'organisme de liquidation (avant fusion, jusqu’au jour J de la fusion)          7",IR_ORG_V
ER_DCT_F,PRS_ORD_NUM,Numérique (8),N° ordre prestation dans décompte                 8,-
ER_DCT_F,REM_TYP_AFF,Numérique (8),Type de remboursement affiné                                 9,-
ER_ANO_F,ORG_CLE_NEW,Caractère (9),Organisme de liquidation (après fusion des caisses),IR_ORG_V
ER_ANO_F,PRS_ANO_COD,Caractère (10),Type d'anomalie ou code contrôle,IR_TAN_V
ER_ANO_F,PRS_ANO_COM,Caractère (50),Commentaire  rejet / signalement,-
ER_ANO_F,PRS_ANO_DEF,Caractère (50),Valeur de remplacement,-
ER_ANO_F,PRS_ANO_DON,Caractère (11),Code donnée impactée,-
ER_ANO_F,PRS_ANO_ORI,Caractère (50),Valeur d'origine,-
ER_ANO_F,PRS_ENT_COD,Caractère (10),Code entité,-
ER_ANO_F,PRS_ENT_NUM,Numérique (8),N° ordre entité / type remboursement,-
ER_ANO_F,DCT_ORD_NUM,Numérique (8),N° ordre décompte dans caisse                      1,-
ER_ANO_F,FLX_DIS_DTD,Date (8),Date de mise à disposition des données dans SI     2,IR_DTE_V
ER_ANO_F,FLX_EMT_NUM,Numérique (8),N° émetteur du flux                                                  3,IR_NEM_V
ER_ANO_F,FLX_EMT_ORD,Numérique (8),N° séquence du flux                                               4,IR_FLX_R
ER_ANO_F,FLX_EMT_TYP,Numérique (8),Type d'émetteur                                                      5,IR_FLP_R
ER_ANO_F,FLX_TRT_DTD,Date (8),Date de traitement des données dans SI                   6,IR_DTE_V
ER_ANO_F,ORG_CLE_NUM,Caractère (9),"Ancien concept de l'organisme de liquidation (avant fusion, jusqu’au jour J de la fusion)          7",IR_ORG_V
ER_ANO_F,PRS_ORD_NUM,Numérique (8),N° ordre prestation dans décompte                 8,-
ER_ANO_F,REM_TYP_AFF,Numérique (8),Type de remboursement affiné                                 9,-
ER_CAM_F,CAM_ACT_COD,Caractère (1),"Code activité (1, 2 et 3 = activité chir/med, 4 = anesthésie, 5 = circulation extracorporelle)",-
ER_CAM_F,CAM_ACT_PRU,Numérique (7),Prix unitaire de la prestation affinée CCAM,-
ER_CAM_F,CAM_ASS_COD,Caractère (1),"Code association non prévue (1=acte de tarif le plus élevé, geste complémentaire, supplément, toujours facturés à taux plein, 2=acte associé facturé à 50 % de sa valeur, 3=acte associé facturé à 75 % de sa valeur, 4=acte spécifique facturé à 100 % de sa valeur, 5=acte facturé à 100 % de sa valeur - cas particulier actes à des moments non continus de même journée)",-
ER_CAM_F,CAM_CAB_IND,Caractère (1),Top supplément de charge en cabinet,-
ER_CAM_F,CAM_DOC_EXT,Caractère (1),Extension documentaire,-
ER_CAM_F,CAM_MOD_COD,Caractère (4),Codes modificateur,-
ER_CAM_F,CAM_ORD_NUM,Numérique (2),N° ordre prestation affinée CCAM,-
ER_CAM_F,CAM_PRS_IDE,Caractère (13),Code prestation affinée CCAM,IR_CCAM_V54
ER_CAM_F,CAM_QUA_DEN,Caractère (32),N° de la dent (non renseigné),-
ER_CAM_F,CAM_REM_BSE,Numérique (7),Base de remboursement de la CCAM,-
ER_CAM_F,CAM_REM_COD,Caractère (1),Code remboursement exceptionnel,-
ER_CAM_F,CAM_TRT_PHA,Numérique (1),"Phase de traitement (0 = phase par défaut, 1 = phase 1, 2 = phase 2, 3 = phase 3)",-
ER_CAM_F,ORG_CLE_NEW,Caractère (9),Organisme de liquidation (après fusion des caisses),IR_ORG_V
ER_CAM_F,DCT_ORD_NUM,Numérique (8),N° ordre décompte dans caisse                      1,-
ER_CAM_F,FLX_DIS_DTD,Date (8),Date de mise à disposition des données dans SI     2,IR_DTE_V
ER_CAM_F,FLX_EMT_NUM,Numérique (8),N° émetteur du flux                                                  3,IR_NEM_V
ER_CAM_F,FLX_EMT_ORD,Numérique (8),N° séquence du flux                                               4,IR_FLX_R
ER_CAM_F,FLX_EMT_TYP,Numérique (8),Type d'émetteur                                                      5,IR_FLP_R
ER_CAM_F,FLX_TRT_DTD,Date (8),Date de traitement des données dans SI                   6,IR_DTE_V
ER_CAM_F,ORG_CLE_NUM,Caractère (9),"Ancien concept de l'organisme de liquidation (avant fusion, jusqu’au jour J de la fusion)          7",IR_ORG_V
ER_CAM_F,PRS_ORD_NUM,Numérique (8),N° ordre prestation dans décompte                 8,-
ER_CAM_F,REM_TYP_AFF,Numérique (8),Type de remboursement affiné                                 9,-
ER_CPT_F,CPT_DEP_PER,Caractère (6),Période comptable,IR_PCT_V
ER_CPT_F,CPT_EXC_RTC,Numérique (4),Exercice de rattachement,-
ER_CPT_F,CPT_MIR_NUM,Caractère (20),N° compte MIRCOSS,-
ER_CPT_F,CPT_MVT_MNT,Numérique (9),Montant (signé) du mouvement comptable,-
ER_CPT_F,CPT_MVT_SGN,Numérique (1),Signe du mouvement comptable,-
ER_CPT_F,CPT_MVT_SNS,Caractère (1),Sens du mouvement comptable,IR_SNS_V
ER_CPT_F,CPT_ORD_NUM,Numérique (2),N° ordre ventilation comptable,-
ER_CPT_F,CPT_TRM_RGM,Caractère (20),N° de compte régime,-
ER_CPT_F,CPT_VEN_TYP,Numérique (2),Type de ventilation comptable,-
ER_CPT_F,GES_CPT_COD,Caractère (5),Code gestion comptable mnemonique,-
ER_CPT_F,GES_GRG_COD,Numérique (2),Grand régime de gestion comptable,-
ER_CPT_F,ORG_CLE_NEW,Caractère (9),Organisme de liquidation (après fusion des caisses),IR_ORG_V
ER_CPT_F,DCT_ORD_NUM,Numérique (8),N° ordre décompte dans caisse                      1,-
ER_CPT_F,FLX_DIS_DTD,Date (8),Date de mise à disposition des données dans SI     2,IR_DTE_V
ER_CPT_F,FLX_EMT_NUM,Numérique (8),N° émetteur du flux                                                  3,IR_NEM_V
ER_CPT_F,FLX_EMT_ORD,Numérique (8),N° séquence du flux                                               4,IR_FLX_R
ER_CPT_F,FLX_EMT_TYP,Numérique (8),Type d'émetteur                                                      5,IR_FLP_R
ER_CPT_F,FLX_TRT_DTD,Date (8),Date de traitement des données dans SI                   6,IR_DTE_V
ER_CPT_F,ORG_CLE_NUM,Caractère (9),"Ancien concept de l'organisme de liquidation (avant fusion, jusqu’au jour J de la fusion)          7",IR_ORG_V
ER_CPT_F,PRS_ORD_NUM,Numérique (8),N° ordre prestation dans décompte                 8,-
ER_CPT_F,REM_TYP_AFF,Numérique (8),Type de remboursement affiné                                 9,-
ER_PHA_F,ORG_CLE_NEW,Caractère (9),Organisme de liquidation (après fusion des caisses),IR_ORG_V
ER_PHA_F,PHA_ACT_PRU,Numérique (10),Prix unitaire de la prestation affinée pharmacie,-
ER_PHA_F,PHA_ACT_QSN,Numérique (3),Quantité affinée (signée) (nombre de boites facturées),-
ER_PHA_F,PHA_CPA_PCP ,Caractère (3),Condition particulière de prise en charge ,NA
ER_PHA_F,PHA_DEC_PRU ,"Numérique (7,2)",Prix unitaire de l'unité déconditionnée délivrée ,NA
ER_PHA_F,PHA_DEC_QSU ,Numérique (3),Quantité complète de déconditionnement signée ,NA
ER_PHA_F,PHA_DEC_TOP ,Caractère (1),Top déconditionnement ,NA
ER_PHA_F,PHA_IDE_CPL,Numérique (6),Préfixe code affiné pharmacie,-
ER_PHA_F,PHA_MOD_PRN ,Caractère (1),Mode de prescription,NA
ER_PHA_F,PHA_ORD_NUM,Numérique (3),N° ordre de la prestation affinée pharmacie,-
ER_PHA_F,PHA_PRS_C13,Numérique (13),Code CIP sur 13 caractères,IR_PHA_R
ER_PHA_F,PHA_PRS_IDE,Numérique (7),Code prestation affinée pharmacie (CIP 7 délivré),IR_PHA_R
ER_PHA_F,PHA_SEQ_RNV,Numérique (2),Séquence de renouvellement,IR_SEQ_V
ER_PHA_F,PHA_SUB_MTF,Numérique (1),Motif de substitution du médicament,IR_SUB_V
ER_PHA_F,DCT_ORD_NUM,Numérique (8),N° ordre décompte dans caisse                      1,-
ER_PHA_F,FLX_DIS_DTD,Date (8),Date de mise à disposition des données dans SI     2,IR_DTE_V
ER_PHA_F,FLX_EMT_NUM,Numérique (8),N° émetteur du flux                                                  3,IR_NEM_V
ER_PHA_F,FLX_EMT_ORD,Numérique (8),N° séquence du flux                                               4,IR_FLX_R
ER_PHA_F,FLX_EMT_TYP,Numérique (8),Type d'émetteur                                                      5,IR_FLP_R
ER_PHA_F,FLX_TRT_DTD,Date (8),Date de traitement des données dans SI                   6,IR_DTE_V
ER_PHA_F,ORG_CLE_NUM,Caractère (9),"Ancien concept de l'organisme de liquidation (avant fusion, jusqu’au jour J de la fusion)          7",IR_ORG_V
ER_PHA_F,PRS_ORD_NUM,Numérique (8),N° ordre prestation dans décompte                 8,-
ER_PHA_F,REM_TYP_AFF,Numérique (8),Type de remboursement affiné                                 9,-
ER_LOT_F,LOT_ORD_NUM,Numérique (2),Numéro d'ordre du lot de la prestation affinée pharmacie,-
ER_LOT_F,LOT_PHA_NUM,Caractère (20),Nunméro du lot,-
ER_LOT_F,LOT_PHA_QSN,Numérique (8),Quantité conditionnement signé appartenant au même lot,-
ER_LOT_F,LOT_PHA_TOP,Caractère (1),Top déconditionnement du lot,-
ER_LOT_F,LOT_SER_NUM,Caractère (20),Numéro de série,-
ER_LOT_F,ORG_CLE_NEW,Caractère (9),Organisme de liquidation (après fusion des caisses),IR_ORG_V
ER_LOT_F,DCT_ORD_NUM,Numérique (8),N° ordre décompte dans caisse                      1,-
ER_LOT_F,FLX_DIS_DTD,Date (8),Date de mise à disposition des données dans SI     2,IR_DTE_V
ER_LOT_F,FLX_EMT_NUM,Numérique (8),N° émetteur du flux                                                  3,IR_NEM_V
ER_LOT_F,FLX_EMT_ORD,Numérique (8),N° séquence du flux                                               4,IR_FLX_R
ER_LOT_F,FLX_EMT_TYP,Numérique (8),Type d'émetteur                                                      5,IR_FLP_R
ER_LOT_F,FLX_TRT_DTD,Date (8),Date de traitement des données dans SI                   6,IR_DTE_V
ER_LOT_F,ORG_CLE_NUM,Caractère (9),"Ancien concept de l'organisme de liquidation (avant fusion, jusqu’au jour J de la fusion)          7",IR_ORG_V
ER_LOT_F,PRS_ORD_NUM,Numérique (8),N° ordre prestation dans décompte                 8,-
ER_LOT_F,REM_TYP_AFF,Numérique (8),Type de remboursement affiné                                 9,-
ER_BIO_F,BIO_ACT_QSN,Caractère (9),Quantité affinée (signée),-
ER_BIO_F,BIO_ORD_NUM,Numérique (3),N° ordre prestation affinée biologie,-
ER_BIO_F,BIO_PRS_IDE,Numérique (4),Code prestation affinée biologie,IR_BIO_R
ER_BIO_F,ORG_CLE_NEW,Caractère (9),Organisme de liquidation (après fusion des caisses),IR_ORG_V
ER_BIO_F,DCT_ORD_NUM,Numérique (8),N° ordre décompte dans caisse                      1,-
ER_BIO_F,FLX_DIS_DTD,Date (8),Date de mise à disposition des données dans SI     2,IR_DTE_V
ER_BIO_F,FLX_EMT_NUM,Numérique (8),N° émetteur du flux                                                  3,IR_NEM_V
ER_BIO_F,FLX_EMT_ORD,Numérique (8),N° séquence du flux                                               4,IR_FLX_R
ER_BIO_F,FLX_EMT_TYP,Numérique (8),Type d'émetteur                                                      5,IR_FLP_R
ER_BIO_F,FLX_TRT_DTD,Date (8),Date de traitement des données dans SI                   6,IR_DTE_V
ER_BIO_F,ORG_CLE_NUM,Caractère (9),"Ancien concept de l'organisme de liquidation (avant fusion, jusqu’au jour J de la fusion)          7",IR_ORG_V
ER_BIO_F,PRS_ORD_NUM,Numérique (8),N° ordre prestation dans décompte                 8,-
ER_BIO_F,REM_TYP_AFF,Numérique (8),Type de remboursement affiné                                 9,-
ER_TIP_F,LPP_ECT_MNT,Numérique (17),Montant total de l'écart indemnisable,-
ER_TIP_F,LPP_ECU_MNT,Numérique (17),Montant unitaire de l'écart indemnisable,-
ER_TIP_F,ORG_CLE_NEW,Caractère (9),Organisme de liquidation (après fusion des caisses),IR_ORG_V
ER_TIP_F,TIP_ACL_DTD,Date (8),Date début location/achat,IR_DTE_V
ER_TIP_F,TIP_ACL_DTF,Date (8),Date fin location/achat,IR_DTE_V
ER_TIP_F,TIP_ACT_PRU,Numérique (10),Prix unitaire de la prestation affinée LPP,-
ER_TIP_F,TIP_ACT_QSN,Numérique (3),Quantité affinée (signée),-
ER_TIP_F,TIP_ORD_NUM,Numérique (3),N° ordre prestation affinée LPP,-
ER_TIP_F,TIP_PRS_IDE,Numérique (13),Code prestation affinée dispositif médical LPP,NT_LPP
ER_TIP_F,TIP_PRS_TYP,Numérique (1),Type de prestation fournie,IR_PRF_V
ER_TIP_F,TIP_PUB_PRX,Numérique (7),Prix unitaire public,-
ER_TIP_F,TIP_SIR_NUM,Caractère (14),N° SIRET fabricant/importateur,-
ER_TIP_F,DCT_ORD_NUM,Numérique (8),N° ordre décompte dans caisse                      1,-
ER_TIP_F,FLX_DIS_DTD,Date (8),Date de mise à disposition des données dans SI     2,IR_DTE_V
ER_TIP_F,FLX_EMT_NUM,Numérique (8),N° émetteur du flux                                                  3,IR_NEM_V
ER_TIP_F,FLX_EMT_ORD,Numérique (8),N° séquence du flux                                               4,IR_FLX_R
ER_TIP_F,FLX_EMT_TYP,Numérique (8),Type d'émetteur                                                      5,IR_FLP_R
ER_TIP_F,FLX_TRT_DTD,Date (8),Date de traitement des données dans SI                   6,IR_DTE_V
ER_TIP_F,ORG_CLE_NUM,Caractère (9),"Ancien concept de l'organisme de liquidation (avant fusion, jusqu’au jour J de la fusion)          7",IR_ORG_V
ER_TIP_F,PRS_ORD_NUM,Numérique (8),N° ordre prestation dans décompte                 8,-
ER_TIP_F,REM_TYP_AFF,Numérique (8),Type de remboursement affiné                                 9,-
ER_DTR_F,ORG_CLE_NEW,Caractère (9),Organisme de liquidation (après fusion des caisses),IR_ORG_V
ER_DTR_F,TRS_ACT_PRU,Numérique (10),Prix unitaire de la prestation affinée transport,-
ER_DTR_F,TRS_ACT_QSN,Numérique (5),Nombre de KM facturés/forfaits/suppléments,-
ER_DTR_F,TRS_ORD_NUM,Numérique (3),N° ordre prestation affinée transport,-
ER_DTR_F,TRS_PRS_IDE,Numérique (2),Code prestation affinée transport,IR_DTR_V
ER_DTR_F,TRS_TRS_MTF,Numérique (3),Motif du transport,IR_MTR_V
ER_DTR_F,DCT_ORD_NUM,Numérique (8),N° ordre décompte dans caisse                      1,-
ER_DTR_F,FLX_DIS_DTD,Date (8),Date de mise à disposition des données dans SI     2,IR_DTE_V
ER_DTR_F,FLX_EMT_NUM,Numérique (8),N° émetteur du flux                                                  3,IR_NEM_V
ER_DTR_F,FLX_EMT_ORD,Numérique (8),N° séquence du flux                                               4,IR_FLX_R
