;Produit;Table;Libelle;Champ
81;PMSI HAD;T_HADaa_nnDMPP;Table des diagnostics liés au MPP (mode de prise en charge principal);Public et Privé
82;PMSI HAD;T_HADaa_nnDMPA;Table des diagnostics liés au MPA (mode de prise en charge associé);Public et Privé
83;PMSI HAD;T_HADaa_nnD;Table des diagnostics associés;Public et Privé
84;PMSI HAD;T_HADaa_nnS;Synthèses des Résumés Anonyme Par Sous-Séquence;Public et Privé
85;PMSI HAD;T_HADaa_nnGRE;Table des GHT (groupage établissement);Public et Privé
86;PMSI HAD;T_HADaa_nnGRP;Table des GHT et des GHPC (groupage paprica);Public et Privé
87;PMSI HAD;T_HADaa_nnMED;Table Molécules onéreuses (fichier COMP);Public
88;PMSI HAD;T_HADaa_nnSTC;Prise en charge par l'AM de chaque séjour, pour les établissements valorisés STC ;Public
89;PMSI HAD;T_HADaa_nnFA;TableFA : Table des RSFA début de facture des établissements ex-OQN;Privé
90;PMSI HAD;T_HADaa_nnFB;Table FB : Table des RSFA facture des établissements ex-OQN;Privé
91;PMSI HAD;T_HADaa_nnFC;Table FC : Table des RSFA des honoraires des établissements ex-OQN;Privé
92;PMSI HAD;T_HADaa_nnFH;Table FH : Table des RSFA des Médicaments en sus des établissements ex-OQN;Privé
93;PMSI HAD;T_HADaa_nnFM;Table FM : Table des RSFA des actes CCAM des établissements ex-OQN;Privé
94;PMSI HAD;T_HADaa_nnFL;Table FL : Table des actes de biologie (issus de la NABM) des établissements ex-OQN;Privé
95;PMSI HAD;T_HADaa_nnFI;Table FI : Table des RSFA interruption de séjour des établissements ex-OQN;Privé
96;PMSI HAD;T_HADaa_nnFP;Table FP : Table des RSFA des LPP/DMI en sus des établissements ex-OQN;Privé
97;PMSI HAD;T_HADaa_nnMEDATU;Fich comp médicament soumis à autorisation temporaire d'utilisation;Public et Privé
98;PMSI HAD;T_HADaa_nnMEDCHL;Fich comp Médicament coûteux hors liste en sus et hors ATU;Public et Privé
99;PMSI HAD;T_HADaa_nnEHPA;Table des conventions HAD-EHPA;Public et Privé
100;PMSI SSR;T_SSRaa_nnB;Description du Séjour;Public et Privé
101;PMSI SSR;T_SSRaa_nnC;NIR patient et Dates de soin;Public et Privé
102;PMSI SSR;T_SSRaa_nnCCAM;Acte CCAM;Public et Privé
103;PMSI SSR;T_SSRaa_nnCSARR;actes du Catalogue spécifique des actes de rééducation et réadaptation;Public et Privé
104;PMSI SSR;T_SSRaa_nnD;diagnostic associé;Public et Privé
105;PMSI SSR;T_SSRaa_nnE;Etablissement;Public et Privé
106;PMSI SSR;T_SSRaa_nnS;synthese;Public et Privé
107;PMSI SSR;T_SSRaa_nnGME;GME;Public et Privé
108;PMSI SSR;T_SSRaa_nnMED;Med en sus;Public et Privé
109;PMSI SSR;T_SSRaa_nnMEDATU;Med à autorisation temporaire d'utilisation;Public et Privé
110;PMSI SSR;T_SSRaa_nnLEG;Erreurs détectées par la fonction groupage;Public et Privé
111;PMSI SSR;T_SSRaa_nnSTC;facturation patient DGF;Public
112;PMSI SSR;T_SSRaa_nnCSTC;ACE NIR/date;Public
113;PMSI SSR;T_SSRaa_nnFASTC;ACE Entete facture;Public
114;PMSI SSR;T_SSRaa_nnFBSTC;ACE Prestation;Public
115;PMSI SSR;T_SSRaa_nnFCSTC;ACE Honoraire;Public
116;PMSI SSR;T_SSRaa_nnFLSTC;ACE actes de biologie (issus de la NABM);Public
117;PMSI SSR;T_SSRaa_nnFMSTC;ACE actes CCAM;Public
118;PMSI SSR;T_SSRaa_nnFA;OQN Entete facture;Privé
119;PMSI SSR;T_SSRaa_nnFB;OQN Prestation;Privé
120;PMSI SSR;T_SSRaa_nnFC;OQN Honoraire;Privé
121;PMSI SSR;T_SSRaa_nnFI;OQN Interruption séjour;Privé
122;PMSI SSR;T_SSRaa_nnFL;OQN actes de biologie (issus de la NABM);Privé
123;PMSI SSR;T_SSRaa_nnFH;OQN med en sus;Privé
124;PMSI SSR;T_SSRaa_nnFM;OQN actes CCAM;Privé
125;PMSI SSR;T_SSRaa_nnFP;OQN DMI en sus;Privé
126;PMSI RIM-P;T_RIPaa_nnRA;Résumé par acte ambulatoire anonymisé;Public (et qq privé)
127;PMSI RIM-P;T_RIPaa_nnR3AD;Diagnostic associé à l'acte;Public (et qq privé)
128;PMSI RIM-P;T_RIPaa_nnRSA;Résumé par séquence;Public et Privé
129;PMSI RIM-P;T_RIPaa_nnCCAM;Actes CCAM;Public et Privé
130;PMSI RIM-P;T_RIPaa_nnRSAD;Diagnostic associé à la séquence;Public et Privé
131;PMSI RIM-P;T_RIPaa_nnC;chainage;Public et Privé
132;PMSI RIM-P;T_RIPaa_nnE;etablissement;Public et Privé
133;PMSI RIM-P;T_RIPaa_nnS;Synthèse du Séjour de Résumé par séquence anonymisé;Public et Privé
134;PMSI RIM-P;T_RIPaa_nnSTC;Prise en charge patient pour etb DG;Public
135;PMSI RIM-P;T_RIPaa_nnISOCONT;Fich Comp : Isolement et contention;Public
136;PMSI RIM-P;T_RIPaa_nnFA;debut facture;Privé
137;PMSI RIM-P;T_RIPaa_nnFB;prestation hospitalière;Privé
138;PMSI RIM-P;T_RIPaa_nnFC;honoraire;Privé
139;PMSI RIM-P;T_RIPaa_nnFH;medicament;Privé
140;PMSI RIM-P;T_RIPaa_nnFI;interruption de sejour;Privé
141;PMSI RIM-P;T_RIPaa_nnFL;actes de Biologie;Privé
142;PMSI RIM-P;T_RIPaa_nnFM;ccam;Privé
143;PMSI RIM-P;T_RIPaa_nnFP;prothese;Privé
