"nom_table";"CAM_PRS_IDE_COD";"CAM_PRS_IDE_LIB"
"CAM_PRS_IDE";"AAQP002";"Électroencéphalographie continue ambulatoire sur 8 dérivations ou plus, pendant au moins 24 heures [Holter EEG]"
"CAM_PRS_IDE";"AAQP009";"Électroencéphalographie avec quantification, sur 32 dérivations ou plus"
"CAM_PRS_IDE";"AAQP900";"Électroencéphalographie avec modélisation de sources, sur 32 dérivations ou plus"
"CAM_PRS_IDE";"AALA002";"Implantation d'électrode subdurale pour enregistrement électrocorticographique, par craniotomie"
"CAM_PRS_IDE";"AALB002";"Implantation d'électrode intracérébrale pour enregistrement électroencéphalographique, par voie stéréotaxique"
"CAM_PRS_IDE";"AAQP013";"Surveillance électrocorticographique continue avec enregistrement vidéo, par 24 heures"
"CAM_PRS_IDE";"AAQP003";"Surveillance électroencéphalographique continue sans enregistrement vidéo, par 24 heures"
"CAM_PRS_IDE";"AAQP012";"Surveillance électroencéphalographique continue avec enregistrement vidéo, par 24 heures"
"CAM_PRS_IDE";"AMQP009";"Évaluation diurne de la vigilance ou de l'endormissement par épreuves itératives"
"CAM_PRS_IDE";"AMQP010";"Polysomnographie de 4 à 8 heures, sans enregistrement vidéo"
"CAM_PRS_IDE";"AMQP011";"Polysomnographie de 4 à 8 heures, avec enregistrement vidéo"
"CAM_PRS_IDE";"AMQP012";"Polysomnographie de 8 à 12 heures, sans enregistrement vidéo"
"CAM_PRS_IDE";"AMQP013";"Polysomnographie de 8 à 12 heures, avec enregistrement vidéo"
"CAM_PRS_IDE";"AMQP014";"Polysomnographie de 12 à 24 heures, sans enregistrement vidéo"
"CAM_PRS_IDE";"AMQP015";"Polysomnographie de 12 à 24 heures, avec enregistrement vidéo"
"CAM_PRS_IDE";"AJQP001";"Mesure des réponses cutanées sympathiques par électrode de surface"
"CAM_PRS_IDE";"ABLB001";"Pose d'un cathéter ventriculaire cérébral par voie transcrânienne, avec mesure instantanée de la pression intracrânienne et tests dynamiques"
"CAM_PRS_IDE";"ABLB002";"Pose d'un capteur ventriculaire de pression intracrânienne, par voie transcrânienne"
"CAM_PRS_IDE";"ABLB003";"Pose d'un capteur extraventriculaire de pression intracrânienne, par voie transcrânienne"
"CAM_PRS_IDE";"AFLB004";"Pose d'un cathéter intrathécal spinal par voie lombale transcutanée, avec mesure instantanée de la pression du liquide cérébrospinal et tests dynamiques"
"CAM_PRS_IDE";"ABGA001";"Ablation d'un capteur de pression intracrânienne"
"CAM_PRS_IDE";"ABQP001";"Surveillance continue de la pression intracrânienne, par 24 heures"
"CAM_PRS_IDE";"AAQM002";"Échographie transfontanellaire de l'encéphale"
"CAM_PRS_IDE";"AEQM001";"Échographie transcutanée de la moelle épinière"
"CAM_PRS_IDE";"AEQH002";"Myélographie cervicale"
"CAM_PRS_IDE";"AEQH001";"Myélographie dorsale et/ou lombale"
"CAM_PRS_IDE";"AFQH003";"Myélographie avec scanographie de la colonne vertébrale [Myéloscanner]"
"CAM_PRS_IDE";"AFQH002";"Saccoradiculographie"
"CAM_PRS_IDE";"AFQH001";"Saccoradiculographie avec scanographie de la colonne vertébrale"
"CAM_PRS_IDE";"ACQK001";"Scanographie du crâne et de son contenu, sans injection de produit de contraste"
"CAM_PRS_IDE";"ACQH003";"Scanographie du crâne et de son contenu, avec injection intraveineuse de produit de contraste"
"CAM_PRS_IDE";"ACQH001";"Scanographie du crâne et de son contenu, avec injection intrathécale de produit de contraste [Cysternoscanner]"
"CAM_PRS_IDE";"ACQK003";"Scanographie du crâne et de son contenu et/ou du massif facial pour repérage stéréotaxique"
"CAM_PRS_IDE";"ACQH002";"Scanographie du crâne, de son contenu et du thorax, avec injection intraveineuse de produit de contraste"
"CAM_PRS_IDE";"ACQH004";"Scanographie du crâne, de son contenu et du tronc, avec injection intraveineuse de produit de contraste"
"CAM_PRS_IDE";"ACQN001";"Remnographie [IRM] du crâne et de son contenu, sans injection intraveineuse de produit de contraste"
"CAM_PRS_IDE";"ACQJ002";"Remnographie [IRM] du crâne et de son contenu, avec injection intraveineuse de produit de contraste"
"CAM_PRS_IDE";"ACQN003";"Remnographie [IRM] du crâne et de son contenu pour procédure stéréotaxique"
"CAM_PRS_IDE";"ACQN002";"Remnographie [IRM] du crâne et de son contenu et/ou du massif facial pour planification dosimétrique"
"CAM_PRS_IDE";"ACQN004";"Remnographie [IRM] du crâne et de son contenu, avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion"
"CAM_PRS_IDE";"ACQJ001";"Remnographie [IRM] du crâne et de son contenu avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion, avec remnographie des vaisseaux [angio-IRM] cervicocéphaliques"
"CAM_PRS_IDE";"AAQN004";"Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions motrices"
"CAM_PRS_IDE";"AAQN900";"Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions visuelles"
"CAM_PRS_IDE";"AAQN901";"Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions phasiques"
"CAM_PRS_IDE";"AAQN902";"Spectroscopie par résonance magnétique cérébrale protonique [Chemical shift imaging] [CSI]"
"CAM_PRS_IDE";"AAQN002";"Spectroscopie par résonance magnétique cérébrale protonique localisée"
"CAM_PRS_IDE";"AAQN903";"Spectroscopie par résonance magnétique cérébrale du phosphore"
"CAM_PRS_IDE";"ACQL007";"Tomoscintigraphie de perfusion cérébrale sans test d'activation"
"CAM_PRS_IDE";"ACQL005";"Tomoscintigraphie de perfusion cérébrale avec test d'activation et quantification complexe"
"CAM_PRS_IDE";"ACQL008";"Tomoscintigraphie de perfusion cérébrale après épreuve pharmacodynamique"
"CAM_PRS_IDE";"ACQL004";"Tomoscintigraphie de perfusion cérébrale en période critique"
"CAM_PRS_IDE";"ACQL001";"Tomoscintigraphie cérébrale à l'aide de marqueur de la neurotransmission et/ou du métabolisme"
"CAM_PRS_IDE";"ACQL003";"Tomoscintigraphie cérébrale pour diagnostic et bilan de tumeur cérébrale"
"CAM_PRS_IDE";"ACQL002";"Tomoscintigraphie cérébrale par émission de positons, avec tépographe [caméra TEP] dédié"
"CAM_PRS_IDE";"ABQL002";"Cisternographie radio-isotopique"
"CAM_PRS_IDE";"ABQL003";"Recherche radio-isotopique d'une brèche ostéoméningée"
"CAM_PRS_IDE";"ABML001";"Vérification radio-isotopique d'une dérivation du liquide cérébrospinal"
"CAM_PRS_IDE";"BLQP001";"Enregistrement des potentiels évoqués visuels avec stimulation par flash lumineux"
"CAM_PRS_IDE";"BLQP009";"Enregistrement des potentiels évoqués visuels par inversion du stimulus de contraste"
"CAM_PRS_IDE";"CDQP017";"Enregistrement des potentiels évoqués auditifs précoces pour étude des temps de conduction et mesure des amplitudes"
"CAM_PRS_IDE";"CDQP006";"Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sans anesthésie générale"
"CAM_PRS_IDE";"CDQP014";"Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sous anesthésie générale"
"CAM_PRS_IDE";"CDQP008";"Enregistrement des potentiels évoqués auditifs de moyennes et de longues latences avec mesure des amplitudes et latences des réponses"
"CAM_PRS_IDE";"CEQP008";"Enregistrement des potentiels évoqués vestibulaires d'origine sacculaire [potentiels évoqués otolithiques] [potentiels évoqués sacculocolliques] par électromyographie"
"CAM_PRS_IDE";"ANQP004";"Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation bilatérale d'un ou de 2 nerfs des membres supérieurs ou inférieurs"
"CAM_PRS_IDE";"ANQP006";"Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation bilatérale de 3 nerfs ou plus des membres supérieurs et inférieurs"
"CAM_PRS_IDE";"ANQP002";"Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation des nerfs pudendaux [nerfs honteux]"
"CAM_PRS_IDE";"AHQP004";"Enregistrement des potentiels moteurs par stimulation corticale et/ou spinale"
"CAM_PRS_IDE";"ALQP001";"Enregistrement des potentiels évoqués cognitifs événementiels"
"CAM_PRS_IDE";"ANQP005";"Enregistrement des potentiels évoqués nociceptifs avec mesure des amplitudes et des latences des réponses corticales, par stimulation au laser"
"CAM_PRS_IDE";"AZQP002";"Enregistrement de potentiels évoqués, au lit du malade"
"CAM_PRS_IDE";"ACQC001";"Exploration intracrânienne, par vidéochirurgie"
"CAM_PRS_IDE";"ABHB002";"Ponction de liquide cérébrospinal ou de collection intracrânienne, par voie transfontanellaire"
"CAM_PRS_IDE";"ABHB001";"Ponction de liquide cérébrospinal ventriculaire, par voie transcrânienne"
"CAM_PRS_IDE";"AFHB001";"Ponction de liquide cérébrospinal, par voie infraoccipitale ou latérocervicale transcutanée [Ponction sousoccipitale]"
"CAM_PRS_IDE";"AFHB002";"Ponction de liquide cérébrospinal, par voie lombale transcutanée [Ponction lombaire]"
"CAM_PRS_IDE";"ACHH001";"Ponction ou cytoponction de lésion intracrânienne, par voie transcutanée avec guidage scanographique"
"CAM_PRS_IDE";"ACHJ001";"Ponction ou cytoponction de lésion intracrânienne, par voie transcutanée avec guidage remnographique [IRM]"
"CAM_PRS_IDE";"ACHB001";"Biopsie de lésion intracrânienne, par voie transcrânienne stéréotaxique"
"CAM_PRS_IDE";"ACHA002";"Biopsie de lésion intracrânienne, par craniotomie"
"CAM_PRS_IDE";"ACHA003";"Biopsie de lésion de la base du crâne, par endoscopie buccale ou nasale"
"CAM_PRS_IDE";"ACHA001";"Biopsie de lésion de la base du crâne, par abord transoral ou nasosphénoïdal"
"CAM_PRS_IDE";"AHHB001";"Biopsie de nerf périphérique, par voie transcutanée"
"CAM_PRS_IDE";"AHHA001";"Biopsie de nerf périphérique, par abord direct"
"CAM_PRS_IDE";"AHHA002";"Biopsie neuromusculaire, par abord direct"
"CAM_PRS_IDE";"AGLB001";"Injection péridurale [épidurale] d'agent pharmacologique à visée antalgique, avec évaluation diagnostique et pronostique"
"CAM_PRS_IDE";"ANLB004";"Injection intrathécale d'agent pharmacologique à visée antalgique, avec évaluation diagnostique et pronostique"
"CAM_PRS_IDE";"ADLH001";"Infiltration anesthésique du ganglion trigéminal avec évaluation diagnostique et pronostique, avec guidage radiologique"
"CAM_PRS_IDE";"ADLH002";"Infiltration anesthésique d'une branche de division du nerf trijumeau avec évaluation diagnostique et pronostique, avec guidage radiologique"
"CAM_PRS_IDE";"ADLH003";"Infiltration anesthésique du nerf glossopharyngien avec évaluation diagnostique et pronostique, avec guidage radiologique"
"CAM_PRS_IDE";"AHLH001";"Infiltration anesthésique de nerf spinal à son émergence rachidienne avec évaluation diagnostique et pronostique, avec guidage radiologique"
"CAM_PRS_IDE";"AHLH011";"Infiltration anesthésique de branche dorsale de nerf spinal avec évaluation diagnostique et pronostique, avec guidage radiologique"
"CAM_PRS_IDE";"AHLH008";"Infiltration anesthésique unilatérale ou bilatérale du nerf grand occipital [d'Arnold] avec évaluation diagnostique et pronostique, avec guidage radiologique"
"CAM_PRS_IDE";"AHLB008";"Infiltration anesthésique du plexus brachial, avec évaluation diagnostique et pronostique"
"CAM_PRS_IDE";"AHLH016";"Infiltration anesthésique du plexus lombosacral avec évaluation diagnostique et pronostique, avec guidage radiologique"
"CAM_PRS_IDE";"AHLH005";"Infiltration anesthésique du plexus lombosacral avec évaluation diagnostique et pronostique, avec guidage scanographique"
"CAM_PRS_IDE";"AHLB007";"Infiltration anesthésique de tronc nerveux superficiel avec évaluation diagnostique et pronostique, sans stimulodétection électrique"
"CAM_PRS_IDE";"AHLB017";"Infiltration anesthésique de tronc nerveux superficiel avec évaluation diagnostique et pronostique, avec stimulodétection électrique"
"CAM_PRS_IDE";"AHLB005";"Infiltration anesthésique de tronc nerveux profond avec évaluation diagnostique et pronostique, sans guidage"
"CAM_PRS_IDE";"AHLH009";"Infiltration anesthésique de tronc nerveux profond avec évaluation diagnostique et pronostique, avec guidage radiologique"
"CAM_PRS_IDE";"AHLH020";"Infiltration anesthésique de tronc nerveux profond avec évaluation diagnostique et pronostique, avec guidage scanographique"
"CAM_PRS_IDE";"AJLH004";"Infiltration anesthésique du ganglion ptérygopalatin avec évaluation diagnostique et pronostique, avec guidage radiologique"
"CAM_PRS_IDE";"AJLH012";"Infiltration anesthésique du ganglion ptérygopalatin avec évaluation diagnostique et pronostique, avec guidage scanographique"
"CAM_PRS_IDE";"AJLB002";"Infiltration anesthésique du ganglion cervicothoracique [stellaire], avec évaluation diagnostique et pronostique"
"CAM_PRS_IDE";"AJLH014";"Infiltration anesthésique de la chaîne sympathique thoracique avec évaluation diagnostique et pronostique, avec guidage radiologique"
"CAM_PRS_IDE";"AJLH018";"Infiltration anesthésique de la chaîne sympathique thoracique avec évaluation diagnostique et pronostique, avec guidage scanographique"
"CAM_PRS_IDE";"AJLJ001";"Infiltration anesthésique des nerfs splanchniques avec évaluation diagnostique et pronostique, avec guidage échographique"
"CAM_PRS_IDE";"AJLH006";"Infiltration anesthésique des nerfs splanchniques avec évaluation diagnostique et pronostique, avec guidage radiologique"
"CAM_PRS_IDE";"AJLJ003";"Infiltration anesthésique du plexus coliaque avec évaluation diagnostique et pronostique, avec guidage échographique"
"CAM_PRS_IDE";"AJLH007";"Infiltration anesthésique du plexus coliaque avec évaluation diagnostique et pronostique, avec guidage radiologique"
"CAM_PRS_IDE";"AJLH015";"Infiltration anesthésique de la chaîne sympathique lombale avec évaluation diagnostique et pronostique, avec guidage radiologique"
"CAM_PRS_IDE";"AJLH001";"Infiltration anesthésique de la chaîne sympathique lombale avec évaluation diagnostique et pronostique, avec guidage scanographique"
"CAM_PRS_IDE";"AJLH002";"Infiltration anesthésique du plexus hypogastrique ou sacral avec évaluation diagnostique et pronostique, avec guidage radiologique"
"CAM_PRS_IDE";"AJLH010";"Infiltration anesthésique du plexus hypogastrique ou sacral avec évaluation diagnostique et pronostique, avec guidage scanographique"
"CAM_PRS_IDE";"ALQP006";"Test d'évaluation d'un déficit cognitif"
"CAM_PRS_IDE";"ALQP002";"Test d'évaluation de l'efficience intellectuelle de l'enfant"
"CAM_PRS_IDE";"ALQP005";"Test d'évaluation de l'efficience intellectuelle de l'adulte"
"CAM_PRS_IDE";"ALQP003";"Test d'évaluation d'une dépression"
"CAM_PRS_IDE";"ALQP004";"Test d'évaluation des aspects psychopathologiques de la personnalité"
"CAM_PRS_IDE";"ZFQP002";"Test d'évaluation et de catégorisation des déficiences, incapacités et désavantages sociaux"
"CAM_PRS_IDE";"ZFQP003";"Test d'évaluation de la qualité de vie"
"CAM_PRS_IDE";"AZQX005";"Examen anatomopathologique à visée carcinologique de pièce d'exérèse de tumeur de l'encéphale, de la moelle épinière, ou des méninges"
"CAM_PRS_IDE";"AZQP001";"Actimétrie de longue durée"
"CAM_PRS_IDE";"AANB001";"Destruction d'une cible intracérébrale à visée fonctionnelle, par voie stéréotaxique"
"CAM_PRS_IDE";"AAPA900";"Déconnexion d'une zone épileptogène, par craniotomie"
"CAM_PRS_IDE";"AAFA007";"Excision d'une zone épileptogène, par craniotomie"
"CAM_PRS_IDE";"AAFA004";"Hémisphérectomie fonctionnelle, par craniotomie"
"CAM_PRS_IDE";"AAFA005";"Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie"
"CAM_PRS_IDE";"AAFA002";"Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie"
"CAM_PRS_IDE";"AAFA006";"Résection de parenchyme cérébral pour infarctus expansif, par craniotomie"
"CAM_PRS_IDE";"AAJH003";"Évacuation de collection intracérébrale, par voie transcrânienne avec guidage radiologique"
"CAM_PRS_IDE";"AAJH001";"Évacuation de collection intracérébrale, par voie transcrânienne avec guidage scanographique"
"CAM_PRS_IDE";"AAJA001";"Évacuation de collection intracérébrale, par craniotomie"
"CAM_PRS_IDE";"AAJA005";"Évacuation de collection intracrânienne postopératoire, par reprise de la craniotomie précédente"
"CAM_PRS_IDE";"AAJH004";"Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage radiologique"
"CAM_PRS_IDE";"AAJH002";"Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage scanographique"
"CAM_PRS_IDE";"AAJA004";"Évacuation d'hématome intracérébral non traumatique, par craniotomie"
"CAM_PRS_IDE";"AAJA002";"Évacuation d'hématome intracérébral traumatique [contusion], par craniotomie"
"CAM_PRS_IDE";"AAFA001";"Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie"
"CAM_PRS_IDE";"AAFA008";"Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie"
"CAM_PRS_IDE";"AAFA003";"Exérèse de lésion du tronc cérébral, par craniotomie"
"CAM_PRS_IDE";"AAJA003";"Évacuation d'hématome intracérébelleux, par craniotomie"
"CAM_PRS_IDE";"AAJA006";"Parage de plaie craniocérébrale"
"CAM_PRS_IDE";"ABJB002";"Évacuation de liquide cérébrospinal ou de collection intracrânienne, par voie transfontanellaire"
"CAM_PRS_IDE";"ABJB001";"Évacuation de liquide cérébrospinal ventriculaire avec injection à visée thérapeutique, par voie transcrânienne"
"CAM_PRS_IDE";"ABLA001";"Pose d'un cathéter intraventriculaire ou intrakystique cérébral par voie transcrânienne, avec pose d'un système diffuseur ou d'une pompe implantable souscutané"
"CAM_PRS_IDE";"ABGA003";"Ablation d'un système diffuseur implanté et du cathéter intraventriculaire ou intrakystique cérébral"
"CAM_PRS_IDE";"ABLB006";"Séance d'administration intraventriculaire ou intrakystique cérébrale d'agent pharmacologique anticancéreux, par un dispositif implanté"
"CAM_PRS_IDE";"ABCB001";"Dérivation externe du liquide cérébrospinal ventriculaire ou subdural, par voie transcrânienne"
"CAM_PRS_IDE";"ABCA003";"Dérivation péritonéale d'une collection subdurale du liquide cérébrospinal crânien, par abord direct"
"CAM_PRS_IDE";"ABCA002";"Dérivation péritonéale ou atriale du liquide cérébrospinal ventriculaire, par abord direct"
"CAM_PRS_IDE";"ABCA004";"Dérivation péritonéale ou atriale de kyste intracrânien, par abord direct"
"CAM_PRS_IDE";"ABCC001";"Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par vidéochirurgie intracrânienne"
"CAM_PRS_IDE";"ABCA001";"Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par craniotomie"
"CAM_PRS_IDE";"ABMA003";"Révision ou changement d'élément d'une dérivation interne du liquide cérébrospinal, par craniotomie"
"CAM_PRS_IDE";"ABSA012";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par endoscopie"
"CAM_PRS_IDE";"ABSA010";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord paralatéronasal"
"CAM_PRS_IDE";"ABSA011";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord nasosphénoïdal"
"CAM_PRS_IDE";"ABSA005";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord orbitaire"
"CAM_PRS_IDE";"ABSA007";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par craniotomie"
"CAM_PRS_IDE";"ABSA003";"Fermeture d'une brèche ostéodurale du sinus frontal, par abord coronal"
"CAM_PRS_IDE";"ABSA001";"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par craniotomie"
"CAM_PRS_IDE";"ABSA002";"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord translabyrinthique"
"CAM_PRS_IDE";"ABSA006";"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord suprapétreux"
"CAM_PRS_IDE";"ABSA004";"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord mastoïdoattical"
"CAM_PRS_IDE";"ABSA008";"Fermeture d'une fistule postopératoire de liquide cérébrospinal de la base du crâne"
"CAM_PRS_IDE";"ABSA009";"Fermeture d'une fistule de liquide cérébrospinal ou d'une méningocèle postopératoire de la voûte crânienne, par craniotomie"
"CAM_PRS_IDE";"ABFA007";"Exérèse d'une fistule dermique avec prolongement intradural occipital"
"CAM_PRS_IDE";"ABFA003";"Exérèse et/ou fermeture de méningoencéphalocèle de la voûte crânienne"
"CAM_PRS_IDE";"ABFA001";"Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, sans rapprochement orbitaire"
"CAM_PRS_IDE";"ABFA004";"Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, avec rapprochement orbitaire"
"CAM_PRS_IDE";"ABJA005";"Évacuation d'un hématome extradural supratentoriel, par craniotomie"
"CAM_PRS_IDE";"ABJA004";"Évacuation d'un hématome extradural infratentoriel, par craniotomie"
"CAM_PRS_IDE";"ABJA007";"Évacuation d'un hématome extradural plurifocal supratentoriel et/ou infratentoriel, par craniotomie"
"CAM_PRS_IDE";"ABJA002";"Évacuation d'un hématome subdural aigu, par craniotomie"
"CAM_PRS_IDE";"ABJA003";"Évacuation d'un hématome subdural chronique unilatéral, par craniotomie"
"CAM_PRS_IDE";"ABJA006";"Évacuation d'un hématome subdural chronique bilatéral, par craniotomie"
"CAM_PRS_IDE";"ABJA008";"Évacuation d'un empyème intracrânien extracérébral, par craniotomie"
"CAM_PRS_IDE";"ABJC900";"Évacuation d'une hémorragie intraventriculaire cérébrale non traumatique, par vidéochirurgie"
"CAM_PRS_IDE";"ABJA001";"Évacuation d'une hémorragie intraventriculaire cérébrale, par craniotomie"
"CAM_PRS_IDE";"ACFA001";"Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale unilatérale"
"CAM_PRS_IDE";"ACFA015";"Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale"
"CAM_PRS_IDE";"ACFA026";"Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale et abord ethmoïdal"
"CAM_PRS_IDE";"ACFA022";"Exérèse de tumeur de la région optochiasmatique et/ou hypothalamique, par craniotomie"
"CAM_PRS_IDE";"ACFA011";"Exérèse de tumeur de l'étage moyen de la base du crâne, par craniotomie"
"CAM_PRS_IDE";"ACFA013";"Exérèse de tumeur du tiers interne de l'étage moyen de la base du crâne intéressant l'angle sphénoorbitaire, par craniotomie"
"CAM_PRS_IDE";"ACFA006";"Exérèse de tumeur de la pointe du rocher sans déroutement du nerf facial, par abord transpétreux"
"CAM_PRS_IDE";"ACFA029";"Exérèse de tumeur de la pointe du rocher avec déroutement du nerf facial, par abord transpétreux"
"CAM_PRS_IDE";"ACFA003";"Exérèse de tumeur de la pointe du rocher, par abord translabyrinthique"
"CAM_PRS_IDE";"ACFA009";"Exérèse de tumeur de la pointe du rocher, par abord suprapétreux"
"CAM_PRS_IDE";"ACFA016";"Exérèse de tumeur de la région pétroclivale sans déroutement du nerf facial, par abord transpétreux"
"CAM_PRS_IDE";"ACFA025";"Exérèse de tumeur de la région pétroclivale avec déroutement du nerf facial, par abord transpétreux"
"CAM_PRS_IDE";"ACFA004";"Exérèse de tumeur du clivus, par craniotomie"
"CAM_PRS_IDE";"ACFA020";"Exérèse de tumeur du clivus, par abord transoral ou nasosphénoïdal"
