"nom_table";"TEC_COL";"CPT_COP_NUM";"DDP_COD";"DDP_LIB";"DDP_SPE_COD";"DDP_GDE_COD";"DDP_LHS"
"IR_DDP_V";0;NA;466;"CONVALESCENCE ET READAPTATION POUR PERSONNES AGEES";42;4;1
"IR_DDP_V";0;NA;467;"CURE MEDICALE SPECIALISEE EN CARDIOLOGIE POUR ENFANTS";47;4;1
"IR_DDP_V";0;NA;468;"CURE MEDICALE SPECIALISEE EN CARDIOLOGIQUE POUR TOUS AGES";48;4;1
"IR_DDP_V";0;NA;500;"EDUCATION PROFESSIONNELLE ET SOINS SPECIALISES  POUR ADOLESCENTS DEFICIENTS VISUELS";83;8;2
"IR_DDP_V";0;NA;501;"EDUCATION PROFESSIONNELLE ET SOINS SPECIALISES POUR ADOLESCENTS POLYHANDICAPES";83;8;2
"IR_DDP_V";0;NA;502;"EDUCATION PROFESSIONNELLE ET SOINS SPECIALISES POUR ADOLESCENTS DEFICIENTS INTELLECTUELS";83;8;2
"IR_DDP_V";0;NA;503;"EDUCATION PROFESSIONNELLE ET SOINS SPECIALISES POUR TOUS TYPES DE DEFICIENCES (SAI)";83;8;2
"IR_DDP_V";0;NA;504;"EDUCATION GENERALE ET PROFESSIONNELLE ET SOINS SPECIALISES POUR ENFANTS DEFICIENTS INTELLECTUELS";83;8;2
"IR_DDP_V";0;NA;505;"EDUCATION GENERALE ET PROFESSIONNELLE ET SOINS SPECIALISES POUR TOUS TYPES DE DEFICIENCES (SAI)";83;8;2
"IR_DDP_V";0;NA;506;"REEDUCATION PROFESSIONNELLE POUR AUTRE CATEGORIE DE CLIENTELE";91;9;2
"IR_DDP_V";0;NA;510;"ACCOMPAGNEMENT MEDICO SOCIAL POUR ADULTES HANDICAPES";93;9;2
"IR_DDP_V";0;NA;552;"ENTRAINEMENT A L HEMODIALYSE A DOMICILE, A L AUTODIALYSE";14;1;1
"IR_DDP_V";0;NA;553;"ENTRAINEMENT A LA DIALYSE PERITONEALE A DOMICILE";14;1;1
"IR_DDP_V";0;NA;554;"ENTRAINEMENT A LA DIALYSE PERITONEALE CONTINUE";14;1;1
"IR_DDP_V";0;NA;555;"DIALYSE PERITONEALE";14;1;1
"IR_DDP_V";0;NA;556;"DIALYSE PERITONEALE CONTINUE";14;1;1
"IR_DDP_V";0;NA;557;"O.R.L.-STOMATOLOGIE INDIFFERENCIEES";22;2;1
"IR_DDP_V";0;NA;558;"LOGEMENT FOYER ET SECTION DE CURE INDIFFERENCIES";101;10;2
"IR_DDP_V";0;NA;559;"EDUCATION GENERALE OU SOINS POUR INFIRMES MOTEURS ET INFIRMES MOTEURS-CEREBRAUX";82;8;2
"IR_DDP_V";0;NA;560;"MAISON DE RETRAITE ET SECTION DE CURE MEDICALES INDIFFERENCIEES";101;10;2
"IR_DDP_V";0;NA;567;"ACTION SOCIO-EDUCATIVE LIEE AU LOGEMENT";86;8;2
"IR_DDP_V";0;NA;573;"HEBERGEMENT OUVERT POUR HANDICAPES PHYSIQUES ET MENTAUX";93;9;2
"IR_DDP_V";0;NA;575;"REEDUCATION PROFESSIONNELLE POUR HANDICAPES PHYSIQUES ET MENTAUX";91;9;2
"IR_DDP_V";0;NA;576;"FOYER DE VIE POUR HANDICAPES PHYSIQUES";93;9;2
"IR_DDP_V";0;NA;577;"FOYER DE VIE POUR HANDICAPES MENTAUX";93;9;2
"IR_DDP_V";0;NA;578;"FOYER DE VIE POUR HANDICAPES PHYSIQUES ET MENTAUX";93;9;2
"IR_DDP_V";0;NA;586;"HOSPICE ET SECTION DE CURE MEDICALE INDIFFERENCIES";101;10;2
"IR_DDP_V";0;NA;587;"MAISON DE RETRAITE SEMI-VALIDES";101;10;2
"IR_DDP_V";0;NA;588;"SOINS COURANTS EN ETABLISSEMENTS D HEBERGEMENTS POUR PERSONNES AGEES";101;10;2
"IR_DDP_V";0;NA;590;"EDUCATION GENERALE OU PROFESSIONNELLE POUR ARRIERES PROFONDS";81;8;2
"IR_DDP_V";0;NA;591;"EDUCATION GENERALE OU PROFESSIONNELLE POUR ARRIERES ET DEBILES PROFONDS";81;8;2
"IR_DDP_V";0;NA;592;"EDUCATION GENERALE OU PROFESSIONNELLE POUR DEBILES PROFONDS";81;8;2
"IR_DDP_V";0;NA;593;"ACCUEIL DE L ENFANT ACCOMPAGNANT SA MERE CONVALESCENTE";42;4;1
"IR_DDP_V";0;NA;594;"REPOS PRENATAL";42;4;1
"IR_DDP_V";0;NA;595;"CONVALESCENCE POSTNATALE";42;4;1
"IR_DDP_V";0;NA;604;"CURE MEDICALE NON SPECIALISEE PERMANENTE POUR ENFANTS (MECS)";47;4;1
"IR_DDP_V";0;NA;605;"CURE MEDICALE NON SPECIALISEE TEMPORAIRE POUR ENFANTS (MECS)";47;4;1
"IR_DDP_V";0;NA;606;"MECS PERMANENTE POUR CURE THERMALE POUR ENFANTS";47;4;1
"IR_DDP_V";0;NA;607;"MECS TEMPORAIRE POUR CURE THERMALE POUR ENFANTS";47;4;1
"IR_DDP_V";0;NA;608;"CURE THERMALE POUR ENFANTS ATTEINTS D AFFECTIONS CHRONIQUES NON TUBERCULEUSES DES VOIES RESPIRATOIRES (MECS OUVERTE EN PERMANENCE)";47;4;1
"IR_DDP_V";0;NA;614;"MECS PERMANENTE ENFANTS EPILEPTIQUES";47;4;1
"IR_DDP_V";0;NA;615;"MECS TEMPORAIRE ENFANTS EPILEPTIQUES";47;4;1
"IR_DDP_V";0;NA;616;"MECS PERMANENTE DEFICIENCES TEMPORAIRES SOMATO-PSYCHOLOGIQUE";47;4;1
"IR_DDP_V";0;NA;617;"MECS TEMPORAIRE DEFICIENCES TEMPORAIRES SOMATO-PSYCHOLOGIQUE";47;4;1
"IR_DDP_V";0;NA;618;"MECS PERMANENTE ENFANTS HEMOPHILES";47;4;1
"IR_DDP_V";0;NA;619;"MECS TEMPORAIRE ENFANTS HEMOPHILES";47;4;1
"IR_DDP_V";0;NA;620;"MECS PERMANENTE ENFANTS ATTEINT D INFIRMITES ORTHOPEDIQUES";47;4;1
"IR_DDP_V";0;NA;621;"MECS TEMPORAIRE ENFANTS ATTEINTS D INFIRMITES ORTHOPEDIQUES";47;4;1
"IR_DDP_V";0;NA;609;"MECS TEMPORAIRE ENFANTS ATTEINTS D AFFECTIONS CHRONIQUES NON TUBERCULEUSES DES VOIES RESPIRATOIRES";47;4;1
"IR_DDP_V";0;NA;610;"MECS PERMANENTE ENFANTS CONVALESCENTS POUR RHUMATISMES AIGUS";47;4;1
"IR_DDP_V";0;NA;611;"MECS TEMPORAIRE ENFANTS CONVALESCENTS POUR RHUMATISMES AIGUS";47;4;1
"IR_DDP_V";0;NA;612;"MECS PERMANENTE ENFANTS DIABETIQUES";47;4;1
"IR_DDP_V";0;NA;613;"MECS TEMPORAIRE ENFANTS DIABETIQUES";47;4;1
"IR_DDP_V";0;NA;622;"MECS PERMANENTE ENFANTS ENURETIQUES";47;4;1
"IR_DDP_V";0;NA;623;"MECS TEMPORAIRE ENFANTS ENURETIQUES";47;4;1
"IR_DDP_V";0;NA;624;"AUTRES MECS SPECIALISEES PERMANENTES";47;4;1
"IR_DDP_V";0;NA;625;"AUTRES MECS SPECIALISEES TEMPORAIRES";47;4;1
"IR_DDP_V";0;NA;627;"MOYEN SEJOUR INDIFFERENCIE";41;4;1
"IR_DDP_V";0;NA;628;"ORTHOPEDIE";22;2;1
"IR_DDP_V";0;NA;630;"EDUCATION GENERALE OU PROFESSIONNELLE POUR AUTRES CATEGORIES DE CLIENTELE";81;8;2
"IR_DDP_V";0;NA;631;"GYNECOLOGIE CHIRURGICALE";30;3;1
"IR_DDP_V";0;NA;632;"LOGEMENT FOYER POUR PERSONNES AGEES (F1 BIS)";101;10;2
"IR_DDP_V";0;NA;633;"ACTIVITE DES ETABLISSEMENTS ET SERVICES EXPERIMENTAUX EN FAVEUR DES PERSONNES AGEES. (ACTIVITES D ANIMATION,  INNOVATIONS SOCIALES)";102;10;2
"IR_DDP_V";0;NA;635;"REANIMATION NEONATALE";13;1;1
"IR_DDP_V";0;NA;636;"REANIMATION PEDIATRIQUE";13;1;1
"IR_DDP_V";0;NA;637;"SURVEILLANCE CONTINUE EN CARDIOLOGIE";13;1;1
"IR_DDP_V";0;NA;638;"SURVEILLANCE CONTINUE EN PEDIATRIE";13;1;1
"IR_DDP_V";0;NA;639;"SURVEILLANCE CONTINUE EN NEPHROLOGIE";13;1;1
"IR_DDP_V";0;NA;640;"SURVEILLANCE CONTINUE EN UROLOGIE";23;2;1
"IR_DDP_V";0;NA;641;"REANIMATION EN CARDIOLOGIE";13;1;1
"IR_DDP_V";0;NA;644;"NEUTRONTHERAPIE";12;1;1
"IR_DDP_V";0;NA;645;"OXYGENOTHERAPIE ISOLEE";15;1;1
"IR_DDP_V";0;NA;646;"ASSISTANCE VENTILATOIRE SANS TRACHEOTOMIE";15;1;1
"IR_DDP_V";0;NA;647;"ASSISTANCE VENTILATOIRE ENDO-TRACHEALE";15;1;1
"IR_DDP_V";0;NA;648;"TRACHEOTOMIE ISOLEE";15;1;1
"IR_DDP_V";0;NA;649;"CURE THERMALE SYSTEME NERVEUX ET AFFECTION PSYCHOSOMATIQUE";44;4;1
"IR_DDP_V";0;NA;650;"ACCUEIL TEMPORAIRE POUR ENFANTS HANDICAPES";86;8;2
"IR_DDP_V";0;NA;651;"CURE THERMALE DES AFFECTIONS DES MUQUEUSES BUCCO-LINGUALES";44;4;1
"IR_DDP_V";0;NA;654;"HEBERGEMENT SPECIALISE POUR ENFANTS ET ADOLESCENTS HANDICAPES";86;8;2
"IR_DDP_V";0;NA;657;"HEBERGEMENT TEMPORAIRE POUR PERSONNES AGEES";101;10;2
"IR_DDP_V";0;NA;658;"ACCUEIL TEMPORAIRE POUR ADULTES HANDICAPES";93;9;2
"IR_DDP_V";0;NA;663;"NUTRITION PARENTERALE POUR ENFANTS";11;1;1
"IR_DDP_V";0;NA;664;"NUTRITION PARENTERALE POUR ADULTES";11;1;1
"IR_DDP_V";0;NA;666;"EDUCATION GENERALE ET SOINS POUR ENFANTS ATTEINTS DU TROUBLE DU LANGAGE";81;8;2
"IR_DDP_V";0;NA;667;"EDUCATION GENERALE ET SOINS POUR MUETS NON SOURDS";81;8;2
"IR_DDP_V";0;NA;668;"EDUCATION GENERALE ET SOINS POUR AUTRES CATEGORIES DE CLIENTELE";81;8;2
"IR_DDP_V";0;NA;669;"EDUCATION PROFESSIONNELLE POUR CARACTERIELS";81;8;2
"IR_DDP_V";0;NA;670;"EDUCATION PROFESSIONNELLE ET SOINS SPECIALISES POUR ADO DEFICIENTS MOTEURS";82;8;2
"IR_DDP_V";0;NA;671;"EDUCATION PROFESSIONNELLE ET SOINS SPECIALISES POUR ADO DEFICIENTS AUDITIFS";83;8;2
"IR_DDP_V";0;NA;672;"EDUCATION PROFESSIONNELLE POUR AUTRES CATEGORIES DE CLIENTELE";81;8;2
"IR_DDP_V";0;NA;673;"EDUCATION GENERALE ET PROFESSIONNELLE POUR DEBILES MOYENS";81;8;2
"IR_DDP_V";0;NA;674;"EDUCATION GENERALE ET PROFESSIONNELLE POUR DEBILES LEGERS";81;8;2
"IR_DDP_V";0;NA;675;"EDUCATION GENERALE ET PROFESSIONNELLE POUR DEBILES LEGERS ET MOYENS";81;8;2
"IR_DDP_V";0;NA;676;"EDUCATION GENERALE ET PROFESSIONNELLE POUR DEBILES MOYENS ET PROFONDS";81;8;2
"IR_DDP_V";0;NA;677;"EDUCATION GENERALE ET PROFESSIONNELLE POUR CARACTERIELS";81;8;2
"IR_DDP_V";0;NA;678;"EDUCATION GENERALE ET PROFESSIONNELLE ET SOINS SPECIALISES POUR ENFANTS POLYHANDICAPES";81;8;2
"IR_DDP_V";0;NA;679;"EDUCATION GENERALE ET PROFESSIONNELLE POUR INFIRMES MOTEURS-CEREBRAUX";82;8;2
