SIN_MLP_TAB;SIN_MLP_BTR;MLP_TAB_LIB;MLP_TAB_LBC;TEC_COL
076;A;Maladies liées à des agents infectieux ou parasitaires contractées en milieu d'hospitalisation et d'hospitalisation à domicile;Maladies nosocomiales;0
077;A;Périonyxis et onyxis;Périonyxis et onyxis;0
099;A;Hémopathies provoquées par le 1.3 butadiène et tous les produits en renfermant;Hémopathies /1.3 butadiène, produits en renfermant;0
000;Y;Sans Objet;Sans Objet;2
001;A;Affections dues au plomb et à ses composés;plomb;0
002;A;Maladies causées par le mercure et ses composés;mercure;0
003;A;Intoxication par le tetrachlorethane;tetrachlorethane;0
004;A;Hémopathies dues au benzène et tous les produits en renfermant;benzene;0
004;B;Affections gastro-intestinales dues au benzène, toluène, xilène et tous produits en renfermant;Affections/benzène toluène;0
005;A;Affections liées au contact avec le phosphore et ses minéraux;Phosphore;0
006;A;Affections dues aux rayonnements ionisants;Rayonnements ionisants;0
007;A;Tetanos professionnel;Tétanos;0
008;A;Affections causées par les ciments;Ciments;0
009;A;Affections dues aux dérivés halogénés des hydrocarbures;Dérivés des hydrocarbures;0
010;A;Ulcérations et dermites dues à l'acide chromique, les chromates, chromates alcalins;Dermites par acide chromique;0
010;B;Affections respiratoires dues à l'acide chromique;Acide chromique;0
010;T;Affections cancereuses causées par l'acide chromique;Cancer chromique;0
011;A;Intoxication par le tétrachlorure de carbone;Intoxication / tétrachlorure de carbone;0
012;A;Affections provoquées par les dérivés halogénés suivant des hydrocarbures aliphatiques;Dérivés hydrocarbures aliphatiques;0
013;A;Intoxication par les dérivés nitrés et chloronitrés des carbures benzéniques;Hydrocarbures benzéniques;0
014;A;Affections dues aux dérivés altérés de phénol par le pentachlorophénol;Dérivés phénol/pentachlorophénol;0
015;A;Affections provoquées par les amines aromatiques et leurs dérivés hydroxylés;Aff/amines aromatiques/sels/dérivés;0
015;B;Affections provoquées par les amines aromatiques et les produits à l'état libre;Allergies /amines hydroxydes;0
015;T;Lésions prolifératives de la vessie provoquées par les amines aromatiques et leurs sels;Lésions de la vessie;0
016;A;Affections cutanées ou affections des muqueuses provoquées par les goudrons de houille, les huiles de houille, les brais de houille et les suies de combustion du charbon;Goudron houille;0
016;B;Affections cancéreuses par les goudrons ou huiles de houille , les brais de houille et les suies de combustion du charbon;Cancers/les goudrons, huile de houille;0
018;A;Charbon;Charbon;0
