"nom_table";"TEC_COL";"CPT_COP_NUM";"SAF_GRG_COD";"DCT_ENT_SUP";"DCT_ENT_CB2";"DCT_ENT_LIB";"DCT_GRG_LIB"
"IR_SAF_V";0;NA;4;10;"";"SAISIE INTERNE SANS SPECIFICATION";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;21;"CP";"CLINIQUES PRIVEES ET HOPITAUX";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;4;22;"CS";"CENTRES DE SANTE";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;4;23;"CT";"ETABLISSEMENT THERMAUX";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;4;25;"";"ETABLISSEMENTS EN BUDGET GLOBAL";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;4;26;"CP";"FACTURATION DIRECTE ETABLISSEMENTS PUBLICS";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;4;27;"";"PRESTATIONS EXPECES";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;28;"";"RENTES AT";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;29;"";"INVALIDITE";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;31;"ER";"PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;4;32;"IF";"INFIRMIERS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;4;33;"MK";"MASSEURS-KINESITHERAPEUTES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;4;34;"OO";"ORTHOPHONISTES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;4;35;"OY";"ORTHOPTISTES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;4;36;"PE";"PEDICURES-PODOLOGUES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;4;37;"LB";"LABORATOIRES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;4;41;"PH";"PHARMACIENS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;4;42;"TA";"TRANSPORTS SANITAIRES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;4;43;"FR";"FOURNISSEURS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;4;50;"";"FEUILLE DE SOINS + PHARMACIE";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;51;"";"AUXILIAIRES MEDICAUX";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;52;"";"LABORATOIRE";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;53;"";"DENTAIRE";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;54;"";"TRANSPORTS";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;55;"";"APPAREILLAGE";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;56;"";"COMPLEMENTAIRE";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;57;"";"REGULARISATIONS AUTRES QUE PAIEMENTS";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;58;"";"CLINIQUE PRIVEE SEJOURS";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;59;"";"VACCIN ANTI-GRIPPE";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;60;"";"SAISIE GROUPEE";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;61;"";"CLINIQUE PRIVEE HONORAIRES";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;62;"";"PAIEMENTS MANUELS";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;63;"";"PAIEMENTS MANUELS CONFIDENTIELS";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;64;"";"PAIEMENTS MANUELS NON INDIVIDUALISES";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;65;"";"PAIEMENTS DE REGULARISATION";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;66;"";"PAIEMENTS DE REGULARISATION CONFIDENTIELS";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;67;"";"PAIEMENTS DE REGULARISATION NON INDIVIDUALISES";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;68;"";"PAIEMENT DES FORFAITS MEDECIN REFERENT";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;69;"";"Tarification à l'activité";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;70;"";"Saisie des honoraires hors hospitalisation";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;71;"";"Saisie des factures pharmacie";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;72;"";"Saisie des factures de fournisseurs";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;73;"";"Recyclage des factures PO + CPL";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;74;"";"Recyclage des factures CPL seule";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;75;"";"Paiement manuel dérogatoire";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;76;"";"Paiement manuel dérogatoire (Secret médical)";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;77;"";"Paiement manuel dérogatoire (Prestations non individualisées)";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;78;"";"Paiement manuel prévention";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;79;"";"Paiement manuel prévention (Prestations non individualisées)";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;81;"";"LAD TRANSPORT";"SAISIE INTERNE : CPRP S.N.C.F."
"IR_SAF_V";0;NA;4;83;"";"PRESTATIONS SPECIFIQUES D'ACCOMPAGNEMENT - CPR";"SAISIE INTERNE CPRP SNCF"
"IR_SAF_V";0;NA;4;96;"";"PARTICIPATION FORFAITAIRE";"SAISIE INTERNE"
"IR_SAF_V";0;NA;4;98;"";"MAJORATION DU TICKET MODERATEUR HORS PARCOURS DE SOINS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;5;10;"";"PAIEMENT MANUEL SPECIFIQUE";"SAISIE INTERNE"
"IR_SAF_V";0;NA;5;1;"";"RATP";"SAISIE INTERNE : RATP"
"IR_SAF_V";0;NA;5;21;"CP";"CLINIQUES PRIVEES ET HOPITAUX";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;5;22;"CS";"CENTRES DE SANTE";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;2;63;"";"PAIEMENTS MANUELS CONFIDENTIELS";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;2;64;"";"PAIEMENTS MANUELS NON INDIVIDUALISES";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;2;65;"";"PAIEMENTS DE REGULARISATION";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;90;43;"FR";"FOURNISSEURS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;90;4;"";"RECYCLAGE IRIS";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;5;"";"SAISIE MANUELLE NORME D ECHANGE COMMUNE";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;6;"";"COMPTABILITE ANNEXE (IDENTIFICATION DES FLUX DE PAIEMENT D ACOMPTE ET DE DE SOLDE DANS LE CADRE D UNE CAISSE PIVOT";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;84;"";"PROGRES PE FI";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;85;"";"PROGRES PE DSN";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;86;"";"PROGRES PE EDI posté";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;87;"";"PROGRES PE EDI Machine-Machine";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;96;"";"PARTICIPATION FORFAITAIRE";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;98;"";"MAJORATION DU TICKET MODERATEUR HORS PARCOURS DE SOINS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";1;NA;99;99;"";"VALEUR INCONNUE";"INCONNU"
"IR_SAF_V";0;NA;9;21;"CP";"CLINIQUES PRIVEES ET HOPITAUX";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;9;22;"CS";"CENTRES DE SANTE";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;9;23;"CT";"ETABLISSEMENT THERMAUX";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;9;25;"";"ETABLISSEMENTS EN BUDGET GLOBAL";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;9;31;"ER";"PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;9;32;"IF";"INFIRMIERS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;9;33;"MK";"MASSEURS-KINESITHERAPEUTES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;9;34;"OO";"ORTHOPHONISTES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;9;35;"OY";"ORTHOPTISTES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;9;36;"PE";"PEDICURES-PODOLOGUES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;9;37;"LB";"LABORATOIRES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;9;41;"PH";"PHARMACIENS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;9;42;"TA";"TRANSPORTS SANITAIRES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;9;43;"FR";"FOURNISSEURS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;6;7;"";"REGUL - PN";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;10;7;"";"REGUL - PN";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;7;"";"REGUL - PN";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;7;84;"";"PROGRES PE FI";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;7;85;"";"PROGRES PE DSN";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;7;86;"";"PROGRES PE EDI posté";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;7;87;"";"PROGRES PE EDI Machine-Machine";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;7;9;"";"REGUL-PN DE MASSE";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;8;10;"";"SAISIE INTERNE SANS SPECIFICATION";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;8;12;"";"PROGRES PN";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;8;17;"";"SCANNER";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;8;21;"CP";"CLINIQUES PRIVEES ET HOPITAUX";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;8;22;"CS";"CENTRES DE SANTE";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;8;23;"CT";"ETABLISSEMENT THERMAUX";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;8;25;"";"ETABLISSEMENTS EN BUDGET GLOBAL";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;8;26;"CP";"FACTURATION DIRECTE ETABLISSEMENTS PUBLICS";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;8;31;"ER";"PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;8;32;"IF";"INFIRMIERS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;8;33;"MK";"MASSEURS-KINESITHERAPEUTES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;8;34;"OO";"ORTHOPHONISTES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;8;35;"OY";"ORTHOPTISTES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;8;36;"PE";"PEDICURES-PODOLOGUES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;8;37;"LB";"LABORATOIRES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;8;41;"PH";"PHARMACIENS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;8;42;"TA";"TRANSPORTS SANITAIRES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;8;43;"FR";"FOURNISSEURS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;8;4;"";"RECYCLAGE IRIS";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;8;5;"";"SAISIE MANUELLE NORME D ECHANGE COMMUNE";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;8;7;"";"REGUL - PN";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;8;96;"";"PARTICIPATION FORFAITAIRE";"SAISIE INTERNE"
"IR_SAF_V";0;NA;8;98;"";"MAJORATION DU TICKET MODERATEUR HORS PARCOURS DE SOINS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;90;10;"";"SAISIE INTERNE SANS SPECIFICATION";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;11;"";"PPNA1";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;12;"";"PROGRES PN";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;13;"";"Progrès PE PAPIER -hors réforme IJ/AS";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;14;"";"FLUX DE SEJOUR (FLSJ)";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;90;15;"";"WINB2";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;17;"";"SCANNER";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;19;"";"LASER";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;1;"";"INVALIDITE";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;21;"CP";"CLINIQUES PRIVEES ET HOPITAUX";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;90;22;"CS";"CENTRES DE SANTE";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;90;23;"CT";"ETABLISSEMENT THERMAUX";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;90;25;"";"ETABLISSEMENTS EN BUDGET GLOBAL";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;90;26;"CP";"FACTURATION DIRECTE ETABLISSEMENTS PUBLICS";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;90;2;"";"RENTES AT";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;31;"ER";"PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;90;32;"IF";"INFIRMIERS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;90;33;"MK";"MASSEURS-KINESITHERAPEUTES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;90;34;"OO";"ORTHOPHONISTES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;90;35;"OY";"ORTHOPTISTES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;90;36;"PE";"PEDICURES-PODOLOGUES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;90;37;"LB";"LABORATOIRES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;90;3;"";"CURES THERMALES (SAISIE INTERNE)";"SAISIE INTERNE REGIME GENERAL"
"IR_SAF_V";0;NA;90;41;"PH";"PHARMACIENS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;90;42;"TA";"TRANSPORTS SANITAIRES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;5;57;"";"REGULARISATIONS AUTRES QUE PAIEMENTS";"SAISIE INTERNE : RATP"
"IR_SAF_V";0;NA;5;58;"";"CLINIQUE PRIVEE SEJOURS";"SAISIE INTERNE : RATP"
"IR_SAF_V";0;NA;5;59;"";"VACCIN ANTI GRIPPE";"SAISIE INTERNE : RATP"
"IR_SAF_V";0;NA;5;5;"";"SAISIE INTERNE";"SAISIE INTERNE"
"IR_SAF_V";0;NA;5;60;"";"SAISIE GROUPEE";"SAISIE INTERNE : RATP"
"IR_SAF_V";0;NA;5;61;"";"CLINIQUE PRIVEE HONORAIRES";"SAISIE INTERNE : RATP"
"IR_SAF_V";0;NA;5;62;"";"PAIEMENTS MANUELS";"SAISIE INTERNE : RATP"
"IR_SAF_V";0;NA;5;63;"";"PAIEMENTS MANUELS CONFIDENTIELS";"SAISIE INTERNE : RATP"
"IR_SAF_V";0;NA;5;64;"";"PAIEMENTS MANUELS NON INDIVIDUALISES";"SAISIE INTERNE : RATP"
"IR_SAF_V";0;NA;5;65;"";"PAIEMENTS DE REGULARISATION";"SAISIE INTERNE : RATP"
"IR_SAF_V";0;NA;5;66;"";"PAIEMENTS DE REGULARISATION CONFIDENTIELS";"SAISIE INTERNE : RATP"
"IR_SAF_V";0;NA;5;67;"";"PAIEMENTS DE REGULARISATION NON INDIVIDUALISES";"SAISIE INTERNE : RATP"
"IR_SAF_V";0;NA;5;68;"";"PAIEMENT DES FORFAITS MEDECIN REFERENT";"SAISIE INTERNE : RATP"
"IR_SAF_V";0;NA;5;69;"";"TARIFICATION A L'ACTIVITE";"SAISIE INTERNE : RATP"
"IR_SAF_V";0;NA;5;70;"";"SAISIE DES HONORAIRES HORS HOSPITALISATION";"SAISIE INTERNE : RATP"
