"nom_table";"TEC_COL";"ALD_030_COD";"CAT_CIM_COD";"CIM_COD";"CIM_LIB";"VER_CPT_COD";"VER_CPT_DTE";"CAT_TUM_COD";"CPT_COP_NUM"
"IR_CIM_V";0;99;"B39";"B392";"Histoplasmose pulmonaire à Histoplasma capsulatum, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B39";"B393";"Histoplasmose disséminée à Histoplasma capsulatum";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B39";"B394";"Histoplasmose à Histoplasma capsulatum, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B39";"B395";"Histoplasmose à Histoplasma duboisii";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B39";"B399";"Histoplasmose, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B40";"B40";"Blastomycose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B40";"B400";"Blastomycose pulmonaire aiguë";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B40";"B401";"Blastomycose pulmonaire chronique";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B40";"B402";"Blastomycose pulmonaire, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B40";"B403";"Blastomycose cutanée";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B40";"B407";"Blastomycose disséminée";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B40";"B408";"Autres formes de blastomycose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B40";"B409";"Blastomycose, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B41";"B41";"Paracoccidioïdomycose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B41";"B410";"Paracoccidioïdomycose pulmonaire";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B41";"B417";"Paracoccidioïdomycose disséminée";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B41";"B418";"Autres formes de paracoccidioïdomycose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B41";"B419";"Paracoccidioïdomycose, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B42";"B42";"Sporotrichose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B42";"B420";"Sporotrichose pulmonaire (J99.8*)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B42";"B421";"Sporotrichose lympho-cutanée";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B42";"B427";"Sporotrichose disséminée";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B42";"B428";"Autres formes de sporotrichose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B42";"B429";"Sporotrichose, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B43";"B43";"Chromomycose (chromoblastomycose) et abcès phaeohyphomycosique";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B43";"B430";"Chromomycose cutanée";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B43";"B431";"Abcès phaeohyphomycosique du cerveau";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;7;"B22";"B222";"Maladie par VIH à l'origine d'un syndrome cachectique";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;7;"B22";"B227";"Maladie par VIH à l'origine de maladies multiples classées ailleurs";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;7;"B23";"B23";"Immunodéficience humaine virale [VIH], à l'origine d'autres maladies";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;7;"B23";"B230";"Syndrome d'infection aiguë par VIH";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;7;"B23";"B231";"Maladie par VIH à l'origine d'adénopathies généralisées (persistantes)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;7;"B23";"B232";"Maladie par VIH à l'origine d'anomalies hématologiques et immunologiques, non classées ailleurs";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;7;"B23";"B238";"Maladie par VIH à l'origine d'autres états précisés";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;7;"B24";"B24";"Immunodéficience humaine virale [VIH], sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;7;"B24";"B240";"Pré-SIDA (A.R.C.) sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B43";"B432";"Abcès et kyste phaeohyphomycosiques sous-cutanés";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B43";"B438";"Autres formes de chromomycose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B43";"B439";"Chromomycose, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B44";"B44";"Aspergillose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B44";"B440";"Aspergillose pulmonaire invasive";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B44";"B441";"Autres aspergilloses pulmonaires";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B44";"B442";"Aspergillose amygdalienne";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B44";"B447";"Aspergillose disséminée";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B44";"B448";"Autres formes d'aspergillose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B44";"B449";"Aspergillose, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B45";"B45";"Cryptococcose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B45";"B450";"Cryptococcose pulmonaire";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B45";"B451";"Cryptococcose cérébrale";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B45";"B452";"Cryptococcose cutanée";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B45";"B453";"Cryptococcose osseuse";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B45";"B457";"Cryptococcose disséminée";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B45";"B458";"Autres formes de cryptococcose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B45";"B459";"Cryptococcose, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B46";"B46";"Zygomycose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B46";"B460";"Mucormycose pulmonaire";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B46";"B461";"Mucormycose rhinocérébrale";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B46";"B462";"Mucormycose gastro-intestinale";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B46";"B463";"Mucormycose cutanée";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B46";"B464";"Mucormycose disséminée";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B46";"B465";"Mucormycose, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B46";"B468";"Autres zygomycoses";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B46";"B469";"Zygomycose, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B47";"B47";"Mycétome";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B47";"B470";"Eumycétome";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B47";"B471";"Actinomycétome";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B47";"B479";"Mycétome, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B48";"B48";"Autres mycoses, non classées ailleurs";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B48";"B480";"Lobomycose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B48";"B481";"Rhinosporidose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B48";"B482";"Allescheriase";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B48";"B483";"Géotrichose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B48";"B484";"Pénicilliose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B48";"B487";"Mycoses opportunistes";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B48";"B488";"Autres mycoses précisées";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B49";"B49";"Mycose, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B50";"B50";"Paludisme à Plasmodium falciparum";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B50";"B500";"Paludisme à Plasmodium falciparum avec complications cérébrales";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B50";"B508";"Autres formes sévères et compliquées de paludisme à Plasmodium falciparum";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B50";"B509";"Paludisme à Plasmodium falciparum, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B51";"B51";"Paludisme à Plasmodium vivax";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B51";"B510";"Paludisme à Plasmodium vivax, avec rupture de la rate";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B51";"B518";"Paludisme à Plasmodium vivax, avec autres complications";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B51";"B519";"Paludisme à Plasmodium vivax, (sans complication)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B52";"B52";"Paludisme à Plasmodium malariae";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B52";"B520";"Paludisme à Plasmodium malariae, avec atteinte rénale";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B52";"B528";"Paludisme à Plasmodium malariae, avec autres complications";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B52";"B529";"Paludisme à Plasmodium malariae, (sans complication)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B53";"B53";"Autres paludismes confirmés par examen parasitologique";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B53";"B530";"Paludisme à Plasmodium ovale";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B53";"B531";"Paludisme à plasmodies simiennes";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B53";"B538";"Autres paludismes, confirmés par examen parasitologique, non classés ailleurs";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B54";"B54";"Paludisme, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B55";"B55";"Leishmaniose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B55";"B550";"Leishmaniose viscérale";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B55";"B551";"Leishmaniose cutanée";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B55";"B552";"Leishmaniose cutanéo-muqueuse";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B55";"B559";"Leishmaniose, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B56";"B56";"Trypanosomiase africaine";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B56";"B560";"Trypanosomiase à Trypanosoma gambiense";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B56";"B561";"Trypanosomiase à Trypanosoma rhodesiense";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B56";"B569";"Trypanosomiase africaine, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B57";"B57";"Maladie de Chagas";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B57";"B570";"Forme aiguë de la maladie de Chagas, avec atteinte cardiaque (I41.2*, I98.1*)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B57";"B571";"Forme aiguë de la maladie de Chagas, (sans atteinte cardiaque)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B57";"B572";"Maladie de Chagas (chronique avec atteinte cardiaque) (I41.2*, I98.1*)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B57";"B573";"Maladie de Chagas (chronique) avec atteinte de l'appareil digestif";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B57";"B574";"Maladie de Chagas (chronique) avec atteinte du système nerveux";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B57";"B575";"Maladie de Chagas (chronique) avec atteinte d'autres organes";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B58";"B58";"Toxoplasmose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B58";"B580";"Oculopathie à Toxoplasma";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B58";"B581";"Hépatite à Toxoplasma (K77.0*)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B58";"B582";"Méningo-encéphalite à Toxoplasma (G05.2*)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B58";"B583";"Toxoplasmose pulmonaire (J17.3*)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B58";"B588";"Toxoplasmose avec atteinte d'autres organes";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B58";"B589";"Toxoplasmose, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B59";"B59";"Pneumocystose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B60";"B60";"Autres maladies dues à des protozoaires, non classées ailleurs";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B60";"B600";"Babésiose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B60";"B601";"Acanthamoebiose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B60";"B602";"Nægleriase";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B60";"B608";"Autres maladies précisées dues à des protozoaires";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B60";"B6080";"Microsporidiose extra-intestinale";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B60";"B6088";"Maladie précisée due à d'autres protozoaires";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B64";"B64";"Maladie due à des protozoaires, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;4;"B65";"B65";"Schistosomiase [bilharziose]";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;4;"B65";"B650";"Schistosomiase due à Schistosoma haematobium [schistosomiase urinaire]";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;4;"B65";"B651";"Schistosomiase due à Schistosoma mansoni [schistosomiase intestinale]";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;4;"B65";"B652";"Schistosomiase due à Schistosoma japonicum";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;4;"B65";"B653";"Dermite cercarienne";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;4;"B65";"B658";"Autres formes de schistosomiase";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;4;"B65";"B659";"Schistosomiase, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B66";"B66";"Autres infections par douves [distomatoses]";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B66";"B660";"Opisthorchiase";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B66";"B661";"Clonorchiase";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B66";"B662";"Dicrocoeliase";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B66";"B663";"Fasciolase";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B66";"B664";"Paragonimiase";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B66";"B665";"Fasciolopsiase";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B66";"B668";"Autres infections par douves précisées";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B66";"B669";"Infection par douves, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B67";"B67";"Échinococcose";"V8.0";"02JUL2017:00:00:00";NA;NA
