"nom_table";"TEC_COL";"CAT_CIM_COD";"CAT_CIM_LIB";"CPT_COP_NUM"
"IR_CCI_V";0;"E87";"Autres déséquilibres hydro-électrolytiques et acido-basiques";NA
"IR_CCI_V";0;"F13";"Troubles mentaux et du comportement liés à l'utilisation de sédatifs ou d'hypnotiques";NA
"IR_CCI_V";0;"H05";"Affections de l'orbite";NA
"IR_CCI_V";0;"H06";"Affections de l'appareil lacrymal et de l'orbite au cours de maladies classées ailleurs";NA
"IR_CCI_V";0;"H26";"Autres cataractes";NA
"IR_CCI_V";0;"H52";"Vices de réfraction et troubles de l'accommodation";NA
"IR_CCI_V";0;"H58";"Autres affections de l'oeil et de ses annexes au cours de maladies classées ailleurs";NA
"IR_CCI_V";0;"H73";"Autres affections du tympan";NA
"IR_CCI_V";0;"I01";"Rhumatisme articulaire aigu, avec atteinte cardiaque";NA
"IR_CCI_V";0;"G07";"Abcès et granulome intracrâniens et intrarachidiens au cours d'affections classées ailleurs";NA
"IR_CCI_V";0;"G25";"Autres syndromes extrapyramidaux et troubles de la motricité";NA
"IR_CCI_V";0;"G31";"Autres affections dégénératives du système nerveux, non classées ailleurs";NA
"IR_CCI_V";0;"G36";"Autres affections démyélinisantes aiguës disséminées";NA
"IR_CCI_V";0;"G45";"Accidents ischémiques cérébraux transitoires et syndromes apparentés";NA
"IR_CCI_V";0;"G52";"Affections des autres nerfs crâniens";NA
"IR_CCI_V";0;"G55";"Compression des racines et des plexus nerveux au cours de maladies classées ailleurs";NA
"IR_CCI_V";0;"G83";"Autres syndromes paralytiques";NA
"IR_CCI_V";0;"J33";"Polype nasal";NA
"IR_CCI_V";0;"J45";"Asthme";NA
"IR_CCI_V";0;"J46";"État de mal asthmatique";NA
"IR_CCI_V";0;"J62";"Pneumoconiose due à la poussière de silice";NA
"IR_CCI_V";0;"J64";"Pneumoconiose, sans précision";NA
"IR_CCI_V";0;"J80";"Syndrome de détresse respiratoire de l'adulte";NA
"IR_CCI_V";0;"J95";"Troubles respiratoires après un acte à visée diagnostique et thérapeutique, non classés ailleurs";NA
"IR_CCI_V";0;"K01";"Dents incluses et enclavées";NA
"IR_CCI_V";0;"K05";"Gingivite et maladies périodontales";NA
"IR_CCI_V";0;"K09";"Kystes de la région buccale, non classés ailleurs";NA
"IR_CCI_V";0;"I41";"Myocardite au cours de maladies classées ailleurs";NA
"IR_CCI_V";0;"I61";"Hémorragie intracérébrale";NA
"IR_CCI_V";0;"I67";"Autres maladies cérébrovasculaires";NA
"IR_CCI_V";1;"III";"Valeur Inconnue";NA
"IR_CCI_V";0;"L03";"Phlegmon";NA
"IR_CCI_V";0;"L30";"Autres dermites";NA
"IR_CCI_V";0;"L44";"Autres lésions papulo-squameuses";NA
"IR_CCI_V";0;"L55";"Coup de soleil";NA
"IR_CCI_V";0;"L58";"Radiodermite";NA
"IR_CCI_V";0;"L64";"Alopécie androgénique";NA
"IR_CCI_V";0;"L68";"Hypertrichose";NA
"IR_CCI_V";0;"L71";"Acné rosacée";NA
"IR_CCI_V";0;"L81";"Autres anomalies de la pigmentation";NA
"IR_CCI_V";0;"L88";"Pyodermite gangréneuse";NA
"IR_CCI_V";0;"K30";"Dyspepsie fonctionnelle";NA
"IR_CCI_V";0;"K71";"Maladie toxique du foie";NA
"IR_CCI_V";0;"K85";"Pancréatite aiguë";NA
"IR_CCI_V";0;"M10";"Goutte";NA
"IR_CCI_V";0;"M11";"Autres arthropathies dues à des microcristaux";NA
"IR_CCI_V";0;"M35";"Autres atteintes systémiques du tissu conjonctif";NA
"IR_CCI_V";0;"M14";"Arthropathies au cours d'autres maladies classées ailleurs";NA
"IR_CCI_V";0;"M15";"Polyarthrose";NA
"IR_CCI_V";0;"M20";"Déformations des doigts et des orteils";NA
"IR_CCI_V";0;"M62";"Autres atteintes musculaires";NA
"IR_CCI_V";0;"M72";"Affections fibroblastiques";NA
"IR_CCI_V";0;"M99";"Lésions biomécaniques, non classées ailleurs";NA
"IR_CCI_V";0;"M90";"Ostéopathie au cours de maladies classées ailleurs";NA
"IR_CCI_V";0;"N92";"Ménorragie, polyménorrhée et métrorragie";NA
"IR_CCI_V";0;"N93";"Autres saignements anormaux de l'utérus et du vagin";NA
"IR_CCI_V";0;"N97";"Stérilité de la femme";NA
"IR_CCI_V";0;"N99";"Affections de l'appareil génito-urinaire après un acte à visée diagnostique et thérapeutique, non classées ailleurs";NA
"IR_CCI_V";0;"O05";"Autres formes d'avortement";NA
"IR_CCI_V";0;"O07";"Échec d'une tentative d'avortement";NA
"IR_CCI_V";0;"O23";"Infections de l'appareil génito-urinaire au cours de la grossesse";NA
"IR_CCI_V";0;"O30";"Grossesse multiple";NA
"IR_CCI_V";0;"N10";"Néphrite tubulo-interstitielle aiguë";NA
"IR_CCI_V";0;"N34";"Urétrite et syndrome urétral";NA
"IR_CCI_V";0;"N42";"Autres affections de la prostate";NA
"IR_CCI_V";0;"N61";"Affections inflammatoires du sein";NA
"IR_CCI_V";0;"N70";"Salpingite et ovarite";NA
"IR_CCI_V";0;"P91";"Autres affections cérébrales du nouveau-né";NA
"IR_CCI_V";0;"P95";"Mort foetale de cause non précisée";NA
"IR_CCI_V";0;"Q10";"Malformations congénitales des paupières, de l'appareil lacrymal et de l'orbite";NA
"IR_CCI_V";0;"Q11";"Anophtalmie, microphtalmie et macrophtalmie";NA
"IR_CCI_V";0;"Q22";"Malformations congénitales de la valve pulmonaire et de la valvule tricuspide";NA
"IR_CCI_V";0;"Q27";"Autres malformations congénitales de l'appareil circulatoire périphérique";NA
"IR_CCI_V";0;"Q33";"Malformations congénitales du poumon";NA
"IR_CCI_V";0;"Q37";"Fente labio-palatine";NA
"IR_CCI_V";0;"O71";"Autres traumatismes obstétricaux";NA
"IR_CCI_V";0;"O86";"Autres infections puerpérales";NA
"IR_CCI_V";0;"P01";"Foetus et nouveau-né affectés par les complications de la grossesse chez la mère";NA
"IR_CCI_V";0;"P60";"Coagulation intravasculaire disséminée chez le foetus et le nouveau-né";NA
"IR_CCI_V";0;"R03";"Constatation d'une anomalie de la tension artérielle, sans diagnostic";NA
"IR_CCI_V";0;"R11";"Nausées et vomissements";NA
"IR_CCI_V";0;"R16";"Hépatomégalie et splénomégalie, non classées ailleurs";NA
"IR_CCI_V";0;"R18";"Ascite";NA
"IR_CCI_V";0;"R19";"Autres symptômes et signes relatifs à l'appareil digestif et à l'abdomen";NA
"IR_CCI_V";0;"R31";"Hématurie, sans précision";NA
"IR_CCI_V";0;"R36";"Écoulement urétral";NA
"IR_CCI_V";0;"R43";"Troubles de l'odorat et du goût";NA
"IR_CCI_V";0;"R45";"Symptômes et signes relatifs à l'humeur";NA
"IR_CCI_V";0;"R49";"Troubles de la voix";NA
"IR_CCI_V";0;"B95";"Streptocoques et staphylocoques, cause de maladies classées dans d'autres chapitres";NA
"IR_CCI_V";0;"C19";"Tumeur maligne de la jonction recto-sigmoïdienne";NA
"IR_CCI_V";0;"C20";"Tumeur maligne du rectum";NA
"IR_CCI_V";0;"C22";"Tumeur maligne du foie et des voies biliaires intrahépatiques";NA
"IR_CCI_V";0;"C25";"Tumeur maligne du pancréas";NA
"IR_CCI_V";0;"C37";"Tumeur maligne du thymus";NA
"IR_CCI_V";0;"D89";"Autres anomalies du système immunitaire, non classées ailleurs";NA
"IR_CCI_V";0;"E40";"Kwashiorkor";NA
"IR_CCI_V";0;"E51";"Carence en thiamine";NA
"IR_CCI_V";0;"E58";"Carence alimentaire en calcium";NA
"IR_CCI_V";0;"E64";"Séquelles de malnutrition et autres carences nutritionnelles";NA
"IR_CCI_V";0;"D40";"Tumeur des organes génitaux de l'homme à évolution imprévisible ou inconnue";NA
"IR_CCI_V";0;"D43";"Tumeur de l'encéphale et du système nerveux central à évolution imprévisible ou inconnue";NA
"IR_CCI_V";0;"D48";"Tumeur de sièges autres et non précisés à évolution imprévisible ou inconnue";NA
"IR_CCI_V";0;"D55";"Anémie due à des anomalies enzymatiques";NA
"IR_CCI_V";0;"D58";"Autres anémies hémolytiques héréditaires";NA
"IR_CCI_V";0;"P13";"Lésion du squelette due à un traumatisme obstétrical";NA
"IR_CCI_V";0;"P57";"Ictère nucléaire";NA
"IR_CCI_V";0;"P71";"Anomalies transitoires du métabolisme du calcium et du magnésium du nouveau-né";NA
"IR_CCI_V";0;"Q98";"Autres anomalies des chromosomes sexuels, phénotype masculin, non classées ailleurs";NA
"IR_CCI_V";0;"R00";"Anomalies du rythme cardiaque";NA
"IR_CCI_V";0;"R04";"Hémorragie des voies respiratoires";NA
"IR_CCI_V";0;"R09";"Autres symptômes et signes relatifs aux appareils circulatoire et respiratoire";NA
"IR_CCI_V";0;"R15";"Incontinence des matières fécales";NA
"IR_CCI_V";0;"R25";"Mouvements involontaires anormaux";NA
"IR_CCI_V";0;"R30";"Douleur à la miction";NA
"IR_CCI_V";0;"R35";"Polyurie";NA
"IR_CCI_V";0;"R54";"Sénilité";NA
"IR_CCI_V";0;"R81";"Glycosurie";NA
"IR_CCI_V";0;"R86";"Résultats anormaux de prélèvements effectués sur les organes génitaux de l'homme";NA
"IR_CCI_V";0;"R92";"Résultats anormaux d'imagerie diagnostique du sein";NA
"IR_CCI_V";0;"Q43";"Autres malformations congénitales de l'intestin";NA
"IR_CCI_V";0;"Q45";"Autres malformations congénitales de l'appareil digestif";NA
"IR_CCI_V";0;"Q51";"Malformations congénitales de l'utérus et du col de l'utérus";NA
"IR_CCI_V";0;"Q55";"Autres malformations congénitales des organes génitaux de l'homme";NA
"IR_CCI_V";0;"Q56";"Non-différenciation sexuelle et pseudo-hermaphrodisme";NA
"IR_CCI_V";0;"Q63";"Autres malformations congénitales du rein";NA
"IR_CCI_V";0;"Q84";"Autres malformations congénitales de la peau et des phanères";NA
"IR_CCI_V";0;"S56";"Lésion traumatique de muscles et de tendons au niveau de l'avant-bras";NA
"IR_CCI_V";0;"S76";"Lésion traumatique de muscles et de tendons au niveau de la hanche et de la cuisse";NA
"IR_CCI_V";0;"S77";"Écrasement de la hanche et de la cuisse";NA
"IR_CCI_V";0;"S03";"Luxation, entorse et foulure d'articulations et de ligaments de la tête";NA
"IR_CCI_V";0;"S05";"Lésion traumatique de l'oeil et de l'orbite";NA
"IR_CCI_V";0;"S12";"Fracture du cou";NA
"IR_CCI_V";0;"S39";"Lésions traumatiques de l'abdomen, des lombes et du bassin, autres et sans précision";NA
"IR_CCI_V";0;"U84";"Résistance aux autres antimicrobiens";NA
"IR_CCI_V";0;"V79";"Occupant d'un autobus blessé dans des accidents de transport, autres et sans précision";NA
"IR_CCI_V";0;"V11";"Cycliste blessé dans une collision avec un autre cycle";NA
"IR_CCI_V";0;"X47";"Intoxication accidentelle par d'autres gaz et émanations et exposition à ces produits";NA
"IR_CCI_V";0;"V89";"Accident avec un véhicule avec ou sans moteur, type de véhicule non précisé";NA
"IR_CCI_V";0;"X50";"Surmenage et mouvements épuisants ou répétés";NA
"IR_CCI_V";0;"Y43";"Effets indésirables des substances d'action pharmacologique essentiellement systémique";NA
"IR_CCI_V";0;"V24";"Motocycliste blessé dans une collision avec un véhicule lourd ou un autobus";NA
"IR_CCI_V";0;"Y53";"Effets indésirables des substances agissant essentiellement sur le tractus gastro-intestinal";NA
"IR_CCI_V";0;"W11";"Chute sur ou d'une échelle";NA
"IR_CCI_V";0;"Z04";"Examen et mise en observation pour d'autres raisons";NA
"IR_CCI_V";0;"V45";"Occupant d'une automobile blessé dans une collision avec un train ou un véhicule ferroviaire";NA
"IR_CCI_V";0;"W22";"Heurt contre ou par d'autres objets";NA
"IR_CCI_V";0;"W26";"Contact avec un couteau, une épée ou un poignard";NA
"IR_CCI_V";0;"Y75";"Appareils utilisés en neurologie, associés à des accidents";NA
"IR_CCI_V";0;"V49";"Occupant d'une automobile blessé dans des accidents de transport, autres et sans précision";NA
"IR_CCI_V";0;"W29";"Contact avec d'autres outils manuels électriques et appareils électroménagers";NA
"IR_CCI_V";0;"W30";"Contact avec du matériel agricole";NA
"IR_CCI_V";0;"X83";"Lésion auto-infligée par d'autres moyens précisés";NA
"IR_CCI_V";0;"X89";"Agression par d'autres produits chimiques et nocifs précisés";NA
"IR_CCI_V";0;"Z20";"Sujets en contact avec et exposés à des maladies transmissibles";NA
"IR_CCI_V";0;"Z35";"Surveillance d'une grossesse à haut risque";NA
"IR_CCI_V";0;"V55";"Occupant d'une camionnette blessé dans une collision avec un train ou un véhicule ferroviaire";NA
"IR_CCI_V";0;"X95";"Agression par des armes à feu, autres et sans précision";NA
"IR_CCI_V";0;"X97";"Agression par la fumée, le feu et les flammes";NA
"IR_CCI_V";0;"Y48";"Effets indésirables des anesthésiques et gaz thérapeutiques";NA
"IR_CCI_V";0;"Y49";"Effets indésirables des médicaments psychotropes, non classés ailleurs";NA
"IR_CCI_V";0;"Y50";"Effets indésirables des stimulants du système nerveux central, non classés ailleurs";NA
"IR_CCI_V";0;"Y52";"Effets indésirables des substances agissant essentiellement sur le système cardio-vasculaire";NA
"IR_CCI_V";0;"V57";"Occupant d'une camionnette blessé dans une collision avec un objet fixe ou stationnaire";NA
"IR_CCI_V";0;"W55";"Morsure ou coup donné par d'autres mammifères";NA
"IR_CCI_V";0;"X99";"Agression par objet tranchant";NA
"IR_CCI_V";0;"Y01";"Agression par précipitation dans le vide";NA
"IR_CCI_V";0;"Y02";"Agression en poussant ou plaçant la victime devant un objet en mouvement";NA
"IR_CCI_V";0;"Y04";"Agression par la force physique";NA
"IR_CCI_V";0;"Y81";"Appareils utilisés en chirurgie générale et esthétique, associés à des accidents";NA
"IR_CCI_V";0;"Y82";"Appareils associés à des accidents, autres et sans précision";NA
"IR_CCI_V";0;"Y90";"Preuves du rôle de l'alcool confirmé par le taux d'alcoolémie";NA
"IR_CCI_V";0;"Y13";"Intoxication par d'autres substances pharmacologiques agissant sur le système nerveux autonome et exposition à ces produits, intention non déterminée";NA
"IR_CCI_V";0;"Z36";"Dépistage prénatal";NA
"IR_CCI_V";0;"Z45";"Ajustement et entretien d'une prothèse interne";NA
"IR_CCI_V";0;"Z49";"Surveillance d'une dialyse";NA
"IR_CCI_V";0;"T00";"Lésions traumatiques superficielles de plusieurs parties du corps";NA
"IR_CCI_V";0;"W70";"Noyade et submersion consécutives à une chute dans des eaux naturelles";NA
"IR_CCI_V";0;"Y16";"Intoxication par des solvants organiques et des hydrocarbures halogénés et leurs émanations et exposition à ces produits, intention non déterminée";NA
"IR_CCI_V";0;"T04";"Écrasements de plusieurs parties du corps";NA
"IR_CCI_V";0;"T54";"Effet toxique de substances corrosives";NA
"IR_CCI_V";0;"T66";"Effets de rayonnements, sans précision";NA
"IR_CCI_V";0;"T14";"Lésions traumatiques d'une partie du corps non précisée";NA
"IR_CCI_V";0;"T23";"Brûlure et corrosion du poignet et de la main";NA
"IR_CCI_V";0;"W93";"Exposition à un froid artificiel excessif";NA
"IR_CCI_V";0;"X20";"Contact avec des serpents et des lézards venimeux";NA
"IR_CCI_V";0;"T25";"Brûlure et corrosion de la cheville et du pied";NA
"IR_CCI_V";0;"T29";"Brûlures et corrosions de parties multiples du corps";NA
"IR_CCI_V";0;"A33";"Tétanos néonatal";NA
"IR_CCI_V";0;"A34";"Tétanos obstétrical";NA
"IR_CCI_V";0;"A49";"Infection bactérienne, siège non précisé";NA
"IR_CCI_V";0;"A50";"Syphilis congénitale";NA
"IR_CCI_V";0;"A54";"Infection gonococcique";NA
"IR_CCI_V";0;"A55";"Lymphogranulomatose vénérienne à Chlamydia";NA
"IR_CCI_V";0;"A77";"Fièvre pourprée [rickettsioses à tiques]";NA
"IR_CCI_V";0;"A78";"Fièvre Q";NA
"IR_CCI_V";0;"A81";"Infections atypiques à virus, du système nerveux central";NA
"IR_CCI_V";0;"A82";"Rage";NA
"IR_CCI_V";0;"A83";"Encéphalite virale transmise par des moustiques";NA
"IR_CCI_V";0;"A89";"Infection virale du système nerveux central, sans précision";NA
"IR_CCI_V";0;"B03";"Variole";NA
"IR_CCI_V";0;"B20";"Immunodéficience humaine virale [VIH], à l'origine de maladies infectieuses et parasitaires";NA
"IR_CCI_V";0;"B25";"Maladie à cytomégalovirus";NA
"IR_CCI_V";0;"B38";"Coccidioïdomycose";NA
"IR_CCI_V";0;"A08";"Infections virales intestinales et autres infections intestinales précisées";NA
"IR_CCI_V";0;"C79";"Tumeur maligne secondaire de sièges autres et non précisés";NA
"IR_CCI_V";0;"C82";"Lymphome folliculaire";NA
"IR_CCI_V";0;"Q12";"Malformations congénitales du cristallin";NA
"IR_CCI_V";0;"Q20";"Malformations congénitales des cavités et des orifices cardiaques";NA
"IR_CCI_V";0;"O72";"Hémorragie du post-partum";NA
"IR_CCI_V";0;"O87";"Complications veineuses et hémorroïdes au cours de la puerpéralité";NA
"IR_CCI_V";0;"O88";"Embolie obstétricale";NA
"IR_CCI_V";0;"O92";"Autres mastopathies et anomalies de la lactation associées à l'accouchement";NA
"IR_CCI_V";0;"O97";"Mort de sequelles relevant d'une cause obstetricale";NA
"IR_CCI_V";0;"P05";"Retard de croissance et malnutrition du foetus";NA
"IR_CCI_V";0;"P24";"Syndromes néonatals d'aspiration";NA
"IR_CCI_V";0;"P37";"Autres maladies infectieuses et parasitaires congénitales";NA
"IR_CCI_V";0;"P56";"Anasarque foetoplacentaire due à une maladie hémolytique";NA
"IR_CCI_V";0;"P58";"Ictère néonatal dû à d'autres hémolyses excessives";NA
"IR_CCI_V";0;"R21";"Rash et autres éruptions cutanées non spécifiques";NA
"IR_CCI_V";0;"R74";"Anomalies des taux d'enzymes sériques";NA
"IR_CCI_V";0;"R80";"Protéinurie isolée";NA
"IR_CCI_V";0;"R82";"Autres résultats anormaux de l'examen des urines";NA
"IR_CCI_V";0;"R90";"Résultats anormaux d'imagerie diagnostique du système nerveux central";NA
"IR_CCI_V";0;"S00";"Lésion traumatique superficielle de la tête";NA
"IR_CCI_V";0;"Q78";"Autres ostéochondrodysplasies";NA
"IR_CCI_V";0;"Q87";"Autres syndromes congénitaux malformatifs précisés atteignant plusieurs systèmes";NA
"IR_CCI_V";0;"S53";"Luxation, entorse et foulure des articulations et des ligaments du coude";NA
"IR_CCI_V";0;"S62";"Fracture au niveau du poignet et de la main";NA
"IR_CCI_V";0;"S63";"Luxation, entorse et foulure d'articulations et de ligaments au niveau du poignet et de la main";NA
"IR_CCI_V";0;"S70";"Lésion traumatique superficielle de la hanche et de la cuisse";NA
"IR_CCI_V";0;"S87";"Écrasement de la jambe";NA
"IR_CCI_V";0;"S20";"Lésion traumatique superficielle du thorax";NA
"IR_CCI_V";0;"S25";"Lésion traumatique de vaisseaux sanguins du thorax";NA
"IR_CCI_V";0;"S32";"Fracture du rachis lombaire et du bassin";NA
"IR_CCI_V";0;"S35";"Lésion traumatique de vaisseaux sanguins au niveau de l'abdomen, des lombes et du bassin";NA
"IR_CCI_V";0;"S41";"Plaie ouverte de l'épaule et du bras";NA
"IR_CCI_V";0;"Z84";"Antécédents familiaux d'autres affections";NA
"IR_CCI_V";2;"XXX";"Sans Objet";NA
"IR_CCI_V";0;"Z91";"Antécédents personnels de facteurs de risque, non classés ailleurs";NA
"IR_CCI_V";0;"Z96";"Présence d'autres implants fonctionnels";NA
"IR_CCI_V";0;"Z98";"Autres états post-chirurgicaux";NA
"IR_CCI_V";0;"Z70";"Conseils relatifs aux attitudes, comportement et orientation en matière de sexualité";NA
"IR_CCI_V";0;"Z76";"Sujet ayant recours aux services de santé dans d'autres circonstances";NA
"IR_CCI_V";0;"T36";"Intoxication par antibiotiques systémiques";NA
"IR_CCI_V";0;"T41";"Intoxication par anesthésiques et gaz thérapeutiques";NA
"IR_CCI_V";0;"E77";"Anomalies du métabolisme des glycoprotéines";NA
"IR_CCI_V";0;"F04";"Syndrome amnésique organique, non induit par l'alcool et d'autres substances psycho-actives";NA
"IR_CCI_V";0;"F06";"Autres troubles mentaux dus à une lésion cérébrale et un dysfonctionnement cérébral, et à une affection somatique";NA
"IR_CCI_V";0;"F14";"Troubles mentaux et du comportement liés à l'utilisation de cocaïne";NA
"IR_CCI_V";0;"F15";"Troubles mentaux et du comportement liés à l'utilisation d'autres stimulants, y compris la caféine";NA
"IR_CCI_V";0;"F17";"Troubles mentaux et du comportement liés à l'utilisation de tabac";NA
"IR_CCI_V";0;"F18";"Troubles mentaux et du comportement liés à l'utilisation de solvants volatils";NA
"IR_CCI_V";0;"H15";"Affections de la sclérotique";NA
"IR_CCI_V";0;"H16";"Kératite";NA
"IR_CCI_V";0;"H18";"Autres affections de la cornée";NA
"IR_CCI_V";0;"H25";"Cataracte sénile";NA
"IR_CCI_V";0;"H28";"Cataracte et autres affections du cristallin au cours de maladies classées ailleurs";NA
"IR_CCI_V";0;"H30";"Choriorétinite";NA
"IR_CCI_V";0;"H45";"Affections du corps vitré et du globe oculaire au cours de maladies classées ailleurs";NA
"IR_CCI_V";0;"H46";"Névrite optique";NA
"IR_CCI_V";0;"H71";"Cholestéatome de l'oreille moyenne";NA
"IR_CCI_V";0;"W99";"Exposition à des facteurs propres à un environnement artificiel, autres et sans précision";NA
"IR_CCI_V";0;"X31";"Exposition à un froid naturel excessif";NA
"IR_CCI_V";0;"X34";"Tremblement de terre";NA
"IR_CCI_V";0;"U07";"Usage urgent de U07";NA
"IR_CCI_V";0;"V01";"Piéton blessé dans une collision avec un cycle";NA
"IR_CCI_V";0;"V76";"Occupant d'un autobus blessé dans une collision avec un autre véhicule sans moteur";NA
"IR_CCI_V";0;"V03";"Piéton blessé dans une collision avec une automobile ou une camionnette";NA
"IR_CCI_V";0;"V04";"Piéton blessé dans une collision avec un véhicule lourd ou un autobus";NA
"IR_CCI_V";0;"V05";"Piéton blessé dans une collision avec un train ou un véhicule ferroviaire";NA
"IR_CCI_V";0;"V14";"Cycliste blessé dans une collision avec un véhicule lourd ou un autobus";NA
"IR_CCI_V";0;"V81";"Occupant d'un train ou d'un véhicule ferroviaire blessé dans un accident de transport";NA
"IR_CCI_V";0;"Y32";"Collision de véhicule à moteur, intention non déterminée";NA
"IR_CCI_V";0;"V20";"Motocycliste blessé dans une collision avec un piéton ou un animal";NA
"IR_CCI_V";0;"V21";"Motocycliste blessé dans une collision avec un cycle";NA
"IR_CCI_V";0;"X51";"Voyage et mouvement";NA
"IR_CCI_V";0;"Y40";"Effets indésirables des antibiotiques systémiques";NA
"IR_CCI_V";0;"Y44";"Effets indésirables des substances agissant essentiellement sur les constituants du sang";NA
"IR_CCI_V";0;"V94";"Accidents de transport par eau, autres et sans précision";NA
"IR_CCI_V";0;"V97";"Autres accidents de transport aérien précisés";NA
"IR_CCI_V";0;"X62";"Auto-intoxication par des narcotiques et psychodysleptiques [hallucinogènes] et exposition à ces produits, non classés ailleurs";NA
"IR_CCI_V";0;"Y54";"Effets indésirables des médicaments agissant essentiellement sur le métabolisme de l'eau, des sels minéraux et de l'acide urique";NA
"IR_CCI_V";0;"V32";"Occupant d'un véhicule à moteur à trois roues blessé dans une collision avec un véhicule à moteur à deux ou trois roues";NA
"IR_CCI_V";0;"W04";"Chute, en étant porté ou soutenu par des tiers";NA
"IR_CCI_V";0;"W07";"Chute d'une chaise";NA
"IR_CCI_V";0;"W10";"Chute dans et d'un escalier et de marches";NA
"IR_CCI_V";0;"X64";"Auto-intoxication par des médicaments et substances biologiques et exposition à ces produits, autres et sans précision";NA
