CODE_UCD;LISTE;NOM_COURT;DT_DINSCRI;DT_FINSCRI;MOTIF_FIN;LABO_EXP;DT_SOURDOC;DT_APPRIX;PRIX_HT;PRIX_TTC;T_FACTURE;MARGE_TTC;DT_APTAUX;TAUX;DT_DCOUSUP;DT_FCOUSUP;DT_APMAJO;MAJO_971;MAJO_972;MAJO_973;MAJO_974;DT_DLPRIVE;DT_FLPRIVE;DT_DLPUBLI;DT_FLPUBLI;NOM_LONG1;NOM_LONG2;ETAT;COD_FORME;FORME;COD_CFORME;CPMTFORME;DDD;D_ADMINIST;PAR_VOIE;COD_ATC;CLASSE_ATC;COD_EPHMRA;CLA_EPHMRA;RH;PH;PIH;SP;PS
9234047;T;PROTEXEL 50 UI/ml poudre et solvant pour solution injectable;11/05/2005;;;LFB-BIOMEDICAMENTS;29/04/2009;11/05/2005;907;926,05;;;;;;;21/05/2005;1,16;1,16;1,16;1,16;11/05/2005;;11/05/2005;;PROTEXEL 50 UI/ml poudre et solvant pour solution injectable;;D;44.0;POUDRE;314.0;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B01AD12;PROTEINE C;B01X;AUTRES MEDICAMENTS ANTITHROMBOTIQUES;N;O;N;N;N
9234053;R;CARBAGLU 200 mg comprimé dispersible;27/12/2004;;;ORPHAN EUROPE SARL;26/09/2018;31/10/2018;42,078;42,96;N;22.0;27/12/2004;100.0;;;21/05/2005;1,16;1,16;1,16;1,16;;;;;CARBAGLU 200 mg comprimé dispersible;;D;15.0;COMPRIME;323.0;SECABLE QUADRISECABLE COMPRIME DISPERSIB;;;;A16AA05;CARGLUMIQUE ACIDE;A16A;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;N;O;N;N;N
9234053;T;CARBAGLU 200 mg comprimé dispersible;11/05/2005;;;ORPHAN EUROPE SARL;26/09/2018;31/10/2018;42,078;42,96;;;;;;;21/05/2005;1,16;1,16;1,16;1,16;11/05/2005;;11/05/2005;;CARBAGLU 200 mg comprimé dispersible;;D;15.0;COMPRIME;323.0;SECABLE QUADRISECABLE COMPRIME DISPERSIB;;;;A16AA05;CARGLUMIQUE ACIDE;A16A;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;N;O;N;N;N
9234225;T;ENDOBULINE 5 g poudre et solvant pour solution injectable en flacon de 100 ml;11/05/2005;31/12/2017;RADIATION;BAXTER SA;06/12/2017;01/01/2011;208,5;212,88;;;;;;;21/05/2005;1,16;1,16;1,16;1,16;11/05/2005;;11/05/2005;;ENDOBULINE 5 g poudre et solvant pour solution injectable en flacon de 100 ml;;S;44.0;POUDRE;314.0;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;J06BA02;IMMUNOGLOBULINES HUMAINES POLYVALENTES, POUR ADM INTRAVASCULAIRE;J06C;IMMUNOGLOBULINES POLYVALENTES, INTRAVEINEUSES;N;O;N;N;N
9149063;R;CISPLATINE DAKOTA PHARM 10 mg lyophilisat pour usage parentéral en flacon;11/05/2005;;;DAKOTA PHARM;29/04/2009;01/01/2010;1,6;1,63;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;CISPLATINE DAKOTA PHARM 10 mg lyophilisat pour usage parentéral en flacon;;S;44.0;POUDRE;522.0;LYOPHILISAT POUR USAGE PARENTERAL;;;;L01XA01;CISPLATINE;L01X2;DERIVES DU PLATINE;N;O;N;O;O
9149086;R;CISPLATINE DAKOTA PHARM 10 mg/20 ml solution injectable pour perfusion en flacon;11/05/2005;;;SANOFI AVENTIS FRANCE;29/04/2009;01/01/2010;1,3;1,33;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;CISPLATINE DAKOTA PHARM 10 mg/20 ml solution injectable pour perfusion en flacon;;S;48.0;SOLUTION;295.0;SOLUTION INJECTABLE SOLUTION POUR PERFUS;;;;L01XA01;CISPLATINE;L01X2;DERIVES DU PLATINE;N;O;N;O;O
9149092;R;CISPLATINE DAKOTA PHARM 25 mg lyophilisat pour usage parentéral en flacon;11/05/2005;;;DAKOTA PHARM;29/04/2009;01/01/2010;2,7;2,76;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;CISPLATINE DAKOTA PHARM 25 mg lyophilisat pour usage parentéral en flacon;;S;44.0;POUDRE;522.0;LYOPHILISAT POUR USAGE PARENTERAL;;;;L01XA01;CISPLATINE;L01X2;DERIVES DU PLATINE;N;O;N;O;O
9149100;R;CISPLATINE DAKOTA PHARM 25 mg/50 ml solution injectable pour perfusion en flacon;11/05/2005;;;SANOFI AVENTIS FRANCE;29/04/2009;01/01/2010;2,3;2,35;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;CISPLATINE DAKOTA PHARM 25 mg/50 ml solution injectable pour perfusion en flacon;;S;48.0;SOLUTION;295.0;SOLUTION INJECTABLE SOLUTION POUR PERFUS;;;;L01XA01;CISPLATINE;L01X2;DERIVES DU PLATINE;N;O;N;O;O
9149117;R;CISPLATINE DAKOTA PHARM 50 mg lyophilisat pour usage parentéral en flacon;11/05/2005;;;DAKOTA PHARM;29/04/2009;01/01/2010;4,5;4,59;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;CISPLATINE DAKOTA PHARM 50 mg lyophilisat pour usage parentéral en flacon;;S;44.0;POUDRE;522.0;LYOPHILISAT POUR USAGE PARENTERAL;;;;L01XA01;CISPLATINE;L01X2;DERIVES DU PLATINE;N;O;N;O;O
9149123;R;CISPLATINE DAKOTA PHARM 50 mg/100 ml solution injectable pour perfusion en flacon;11/05/2005;;;SANOFI AVENTIS FRANCE;29/04/2009;01/01/2010;3,3;3,37;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;CISPLATINE DAKOTA PHARM 50 mg/100 ml solution injectable pour perfusion en flacon;;S;48.0;SOLUTION;295.0;SOLUTION INJECTABLE SOLUTION POUR PERFUS;;;;L01XA01;CISPLATINE;L01X2;DERIVES DU PLATINE;N;O;N;O;O
9149821;R;UN-ALFA 1 microgrammes/0,5 ml solution injectable IV en ampoule;31/12/2005;;;LEO FRANCE SA;29/04/2009;01/01/2010;3,6;3,68;N;22.0;31/12/2005;65.0;;;31/12/2005;1,16;1,16;1,16;1,16;;;;;UN-ALFA 1 microgrammes/0,5 ml solution injectable IV en ampoule;;D;48.0;SOLUTION;295.0;SOLUTION INJECTABLE;1;MICROGRAMME(S);ORALE;A11CC03;ALFACALCIDOL;A11C2;VITAMINE D;N;O;N;O;N
9191527;R;FLUOROURACILE SERB 1000 mg/20 ml solution injectable pour perfusion en flacon;11/05/2005;;;L'ARGUENON INTERNATIONAL-SERB;29/04/2009;01/01/2010;3,658;3,73;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;FLUOROURACILE SERB 1000 mg/20 ml solution injectable pour perfusion en flacon;;NC;48.0;SOLUTION;295.0;SOLUTION INJECTABLE SOLUTION POUR PERFUS;;;;L01BC02;FLUOROURACILE;L01B;ANTIMETABOLITES;N;O;N;O;O
9191533;R;FLUOROURACILE SERB 250 mg/5 ml solution injectable pour perfusion en flacon;11/05/2005;;;L'ARGUENON INTERNATIONAL-SERB;29/04/2009;01/01/2010;1,154;1,18;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;FLUOROURACILE SERB 250 mg/5 ml solution injectable pour perfusion en flacon;;NC;48.0;SOLUTION;295.0;SOLUTION INJECTABLE SOLUTION POUR PERFUS;;;;L01BC02;FLUOROURACILE;L01B;ANTIMETABOLITES;N;O;N;O;O
9191556;R;FLUOROURACILE SERB 500 mg/10 ml solution injectable pour perfusion en flacon;11/05/2005;;;L'ARGUENON INTERNATIONAL-SERB;29/04/2009;01/01/2010;2,083;2,13;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;FLUOROURACILE SERB 500 mg/10 ml solution injectable pour perfusion en flacon;;NC;48.0;SOLUTION;295.0;SOLUTION INJECTABLE SOLUTION POUR PERFUS;;;;L01BC02;FLUOROURACILE;L01B;ANTIMETABOLITES;N;O;N;O;O
9192107;R;FLUOROURACILE DAKOTA 50 mg/ml solution à diluer pour perfusion en flacon de 20 ml;11/05/2005;;;SANOFI AVENTIS FRANCE;29/04/2009;01/01/2010;3,658;3,73;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;FLUOROURACILE DAKOTA 50 mg/ml solution à diluer pour perfusion en flacon de 20 ml;;S;48.0;SOLUTION;290.0;SOLUTION A DILUER POUR PERFUSION;;;;L01BC02;FLUOROURACILE;L01B;ANTIMETABOLITES;N;O;N;O;O
9192113;R;FLUOROURACILE DAKOTA 50 mg/ml solution à diluer pour perfusion en flacon de 5 ml;11/05/2005;;;SANOFI AVENTIS FRANCE;29/04/2009;01/01/2010;1,154;1,18;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;FLUOROURACILE DAKOTA 50 mg/ml solution à diluer pour perfusion en flacon de 5 ml;;S;48.0;SOLUTION;290.0;SOLUTION A DILUER POUR PERFUSION;;;;L01BC02;FLUOROURACILE;L01B;ANTIMETABOLITES;N;O;N;O;O
9192136;R;FLUOROURACILE DAKOTA 50 mg/ml solution à diluer pour perfusion en flacon de 10 ml;11/05/2005;;;SANOFI AVENTIS FRANCE;29/04/2009;01/01/2010;2,083;2,13;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;FLUOROURACILE DAKOTA 50 mg/ml solution à diluer pour perfusion en flacon de 10 ml;;S;48.0;SOLUTION;290.0;SOLUTION A DILUER POUR PERFUSION;;;;L01BC02;FLUOROURACILE;L01B;ANTIMETABOLITES;N;O;N;O;O
9192432;R;RETROVIR 300 mg comprimé;27/12/2004;;;GLAXOSMITHKLINE;29/04/2009;01/01/2010;3,301;3,37;N;22.0;27/12/2004;100.0;;;21/05/2005;1,16;1,16;1,16;1,16;;;;;RETROVIR 300 mg comprimé;;S;15.0;COMPRIME;307.0;COMPRIME PELLICULE;;;;J05AF01;ZIDOVUDINE;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;N;N;O;N;N
9217617;R;CISPLATINE MYLAN 1 MG/ML solution à diluer pour perfusion en flacon de 50 ml;11/05/2005;;;MYLAN SAS;10/11/2009;01/01/2010;3,3;3,37;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;CISPLATINE MYLAN 1 MG/ML solution à diluer pour perfusion en flacon de 50 ml;;D;48.0;SOLUTION;290.0;SOLUTION A DILUER POUR PERFUSION;;;;L01XA01;CISPLATINE;L01X2;DERIVES DU PLATINE;N;O;N;O;O
9217741;R;SOLUMEDROL 1 G Poudre et solvant pour solution injectable;29/07/2004;;;PFIZER HOLDING FRANCE;29/04/2009;01/01/2010;;;O;22.0;29/07/2004;100.0;;;29/07/2004;9,999;9,999;9,999;9,999;;;;;SOLUMEDROL 1 G Poudre et solvant pour solution injectable;;D;44.0;POUDRE;612.0;POUDRE;7,5;MG;ORALE;H02AB04;METHYLPREDNISOLONE;H02A1;CORTICOSTEROIDES INJECTABLES NON ASSOCIES;O;O;N;N;N
9218203;R;CEFOTAXIME MERCK 1 G Poudre pour solution injectable;29/07/2004;;;MERCK GENERIQUES;29/04/2009;01/01/2010;;;O;22.0;29/07/2004;100.0;;;29/07/2004;9,999;9,999;9,999;9,999;;;;;CEFOTAXIME MERCK 1 G Poudre pour solution injectable;;D;44.0;POUDRE;312.0;POUDRE POUR SOLUTION INJECTABLE;;;;J01DD01;CEFOTAXIME;J01D2;CEPHALOSPORINES INJECTABLES;N;O;N;N;N
9218226;R;CEFOTAXIME MERCK 2 G Poudre pour solution injectable;29/07/2004;;;MERCK GENERIQUES;29/04/2009;01/01/2010;;;O;22.0;29/07/2004;100.0;;;29/07/2004;9,999;9,999;9,999;9,999;;;;;CEFOTAXIME MERCK 2 G Poudre pour solution injectable;;S;44.0;POUDRE;312.0;POUDRE POUR SOLUTION INJECTABLE;;;;J01DD01;CEFOTAXIME;J01D2;CEPHALOSPORINES INJECTABLES;N;O;N;N;N
9218232;R;CEFOTAXIME MERCK 500 MG Poudre pour solution injectable;29/07/2004;;;MERCK GENERIQUES;29/04/2009;01/01/2010;;;O;22.0;29/07/2004;100.0;;;29/07/2004;9,999;9,999;9,999;9,999;;;;;CEFOTAXIME MERCK 500 MG Poudre pour solution injectable;;D;44.0;POUDRE;312.0;POUDRE POUR SOLUTION INJECTABLE;;;;J01DD01;CEFOTAXIME;J01D2;CEPHALOSPORINES INJECTABLES;N;O;N;N;N
9218261;R;AMBISOME 50 mg poudre pour suspension de liposomes pour perfusion en flacon de 15 ml;31/12/2005;;;GILEAD SCIENCES;12/01/2017;15/01/2017;141,36;144,33;N;22.0;31/12/2005;65.0;;;31/12/2005;1,16;1,16;1,16;1,16;;;;;AMBISOME 50 mg poudre pour suspension de liposomes pour perfusion en flacon de 15 ml;;D;44.0;POUDRE;313.0;LIPOSOME POUDRE POUR SUSPENSION INJECTAB;35;MG;INJECTABLE;J02AA01;AMPHOTERICINE B;J02A;AGENT SYSTEMIQUE POUR INFECTIONS FONGIQUES;N;O;N;N;N
9218261;T;AMBISOME 50 mg poudre pour suspension de liposomes pour perfusion en flacon de 15 ml;11/05/2005;;;GILEAD SCIENCES;12/01/2017;15/01/2017;141,36;144,33;;;;;;;21/05/2005;1,16;1,16;1,16;1,16;11/05/2005;;11/05/2005;;AMBISOME 50 mg poudre pour suspension de liposomes pour perfusion en flacon de 15 ml;;D;44.0;POUDRE;313.0;LIPOSOME POUDRE POUR SUSPENSION INJECTAB;35;MG;INJECTABLE;J02AA01;AMPHOTERICINE B;J02A;AGENT SYSTEMIQUE POUR INFECTIONS FONGIQUES;N;O;N;N;N
9234248;T;ENDOBULINE 10 g poudre et solvant pour solution injectable en flacon de 200 ml;11/05/2005;31/12/2017;RADIATION;BAXTER SA;06/12/2017;01/01/2011;417;425,76;;;;;;;21/05/2005;1,16;1,16;1,16;1,16;11/05/2005;;11/05/2005;;ENDOBULINE 10 g poudre et solvant pour solution injectable en flacon de 200 ml;;S;44.0;POUDRE;314.0;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;J06BA02;IMMUNOGLOBULINES HUMAINES POLYVALENTES, POUR ADM INTRAVASCULAIRE;J06C;IMMUNOGLOBULINES POLYVALENTES, INTRAVEINEUSES;N;O;N;N;N
9234254;T;ENDOBULINE 2,5 g poudre et solvant pour solution injectable en flacon de 50 ml;11/05/2005;31/12/2017;RADIATION;BAXTER SA;06/12/2017;01/01/2011;104,25;106,44;;;;;;;21/05/2005;1,16;1,16;1,16;1,16;11/05/2005;;11/05/2005;;ENDOBULINE 2,5 g poudre et solvant pour solution injectable en flacon de 50 ml;;S;44.0;POUDRE;314.0;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;J06BA02;IMMUNOGLOBULINES HUMAINES POLYVALENTES, POUR ADM INTRAVASCULAIRE;J06C;IMMUNOGLOBULINES POLYVALENTES, INTRAVEINEUSES;N;O;N;N;N
9235058;R;FABRAZYME 35 mg poudre pour solution à diluer pour perfusion;30/12/2004;;;SANOFI-AVENTIS FRANCE;01/03/2018;01/01/2017;3121,87;3187,43;N;22.0;30/12/2004;100.0;;;21/05/2005;1,16;1,16;1,16;1,16;;;;;FABRAZYME 35 mg poudre pour solution à diluer pour perfusion;;D;44.0;POUDRE;584.0;POUDRE PR SOL A DILUER POUR PERFUSION;5;MG;INJECTABLE;A16AB04;AGALSIDASE BETA;A16A;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;N;O;N;N;N
9235058;T;FABRAZYME 35 mg poudre pour solution à diluer pour perfusion;11/05/2005;;;SANOFI-AVENTIS FRANCE;01/03/2018;01/01/2017;3121,87;3187,43;;;;;;;21/05/2005;1,16;1,16;1,16;1,16;11/05/2005;;11/05/2005;;FABRAZYME 35 mg poudre pour solution à diluer pour perfusion;;D;44.0;POUDRE;584.0;POUDRE PR SOL A DILUER POUR PERFUSION;5;MG;INJECTABLE;A16AB04;AGALSIDASE BETA;A16A;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;N;O;N;N;N
9236247;R;VIREAD 245 mg comprimé pelliculé;27/12/2004;;;GILEAD SCIENCES;26/10/2018;01/01/2019;6,175;6,3;N;22.0;27/12/2004;100.0;;;21/05/2005;1,16;1,16;1,16;1,16;;;;;VIREAD 245 mg comprimé pelliculé;;D;15.0;COMPRIME;307.0;COMPRIME PELLICULE;;;;J05AF07;TENOFOVIR DISOPROXIL;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;N;N;O;N;N
9236891;R;CRIXIVAN 100 mg gélule;27/12/2004;;;MERCK SHARP & DOHME-CHIBRET;29/04/2009;01/01/2010;0,388;0,4;N;22.0;27/12/2004;100.0;;;21/05/2005;1,16;1,16;1,16;1,16;;;;;CRIXIVAN 100 mg gélule;;S;21.0;GELULE;328.0;NE PAS ECRASER NE PAS OUVRIR GELULE ORAL;;;;J05AE02;INDINAVIR;J05C2;INHIBITEURS DE PROTEASE;N;N;O;N;N
9238281;R;CEFAZOLINE MERCK 2 G Poudre pour solution injectable;29/07/2004;26/08/2018;RADIATION;MERCK GENERIQUES;27/08/2018;01/01/2010;;;O;22.0;29/07/2004;100.0;;;29/07/2004;9,999;9,999;9,999;9,999;;;;;CEFAZOLINE MERCK 2 G Poudre pour solution injectable;;D;44.0;POUDRE;312.0;POUDRE POUR SOLUTION INJECTABLE;;;;J01DB04;CEFAZOLINE;J01D2;CEPHALOSPORINES INJECTABLES;N;N;N;N;N
9149838;R;UN-ALFA 2 microgrammes/1 ml solution injectable IV en ampoule;31/12/2005;;;LEO FRANCE SA;29/04/2009;01/01/2010;7,1;7,25;N;22.0;31/12/2005;65.0;;;31/12/2005;1,16;1,16;1,16;1,16;;;;;UN-ALFA 2 microgrammes/1 ml solution injectable IV en ampoule;;D;48.0;SOLUTION;295.0;SOLUTION INJECTABLE;1;MICROGRAMME(S);ORALE;A11CC03;ALFACALCIDOL;A11C2;VITAMINE D;N;O;N;O;N
9153395;R;ZAVEDOS 10 mg lyophilisat pour usage parentéral (IV) en flacon;11/05/2005;;;PFIZER;19/12/2017;01/01/2012;109,06;111,35;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;ZAVEDOS 10 mg lyophilisat pour usage parentéral (IV) en flacon;;D;44.0;POUDRE;322.0;POUDRE POUR SOLUTION POUR PERFUSION;;;;L01DB06;IDARUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;N;O;N;O;O
9153395;T;ZAVEDOS 10 mg lyophilisat pour usage parentéral (IV) en flacon;11/05/2005;28/02/2018;RADIATION;PFIZER;19/12/2017;01/01/2012;109,06;111,35;;;;;;;21/05/2005;1,16;1,16;1,16;1,16;11/05/2005;;11/05/2005;;ZAVEDOS 10 mg lyophilisat pour usage parentéral (IV) en flacon;;D;44.0;POUDRE;322.0;POUDRE POUR SOLUTION POUR PERFUSION;;;;L01DB06;IDARUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;N;O;N;O;O
9153403;R;ZAVEDOS 5 mg lyophilisat pour usage parentéral (IV) en flacon;11/05/2005;;;PFIZER;19/12/2017;01/01/2012;59,17;60,41;N;22.0;11/05/2005;100.0;03/02/2007;;21/05/2005;1,16;1,16;1,16;1,16;;;;;ZAVEDOS 5 mg lyophilisat pour usage parentéral (IV) en flacon;;D;44.0;POUDRE;322.0;POUDRE POUR SOLUTION POUR PERFUSION;;;;L01DB06;IDARUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;N;O;N;O;O
9153403;T;ZAVEDOS 5 mg lyophilisat pour usage parentéral (IV) en flacon;11/05/2005;28/02/2018;RADIATION;PFIZER;19/12/2017;01/01/2012;59,17;60,41;;;;;;;21/05/2005;1,16;1,16;1,16;1,16;11/05/2005;;11/05/2005;;ZAVEDOS 5 mg lyophilisat pour usage parentéral (IV) en flacon;;D;44.0;POUDRE;322.0;POUDRE POUR SOLUTION POUR PERFUSION;;;;L01DB06;IDARUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;N;O;N;O;O
9153691;R;VIDEX 100 mg comprimé à croquer ou dispersible;27/12/2004;;;BRISTOL MYERS SQUIBB;29/04/2009;01/01/2010;1,465;1,5;N;22.0;27/12/2004;100.0;;;21/05/2005;1,16;1,16;1,16;1,16;;;;;VIDEX 100 mg comprimé à croquer ou dispersible;;S;15.0;COMPRIME;310.0;ECRASEMENT POSSIBLE COMPRIME A CROQUER C;;;;J05AF02;DIDANOSINE;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;N;N;O;N;N
