UCD_UCD_COD;UCD_ETA_COD;RSV_HOS_COD;PRE_HOS_COD;PHA_MED_PIH;UCD_SVP_COD;UCD_PSP_TOP;UCD_SPE_LIB;UCD_RCP_LI1;UCD_RCP_LI2;UCD_RCP_LI3;PHA_FRM_COD;PHA_FRM_LIB;PHA_FRC_COD;PHA_FRC_LIB;PHA_SUB_DOS;PHA_DOS_UNI;UCD_VOI_ADM;PHA_ATC_CLA;PHA_ATC_LIB;PHA_EPH_COD;PHA_EPH_LIB;UCD_INS_DTD;UCD_INS_DTF;UCD_LIS_TOP;INS_MTF_LIB
0000009208570;D;N;N;O;O;O;REBETOL 200MG GELULE;REBETOL 200 mg GELULE;;;21;GELULE;328;NE PAS ECRASER GELULE ORAL(E);;;;J05AP01;RIBAVIRINE;J05B1;MEDICAMENTS CONTRE L'HEPATITE VIRALE;27DEC2004:00:00:00;;1;
0000009208593;D;O;O;N;N;N;AMIKACINE MYL 50MG SOL INJ;AMIKACINE MYLAN 50 MG/1 ML, ENFANTS ET NOURRISSONS, SOLUTION INJECTABLE;;;48;SOLUTION;295;SOLUTION INJECTABLE;;;;J01GB06;AMIKACINE;J01K;AMINOSIDES;29JUL2004:00:00:00;;1;
0000009210213;D;N;O;N;O;O;CARBOPLATINE TVC 150 MG/15ML SOL INJ;CARBOPLATINE TEVA 10 MG/ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA02;CARBOPLATINE;L01X2;DERIVES DU PLATINE;11MAY2005:00:00:00;;1;
0000009210236;D;N;O;N;O;O;CARBOPLATINE TVC 450 MG/45ML SOL INJ;CARBOPLATINE TEVA 10 MG/ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA02;CARBOPLATINE;L01X2;DERIVES DU PLATINE;11MAY2005:00:00:00;;1;
0000009210242;D;N;O;N;O;O;CARBOPLATINE TVC 50 MG SOL INJ;CARBOPLATINE TEVA 10 MG/ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA02;CARBOPLATINE;L01X2;DERIVES DU PLATINE;11MAY2005:00:00:00;;1;
0000009210845;S;N;N;N;N;O;VENTOLINE 5MG/ML INHAL GTE 10ML;VENTOLINE 0,5 POUR CENT (5 MG/ML), SOLUTION POUR INHALATION PAR NEBULISATEUR;;;48;SOLUTION;351;SOLUTION POUR INHALATION PAR NEBULISEUR;0.8000;MG;INHALEE;R03AC02;SALBUTAMOL;R03A4;BETA 2 STIMULANTS INHALES D'ACTION BREVE;29JUL2004:00:00:00;;1;
0000009211359;D;N;N;O;N;N;ZIAGEN 300MG CPR;ZIAGEN 300 mg, comprime pellicule;;;15;COMPRIME;307;SECABLE COMPRIME PELLICULE BISECABLE;;;;J05AF06;ABACAVIR;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;27DEC2004:00:00:00;;1;
0000009211371;D;N;O;N;N;N;ACLOTINE 1000 UI PDR ET SOL INJ 10ML;ACLOTINE 100 UI/ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B01AB02;ANTITHROMBINE;B02C1;INHIBITEURS DE LA COAGULATION;11MAY2005:00:00:00;;2;
0000009211388;D;N;O;N;N;N;ACLOTINE 500UI/5ML PDR ET SOL INJ;ACLOTINE 100 UI/ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;B01AB02;ANTITHROMBINE;B02C1;INHIBITEURS DE LA COAGULATION;11MAY2005:00:00:00;;2;
0000009212011;D;N;N;O;N;N;SUSTIVA 100MG GELULE;SUSTIVA 100 mg, gelule;;;21;GELULE;64;ORAL(E);;;;J05AG03;EFAVIRENZ;J05C3;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NON NUCLEOSIDIQUES;27DEC2004:00:00:00;;1;
0000009212028;D;N;N;O;N;N;SUSTIVA 50MG GELULE;SUSTIVA 50 mg, gelule;;;21;GELULE;64;ORAL(E);;;;J05AG03;EFAVIRENZ;J05C3;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NON NUCLEOSIDIQUES;27DEC2004:00:00:00;;1;
0000009212264;D;O;N;N;O;O;GLIADEL 7,7MG IMPLANT;GLIADEL 7,7 MG, IMPLANT;;;44;POUDRE;612;POUDRE;;;;L01AD01;CARMUSTINE;L01A;AGENTS ALKYLANTS;20AUG2005:00:00:00;;2;
0000009212436;D;N;O;N;N;N;CEFOXITINE PAN 1G PDR INJ IV;CEFOXITINE PANPHARMA 1 g, poudre pour solution injectable (IV);;;44;POUDRE;312;POUDRE POUR SOLUTION INJECTABLE;;;;J01DC01;CEFOXITINE;J01D2;CEPHALOSPORINES INJECTABLES;21APR2005:00:00:00;;1;
0000009212442;D;N;O;N;N;N;CEFOXITINE PAN 2G PDR INJ IV;CEFOXITINE PANPHARMA 2 G, POUDRE POUR SOLUTION INJECTABLE (IV);;;44;POUDRE;312;POUDRE POUR SOLUTION INJECTABLE;;;;J01DC01;CEFOXITINE;J01D2;CEPHALOSPORINES INJECTABLES;21APR2005:00:00:00;;1;
0000009212488;D;N;O;N;N;N;OCTAGAM 50 MG/ML SOL INJ FL 100ML;OCTAGAM 50 MG/ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;J06BA02;IMMUNOGLOBULINES HUMAINES POLYVALENTES, POUR ADM INTRAVASCULAIRE;J06C;IMMUNOGLOBULINES POLYVALENTES, INTRAVEINEUSES;11MAY2005:00:00:00;;3;
0000009212494;D;N;O;N;N;N;OCTAGAM 50 MG/ML SOL INJ FL 200ML;OCTAGAM 50 MG/ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;J06BA02;IMMUNOGLOBULINES HUMAINES POLYVALENTES, POUR ADM INTRAVASCULAIRE;J06C;IMMUNOGLOBULINES POLYVALENTES, INTRAVEINEUSES;11MAY2005:00:00:00;;3;
0000009212502;D;N;O;N;N;N;OCTAGAM 50 MG/ML SOL INJ FL 50ML;OCTAGAM 50 MG/ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;J06BA02;IMMUNOGLOBULINES HUMAINES POLYVALENTES, POUR ADM INTRAVASCULAIRE;J06C;IMMUNOGLOBULINES POLYVALENTES, INTRAVEINEUSES;11MAY2005:00:00:00;;3;
0000009212525;D;N;N;O;N;O;ZEFFIX 100 MG CPR;ZEFFIX 100 MG, COMPRIME PELLICULE;;;15;COMPRIME;307;COMPRIME PELLICULE;;;;J05AF05;LAMIVUDINE;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;27DEC2004:00:00:00;;1;
0000009212531;D;N;N;O;N;O;ZEFFIX 5 MG/ML SOL BUV;ZEFFIX 5 mg/ml, solution buvable;;;48;SOLUTION;292;SOLUTION BUVABLE;;;;J05AF05;LAMIVUDINE;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;27DEC2004:00:00:00;;1;
0000009212548;D;N;N;O;N;N;ZIAGEN 20MG/ML SOL BUV;ZIAGEN 20 MG/ML, solution buvable;;;48;SOLUTION;292;SOLUTION BUVABLE;;;;J05AF06;ABACAVIR;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;27DEC2004:00:00:00;;1;
0000009212956;S;N;O;N;N;N;MACROLIN 4,5 MUI PDR INJ;MACROLIN, POUDRE POUR SOLUTION INJECTABLE;;;44;POUDRE;312;LYOPHILISE(E) POUDRE POUR SOLUTION INJEC;0.2000;MG;INJECTABLE;L03AC01;ALDESLEUKINE;L03A9;TOUS AUTRES IMMUNOSTIMULANTS, INTERFERONS EXCLUS;27DEC2004:00:00:00;15JUN2015:00:00:00;1;RADIATION
0000009213737;D;O;N;N;N;N;REMICADE 100 MG PDR INJ;REMICADE 100 mg, poudre pour solution a diluer pour perfusion;;;44;POUDRE;584;LYOPHILISE(E) POUDRE PR SOL A DILUER POU;3.7500;MG;INJECTABLE;L04AB02;INFLIXIMAB;L04B;MEDICAMENTS ANTI-TNF;11MAY2005:00:00:00;;2;
0000009213743;S;N;N;N;N;N;SYNAGIS 100 MG PDR ET SOL INJ;SYNAGIS 100 mg, poudre et solvant pour solution injectable;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ LYOP;;;;J06BB16;PALIVIZUMAB;J06H9;AUTRES IMMUNOGLOBULINES ANTIVIRALES;27DEC2004:00:00:00;;1;
0000009213766;S;N;N;N;N;N;SYNAGIS 50 MG PDR ET SOL INJ;SYNAGIS 50 mg poudre et solvant pour solution injectable.;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;J06BB16;PALIVIZUMAB;J06H9;AUTRES IMMUNOGLOBULINES ANTIVIRALES;27DEC2004:00:00:00;;1;
0000009216925;S;N;O;N;O;O;FLUOROURACILE DKT 50MG/ML 100ML;FLUOROURACILE DAKOTA 50 MG/ML, SOLUTION A DILUER POUR PERFUSION;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01BC02;FLUOROURACILE;L01B;ANTIMETABOLITES;11MAY2005:00:00:00;;1;
0000009217362;S;N;N;O;N;N;VIDEX 125MG GELULE;VIDEX 125 MG, GELULE GASTRO-RESISTANTE;;;21;GELULE;332;NE PAS ECRASER NE PAS OUVRIR GELULE GAST;;;;J05AF02;DIDANOSINE;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;27DEC2004:00:00:00;;1;
0000009217379;S;N;N;O;N;N;VIDEX 200MG GELULE;VIDEX 200 mg, gelule gastro-resistante;;;21;GELULE;332;NE PAS ECRASER NE PAS OUVRIR GELULE GAST;;;;J05AF02;DIDANOSINE;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;27DEC2004:00:00:00;;1;
0000009217385;S;N;N;O;N;N;VIDEX 250MG GELULE;VIDEX 250 mg, gelule gastro-resistante;;;21;GELULE;332;NE PAS ECRASER NE PAS OUVRIR GELULE GAST;;;;J05AF02;DIDANOSINE;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;27DEC2004:00:00:00;;1;
0000009217391;S;N;N;O;N;N;VIDEX 400MG GELULE;VIDEX 400 mg, gelule gastro-resistante;;;21;GELULE;332;NE PAS ECRASER NE PAS OUVRIR GELULE GAST;;;;J05AF02;DIDANOSINE;J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES;27DEC2004:00:00:00;;1;
0000009217592;D;N;O;N;O;O;CISPLATINE MYL 10 MG SOL INJ;CISPLATINE MYLAN 10 mg/10 ml, solution a diluer pour perfusion;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01XA01;CISPLATINE;L01X2;DERIVES DU PLATINE;11MAY2005:00:00:00;;1;
0000009217600;D;N;O;N;O;O;CISPLATINE MYL 25 MG SOL INJ;CISPLATINE MYLAN 25 mg/25 ml, solution a diluer pour perfusion;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01XA01;CISPLATINE;L01X2;DERIVES DU PLATINE;11MAY2005:00:00:00;;1;
0000009217617;D;N;O;N;O;O;CISPLATINE MYL 50 MG/50 ML SOL INJ;CISPLATINE MYLAN 50 MG/50 ML, SOLUTION A DILUER POUR PERFUSION;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01XA01;CISPLATINE;L01X2;DERIVES DU PLATINE;11MAY2005:00:00:00;;1;
0000009217741;D;O;O;N;N;N;SOLUMEDROL 1000 MG PDR ET SOL INJ;SOLUMEDROL 1000 MG, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;;;44;POUDRE;612;POUDRE;7.5000;MG;ORALE;H02AB04;METHYLPREDNISOLONE;H02A1;CORTICOSTEROIDES INJECTABLES NON ASSOCIES;29JUL2004:00:00:00;;1;
0000009218203;D;N;O;N;N;N;CEFOTAXIME MYL 1G PDR INJ FL 10 ML;CEFOTAXIME MYLAN 1 G, POUDRE POUR SOLUTION INJECTABLE (IM-IV);;;44;POUDRE;312;POUDRE POUR SOLUTION INJECTABLE;;;;J01DD01;CEFOTAXIME;J01D2;CEPHALOSPORINES INJECTABLES;29JUL2004:00:00:00;;1;
0000009218226;S;N;O;N;N;N;CEFOTAXIME MYL 2G PDR INJ FL 10 ML;CEFOTAXIME MYLAN 2 G, POUDRE POUR SOLUTION INJECTABLE (IM-IV);;;44;POUDRE;312;POUDRE POUR SOLUTION INJECTABLE;;;;J01DD01;CEFOTAXIME;J01D2;CEPHALOSPORINES INJECTABLES;29JUL2004:00:00:00;;1;
0000009218232;D;N;O;N;N;N;CEFOTAXIME MYL 0,5G PDR INJ;CEFOTAXIME MYLAN 500 MG, POUDRE POUR SOLUTION INJECTABLE (IM-IV);;;44;POUDRE;312;POUDRE POUR SOLUTION INJECTABLE;;;;J01DD01;CEFOTAXIME;J01D2;CEPHALOSPORINES INJECTABLES;29JUL2004:00:00:00;;1;
0000009218261;D;N;O;N;N;N;AMBISOME 50MG PDR INJ;AMBISOME 50 MG, POUDRE POUR SUSPENSION DE LIPOSOMES POUR PERFUSION;;;44;POUDRE;313;LIPOSOME POUDRE POUR SUSPENSION INJECTAB;35.0000;MG;INJECTABLE;J02AA01;AMPHOTERICINE B;J02A;AGENT SYSTEMIQUE POUR INFECTIONS FONGIQUES;31DEC2005:00:00:00;;1;
0000009218605;D;N;O;N;O;O;CARBOPLATINE MYL 150 MG/15ML SOL INJ;CARBOPLATINE MYLAN 10 MG/ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA02;CARBOPLATINE;L01X2;DERIVES DU PLATINE;11MAY2005:00:00:00;;1;
0000009218611;D;N;O;N;O;O;CARBOPLATINE MYL 450 MG/45ML SOL INJ;CARBOPLATINE MYLAN 10 MG/ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA02;CARBOPLATINE;L01X2;DERIVES DU PLATINE;11MAY2005:00:00:00;;1;
0000009218628;D;N;O;N;O;O;CARBOPLATINE MYL 50 MG/5ML SOL INJ;CARBOPLATINE MYLAN 10 MG/ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA02;CARBOPLATINE;L01X2;DERIVES DU PLATINE;11MAY2005:00:00:00;;1;
0000009219390;S;N;O;N;O;O;ETHYOL 50MG/ML PDR INJ FL 375MG;ETHYOL 50 MG/ML, POUDRE POUR SOLUTION POUR PERFUSION;;;44;POUDRE;322;POUDRE POUR SOLUTION POUR PERFUSION;;;;V03AF05;AMIFOSTINE;V03D;MEDICAMENTS DETOXIFIANTS DANS UN TRAITEMENT ANTINEOPLASIQUE;11MAY2005:00:00:00;28FEB2015:00:00:00;3;RADIATION
0000009219467;S;N;O;N;O;O;TAXOL 300 MG SOL INJ;TAXOL 300 MG/50 ML, SOLUTION A DILUER POUR PERFUSION;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CD01;PACLITAXEL;L01C;ANTINEOPLASIQUES D'ORIGINE VEGETALE;11MAY2005:00:00:00;22FEB2017:00:00:00;1;RADIATION
0000009219740;D;N;O;N;N;N;CEREZYME 400U PDR INJ;CEREZYME 400 U, POUDRE POUR SOLUTION A DILUER POUR PERFUSION;;;44;POUDRE;322;POUDRE POUR SOLUTION POUR PERFUSION;300.0000;U;INJECTABLE;A16AB02;IMIGLUCERASE;A16A;AUTRES MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME;11MAY2005:00:00:00;;2;
0000009220097;D;N;O;N;O;O;HERCEPTIN 150 MG PDR SOL INJ;HERCEPTIN 150 mg, poudre pour solution a diluer pour perfusion;;;44;POUDRE;584;POUDRE PR SOL A DILUER POUR PERFUSION;;;;L01XC03;TRASTUZUMAB;L01G;ANTICORPS MONOCLONAUX ANTICANCEREUX;11MAY2005:00:00:00;;3;
0000009220275;D;N;O;N;O;O;CISPLATINE TVC 100 MG/100 ML SOL INJ;CISPLATINE TEVA 1 MG/1 ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA01;CISPLATINE;L01X2;DERIVES DU PLATINE;11MAY2005:00:00:00;;1;
0000009220306;D;N;N;O;O;O;FERRIPROX 500MG CPR;FERRIPROX 500 MG, comprime pellicule;;;15;COMPRIME;307;SECABLE COMPRIME PELLICULE BISECABLE;;;;V03AC02;DEFERIPRONE;V03F;AGENTS CHELATEURS DU FER;31DEC2005:00:00:00;;1;
0000009220861;D;N;N;O;N;N;ROFERON A 3 MUI SOL INJ SER;ROFERON-A 3 millions d'unites internationales (MUI), solution injectable en seringue preremplie;;;48;SOLUTION;295;SOLUTION INJECTABLE;2.0000;MU;INJECTABLE;L03AB04;INTERFERON ALFA-2A;L03B1;INTERFERONS, ALPHA;27DEC2004:00:00:00;;1;
0000009220878;D;N;N;O;N;N;ROFERON A 4,5MUI SOL INJ SER;ROFERON-A 4,5 millions d'unites internationales (MUI), solution injectable en seringue preremplie;;;48;SOLUTION;295;SOLUTION INJECTABLE;2.0000;MU;INJECTABLE;L03AB04;INTERFERON ALFA-2A;L03B1;INTERFERONS, ALPHA;27DEC2004:00:00:00;;1;
0000009220884;D;N;N;O;N;N;ROFERON A 6MUI SOL INJ SER;ROFERON-A 6 millions d'unites internationales (MUI), solution injectable en seringue preremplie;;;48;SOLUTION;295;SOLUTION INJECTABLE;2.0000;MU;INJECTABLE;L03AB04;INTERFERON ALFA-2A;L03B1;INTERFERONS, ALPHA;27DEC2004:00:00:00;;1;
0000009220890;D;N;N;O;N;N;ROFERON A 9MUI SOL INJ SER;ROFERON-A 9 millions d'unites internationales (UI), solution injectable en seringue preremplie;;;48;SOLUTION;295;SOLUTION INJECTABLE;2.0000;MU;INJECTABLE;L03AB04;INTERFERON ALFA-2A;L03B1;INTERFERONS, ALPHA;27DEC2004:00:00:00;;1;
0000009221984;S;N;N;O;O;O;VIRAFERONPEG 0,100MG/0,5ML INJ;VIRAFERONPEG 100 MICROGRAMMES, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;L03AB10;PEGINTERFERON ALFA-2B;L03B1;INTERFERONS, ALPHA;27DEC2004:00:00:00;;1;
0000009221990;S;N;N;O;O;O;VIRAFERONPEG 0,120MG/0,5ML INJ;VIRAFERONPEG 120 MICROGRAMMES, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;L03AB10;PEGINTERFERON ALFA-2B;L03B1;INTERFERONS, ALPHA;27DEC2004:00:00:00;;1;
0000009222009;S;N;N;O;O;O;VIRAFERONPEG 0,150MG/0,5ML INJ;VIRAFERONPEG 150 MICROGRAMMES, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;;;87;SOLVANT;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;L03AB10;PEGINTERFERON ALFA-2B;L03B1;INTERFERONS, ALPHA;27DEC2004:00:00:00;;1;
0000009222015;S;N;N;O;O;O;VIRAFERONPEG 0,050MG/0,5ML INJ + NEC;VIRAFERONPEG 50 MICROGRAMMES, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;L03AB10;PEGINTERFERON ALFA-2B;L03B1;INTERFERONS, ALPHA;27DEC2004:00:00:00;;1;
0000009222021;S;N;N;O;O;O;VIRAFERONPEG 0,080MG/0,5ML INJ;VIRAFERONPEG 80 MICROGRAMMES, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;;;;L03AB10;PEGINTERFERON ALFA-2B;L03B1;INTERFERONS, ALPHA;27DEC2004:00:00:00;;1;
0000009222222;D;N;O;N;N;N;AMIKACINE MYL 1G PDR INJ;AMIKACINE MYLAN 1 G, POUDRE POUR SOLUTION INJECTABLE EN FLACON;;;44;POUDRE;312;POUDRE POUR SOLUTION INJECTABLE;;;;J01GB06;AMIKACINE;J01K;AMINOSIDES;29JUL2004:00:00:00;;1;
0000009222647;D;N;O;N;O;O;DOXORUBICINE TVC 10 MG SOL INJ;DOXORUBICINE TEVA 10 MG/5 ML, SOLUTION INJECTABLE;;;48;SOLUTION;295;SOLUTION INJECTABLE;;;;L01DB01;DOXORUBICINE;L01D;ANTIBIOTIQUES ANTINEOPLASIQUES;11MAY2005:00:00:00;;1;
