Produit,Table,Libelle
PMSI HAD,T_HADaa_nnGRP,Table des GHT et des GHPC (groupage paprica)
PMSI HAD,T_HADaa_nnMED,Table Molécules onéreuses (fichier COMP)
PMSI HAD,T_HADaa_nnMEDATU,Fich comp médicament soumis à autorisation temporaire d'utilisation
PMSI HAD,T_HADaa_nnMEDCHL,Fich comp Médicament coûteux hors liste en sus et hors ATU
PMSI HAD,T_HADaa_nnS,Synthèses des Résumés Anonyme Par Sous-Séquence
PMSI HAD,T_HADaa_nnSTC,"Prise en charge par l'AM de chaque séjour, pour les établissements valorisés STC "
PMSI MCO,T_MCOaa_nnA,Acte CCAM
PMSI MCO,T_MCOaa_nnB,Description du Séjour
PMSI MCO,T_MCOaa_nnC,NIR patient et Dates de soin
PMSI MCO,T_MCOaa_nnCSTC,ACE NIR/date
PMSI MCO,T_MCOaa_nnD,Diagnostic associé
PMSI MCO,T_MCOaa_nnDIALP,Fich comp dialyse péritonéale en sus
PMSI MCO,T_MCOaa_nnDMIP,Fich comp dmi en sus
PMSI MCO,T_MCOaa_nnE,Etablissement
PMSI MCO,T_MCOaa_nnFA,OQN Entete facture
PMSI MCO,T_MCOaa_nnFASTC,ACE Entete facture
PMSI MCO,T_MCOaa_nnFB,OQN Prestation
PMSI MCO,T_MCOaa_nnFBSTC,ACE Prestation
PMSI MCO,T_MCOaa_nnFC,OQN Honoraire
PMSI MCO,T_MCOaa_nnFCSTC,ACE Honoraire
PMSI MCO,T_MCOaa_nnFH,OQN medicament en sus
PMSI MCO,T_MCOaa_nnFHSTC,ACE medicament en sus
PMSI MCO,T_MCOaa_nnFI,OQN Interruption séjour
PMSI MCO,T_MCOaa_nnFL,OQN biologie NABM
PMSI MCO,T_MCOaa_nnFLSTC,ACE biologie NABM
PMSI MCO,T_MCOaa_nnFM,OQN actes CCAM
PMSI MCO,T_MCOaa_nnFMSTC,ACE actes CCAM
PMSI MCO,T_MCOaa_nnFP,OQN DMI en sus
PMSI MCO,T_MCOaa_nnFPSTC,ACE DMI en sus
PMSI MCO,T_MCOaa_nnGV2018,Table de passage en version de GHM à partir de mars de l'année suivante
PMSI MCO,T_MCOaa_nnIVG,Fich comp IVG
PMSI MCO,T_MCOaa_nnMED,Fich comp medicament en sus
PMSI MCO,T_MCOaa_nnMEDATU,Fich comp médicament soumis à autorisation temporaire d'utilisation
PMSI MCO,T_MCOaa_nnMEDTHROMBO,Fich comp Méd. thrombolytiques pour le traitement des AVC ischémiques 
PMSI MCO,T_MCOaa_nnPIE,Fich comp prestation inter établissement
PMSI MCO,T_MCOaa_nnPORG,Fich comp prélévement d'organe
PMSI MCO,T_MCOaa_nnSTC,Prise en charge
PMSI MCO,T_MCOaa_nnUM,Unité médicale
PMSI MCO,T_MCOaa_nnUPGV,Types d'autorisations d'unités médicales à portée globale valides
PMSI MCO,T_MCOaa_nnVALO,Valorisation des séjours
PMSI MCO,T_MCOaa_nnVALOACE,Valorisation des actes et consultations externes
PMSI MCO,T_MCOaa_nnZ,Fich comp radiothérapie
PMSI RIM-P,T_RIPaa_nnC,chainage
PMSI RIM-P,T_RIPaa_nnCCAM,Actes CCAM
PMSI RIM-P,T_RIPaa_nnE,etablissement
PMSI RIM-P,T_RIPaa_nnFA,debut facture
PMSI RIM-P,T_RIPaa_nnFB,prestation hospitalière
PMSI RIM-P,T_RIPaa_nnFC,honoraire
PMSI RIM-P,T_RIPaa_nnFH,medicament
PMSI RIM-P,T_RIPaa_nnFI,interruption de sejour
PMSI RIM-P,T_RIPaa_nnFL,actes de Biologie
PMSI RIM-P,T_RIPaa_nnFM,ccam
PMSI RIM-P,T_RIPaa_nnFP,prothese
PMSI RIM-P,T_RIPaa_nnISOCONT,Fich Comp : Isolement et contention
PMSI RIM-P,T_RIPaa_nnR3AD,Diagnostic associé à l'acte
PMSI RIM-P,T_RIPaa_nnRSA,Résumé par séquence
PMSI RIM-P,T_RIPaa_nnRSAD,Diagnostic associé à la séquence
PMSI RIM-P,T_RIPaa_nnS,Synthèse du Séjour de Résumé par séquence anonymisé
PMSI RIM-P,T_RIPaa_nnSTC,Prise en charge patient pour etb DG
PMSI SSR,T_SSRaa_nnB,Description du Séjour
PMSI SSR,T_SSRaa_nnC,NIR patient et Dates de soin
PMSI SSR,T_SSRaa_nnCCAM,Acte CCAM
PMSI SSR,T_SSRaa_nnCSARR,actes du Catalogue spécifique des actes de rééducation et réadaptation
PMSI SSR,T_SSRaa_nnCSTC,ACE NIR/date
PMSI SSR,T_SSRaa_nnD,diagnostic associé
PMSI SSR,T_SSRaa_nnE,Etablissement
PMSI SSR,T_SSRaa_nnFA,OQN Entete facture
PMSI SSR,T_SSRaa_nnFASTC,ACE Entete facture
PMSI SSR,T_SSRaa_nnFB,OQN Prestation
PMSI SSR,T_SSRaa_nnFBSTC,ACE Prestation
PMSI SSR,T_SSRaa_nnFC,OQN Honoraire
PMSI SSR,T_SSRaa_nnFCSTC,ACE Honoraire
PMSI SSR,T_SSRaa_nnFH,OQN med en sus
PMSI SSR,T_SSRaa_nnFI,OQN Interruption séjour
PMSI SSR,T_SSRaa_nnFL,OQN actes de biologie (issus de la NABM)
PMSI SSR,T_SSRaa_nnFLSTC,ACE actes de biologie (issus de la NABM)
PMSI SSR,T_SSRaa_nnFM,OQN actes CCAM
PMSI SSR,T_SSRaa_nnFMSTC,ACE actes CCAM
PMSI SSR,T_SSRaa_nnFP,OQN DMI en sus
PMSI SSR,T_SSRaa_nnGME,GME
PMSI SSR,T_SSRaa_nnLEG,Erreurs détectées par la fonction groupage
PMSI SSR,T_SSRaa_nnMED,Med en sus
PMSI SSR,T_SSRaa_nnMEDATU,Med à autorisation temporaire d'utilisation
PMSI SSR,T_SSRaa_nnS,synthese
PMSI SSR,T_SSRaa_nnSTC,facturation patient DGF
