table,var,format,description,nomenclature
CT_DEP_AAAA_GN,DEP_SDV_HONOSPE_BSE,number (8),Soins autres spécialistes remboursables,-
CT_DEP_AAAA_GN,DEP_SDV_HONOSPE_MNT,number (8),Soins autres spécialistes remboursés,-
CT_DEP_AAAA_GN,DEP_SDV_INFIRMIER_BSE,number (8),Soins infirmiers remboursables,-
CT_DEP_AAAA_GN,DEP_SDV_INFIRMIER_MNT,number (8),Soins infirmiers remboursés,-
CT_DEP_AAAA_GN,DEP_SDV_KINE_BSE,number (8),Soins de kinésithérapie remboursables,-
CT_DEP_AAAA_GN,DEP_SDV_KINE_MNT,number (8),Soins de kinésithérapie remboursés,-
CT_DEP_AAAA_GN,DEP_SDV_LPP_BSE,number (8),Autres produits de santé remboursables,-
CT_DEP_AAAA_GN,DEP_SDV_LPP_MNT,number (8),Autres produits de santé remboursés,-
CT_DEP_AAAA_GN,DEP_SDV_PHARMACIE_BSE,number (8),Médicaments remboursables,-
CT_DEP_AAAA_GN,DEP_SDV_PHARMACIE_MNT,number (8),Médicaments remboursés,-
CT_DEP_AAAA_GN,DEP_SDV_SAGEFEMME_BSE,number (8),Soins de sages-femmes remboursables,-
CT_DEP_AAAA_GN,DEP_SDV_SAGEFEMME_MNT,number (8),Soins de sages-femmes remboursés,-
CT_DEP_AAAA_GN,DEP_SDV_TRANSPORT_BSE,number (8),Transports remboursables,-
CT_DEP_AAAA_GN,DEP_SDV_TRANSPORT_MNT,number (8),Transports remboursés,-
CT_DEP_AAAA_GN,TOT_DEP_BSE,number (8),Total des dépenses remboursables,-
CT_DEP_AAAA_GN,TOT_DEP_HOP_BSE,number (8),Total hospitalisations (tous secteurs) remboursables,-
CT_DEP_AAAA_GN,TOT_DEP_HOP_MNT,number (8),Total hospitalisations (tous secteurs) remboursées,-
CT_DEP_AAAA_GN,TOT_DEP_MNT,number (8),Total des dépenses remboursées,-
CT_DEP_AAAA_GN,TOT_DEP_PRESESPECE_BSE,number (8),Total prestations en espèces remboursables,-
CT_DEP_AAAA_GN,TOT_DEP_PRESESPECE_MNT,number (8),Total prestations en espèces remboursées,-
CT_DEP_AAAA_GN,TOT_DEP_SDV_BSE,number (8),Total soins de ville remboursables,-
CT_DEP_AAAA_GN,TOT_DEP_SDV_MNT,number (8),Total soins de ville remboursés,-
CT_DEP_AAAA_GN,age,number (8),Age du bénéficiaire,-
CT_DEP_AAAA_GN,ben_aah_top,number (3),Bénéficiaire de l'allocation adulte handicapé,-
CT_DEP_AAAA_GN,ben_acs_top,number (3),Bénéficiaire de l'aide à la complémentaire santé,-
CT_DEP_AAAA_GN,ben_dcd_dte,number (8),Date de décès du bénéficiaire,-
CT_DEP_AAAA_GN,ben_nai_ann,string (4),Année de naissance du bénéficiaire,-
CT_DEP_AAAA_GN,ben_sex_cod,number (3),Sexe du bénéficiaire,-
CT_DEP_AAAA_GN,cla_age_5,string (5),Classes d'âge du bénéficiaire (quinquennales),-
CT_DEP_AAAA_GN,cla_age_ct,string (5),Classes d'âge du bénéficiaire (cartographie),-
CT_DEP_AAAA_GN,cmu,number (3),Bénéficiaire de la Couverture Maladie Universelle complémentaire,-
CT_DEP_AAAA_GN,dcd_3112,number (8),Bénéficiaire décédé au 31 décembre de l'année N,-
CT_DEP_AAAA_GN,dep_OQN_MCOSEJOUR_BSE,number (8),Hospitalisations séjour MCO secteur privé remboursables,-
CT_DEP_AAAA_GN,dep_OQN_MCOSEJOUR_MNT,number (8),Hospitalisations séjour MCO secteur privé remboursées,-
CT_DEP_AAAA_GN,dep_OQN_PSY_BSE,number (8),Hospitalisations en psychiatrie secteur privé remboursables,-
CT_DEP_AAAA_GN,dep_OQN_PSY_MNT,number (8),Hospitalisations en psychiatrie secteur privé remboursées,-
CT_DEP_AAAA_GN,dep_OQN_SSR_BSE,number (8),Hospitalisations en SSR secteur privé remboursables,-
CT_DEP_AAAA_GN,dep_OQN_SSR_MNT,number (8),Hospitalisations en SSR secteur privé remboursées,-
CT_DEP_AAAA_GN,dpt,string (3),Département de résidence du bénéficiaire,-
CT_DEP_AAAA_GN,id_carto,string (18),Identifiant bénéficiaire cartographie,-
CT_DEP_AAAA_GN,new_cod_reg,string (2),Région de résidence du bénéficiaire (nouveau codage),-
CT_DEP_AAAA_GN,old_cod_reg,string (2),Région de résidence du bénéficiaire (ancien codage),-
CT_DEP_AAAA_GN,regime,string (6),Régime du bénéficiaire,-
CT_DEP_AAAA_GN,source,string (3),Source de provenance du bénéficiaire,-
CT_DEP_AAAA_GN,version,string (2),Version de la cartographie,-
CT_IDE_AAAA_GN,ben_nir_psa,string (17),Identifiant anonyme du patient dans le SNIIRAM,-
CT_IDE_AAAA_GN,ben_rng_gem,number (8),Rang de naissance,-
CT_IDE_AAAA_GN,id_carto,string (18),Identifiant bénéficiaire cartographie,-
CT_IDE_AAAA_GN,version,string (2),Version de la cartographie,-
CT_IND_AAAA_GN,age,number (8),Age du bénéficiaire,-
CT_IND_AAAA_GN,ben_aah_top,number (3),Bénéficiaire de l'allocation adulte handicapé,-
CT_IND_AAAA_GN,ben_acs_top,number (3),Bénéficiaire de l'aide à la complémentaire santé,-
CT_IND_AAAA_GN,ben_dcd_dte,number (8),Date de décés du bénéficiaire,-
CT_IND_AAAA_GN,ben_nai_ann,string (4),Année de naissance du bénéficiaire,-
CT_IND_AAAA_GN,ben_sex_cod,number (3),Sexe du bénéficiaire,-
CT_IND_AAAA_GN,cla_age_5,string (5),Classes d'âge du bénéficiaire (quinquennales),-
CT_IND_AAAA_GN,cla_age_ct,string (5),Classes d'âge du bénéficiaire (cartographie),-
CT_IND_AAAA_GN,cmu,number (3),Bénéficiaire de la Couverture Maladie Universelle complémentaire,-
CT_IND_AAAA_GN,dcd_3112,number (8),Bénéficiaire décédé au 31 décembre de l'année N,-
CT_IND_AAAA_GN,dpt,string (3),Département de résidence du bénéficiaire,-
CT_IND_AAAA_GN,id_carto,string (18),Identifiant bénéficiaire cartographie,-
CT_IND_AAAA_GN,new_cod_reg,string (2),Région de résidence du bénéficiaire (nouveau codage),-
CT_IND_AAAA_GN,old_cod_reg,string (2),Région de résidence du bénéficiaire (ancien codage),-
CT_IND_AAAA_GN,regime,string (6),Régime du bénéficiaire,-
CT_IND_AAAA_GN,source,string (3),Source de provenance du bénéficiaire,-
CT_IND_AAAA_GN,sup_ABPCOIr_ind_nnexclu,number (3),Maladies respiratoires chroniques (avec ou sans mucoviscidose),-
CT_IND_AAAA_GN,sup_ACorti_med,number (3),"Traitement corticoide (hors pathologies, traitements, maternité ou hospitalisations)",-
CT_IND_AAAA_GN,sup_ACorti_med_nnexclu,number (3),"Traitement corticoide (avec ou sans pathologies, traitements, maternité ou hospitalisations)",-
CT_IND_AAAA_GN,sup_AINS_med,number (3),"Traitement AINS (hors pathologies, traitements, maternité ou hospitalisations)",-
CT_IND_AAAA_GN,sup_AINS_med_nnexclu,number (3),"Traitement AINS (avec ou sans pathologies, traitements, maternité ou hospitalisations)",-
CT_IND_AAAA_GN,sup_ALDAutr_0_ind,number (3),Autres affections de longue durée non retrouvées ou non ventilées,-
CT_IND_AAAA_GN,sup_ALDAutr_10_ind,number (3),"Autres affections de longue durée pour hémoglobinopathies, hémolyses chroniques constitutionnelles et acquises sévères",-
CT_IND_AAAA_GN,sup_ALDAutr_19_ind,number (3),Autres affections de longue durée pour néphropathie chronique grave et syndrome néphrotique primitif (hors IRCT),-
CT_IND_AAAA_GN,sup_ALDAutr_23_ind,number (3),Autres affections de longue durée pour affections psychiatriques (anomalies chromosomiques),-
CT_IND_AAAA_GN,sup_ALDAutr_26_ind,number (3),Autres affections de longue durée pour scoliose structurale évolutive,-
CT_IND_AAAA_GN,sup_ALDAutr_29_ind,number (3),"Autres affections de longue durée pour tuberculose active, lèpre",-
CT_IND_AAAA_GN,sup_ALDAutr_2_ind,number (3),Autres affections de longue durée pour insuffisances médullaires et autres cytopénies chroniques,-
CT_IND_AAAA_GN,sup_ALDAutr_30_ind,number (3),Autres affections de longue durée pour tumeurs à évolution imprévisible ou inconnue,-
CT_IND_AAAA_GN,sup_ALDAutr_31_ind,number (3),Autres affections de longue durée hors liste (31),-
CT_IND_AAAA_GN,sup_ALDAutr_32_ind,number (3),Autres affections de longue durée pour polypathologie (32),-
CT_IND_AAAA_GN,sup_ALDAutr_4_ind,number (3),Autres affections de longue durée pour bilharziose compliquée,-
CT_IND_AAAA_GN,sup_Antalg_med,number (3),"Traitement antalgique (hors pathologies, traitements, maternité ou hospitalisations)",-
CT_IND_AAAA_GN,sup_Antalg_med_nnexclu,number (3),"Traitement antalgique (avec ou sans pathologies, traitements, maternité ou hospitalisations)",-
CT_IND_AAAA_GN,sup_Arthros_med,number (3),"Traitement antalgique ou anti-inflammatoire (hors pathologies, traitements, maternité ou hospitalisations)",-
CT_IND_AAAA_GN,sup_Arthros_med_nnexclu,number (3),"Traitement antalgique ou anti-inflammatoire (avec ou sans pathologies, traitements, maternité ou hospitalisations)",-
CT_IND_AAAA_GN,sup_CanAct_cat,number (3),Cancers actifs,-
CT_IND_AAAA_GN,sup_CanAutr_cat,number (3),Autres cancers,-
CT_IND_AAAA_GN,sup_CanColo_cat,number (3),Cancer du côlon,-
CT_IND_AAAA_GN,sup_CanPoum_cat,number (3),Cancer du poumon,-
CT_IND_AAAA_GN,sup_CanPros_cat,number (3),Cancer de la prostate,-
CT_IND_AAAA_GN,sup_CanSeiF_cat,number (3),Cancer du sein de la femme,-
CT_IND_AAAA_GN,sup_CanSur_cat,number (3),Cancers sous surveillance,-
CT_IND_AAAA_GN,sup_Can_cat,number (3),Cancers,-
CT_IND_AAAA_GN,sup_CvAVC_cat,number (3),Accident vasculaire cérébral,-
CT_IND_AAAA_GN,sup_CvIC_cat,number (3),Insuffisance cardiaque,-
CT_IND_AAAA_GN,sup_CvIDMCor_cat,number (3),Maladie coronaire,-
CT_IND_AAAA_GN,sup_Cv_cat,number (3),Maladies cardioneurovasculaires,-
CT_IND_AAAA_GN,sup_Cvaig_cat,number (3),Maladies cardioneurovasculaires aigues,-
CT_IND_AAAA_GN,sup_Cvchr_cat,number (3),Maladies cardioneurovasculaires chroniques,-
CT_IND_AAAA_GN,sup_FAntiHTA_med_nnexclu,number (3),Traitements antihypertenseurs (avec ou sans pathologies),-
CT_IND_AAAA_GN,sup_FHypoLi_med_nnexclu,number (3),Traitements hypolipémiants (avec ou sans pathologies),-
CT_IND_AAAA_GN,sup_FInsulNO_ind,number (3),Diabète non insulino-traité,-
CT_IND_AAAA_GN,sup_FInsul_ind,number (3),Diabète insulino-traité,-
CT_IND_AAAA_GN,sup_FRVDiab_cat,number (3),Diabète (avec ou sans pathologies) ou traitements du risque vasculaire (hors pathologies),-
CT_IND_AAAA_GN,sup_FRV_cat,number (3),Traitements du risque vasculaire (hors pathologies),-
CT_IND_AAAA_GN,sup_FRV_cat_nnexclu,number (3),Traitements du risque vasculaire (avec ou sans pathologies),-
CT_IND_AAAA_GN,sup_HFoiPan_ind_nnexclu,number (3),Maladies du foie ou du pancréas (avec ou sans mucoviscidose),-
CT_IND_AAAA_GN,sup_HFoi_ind,number (3),Maladies du foie (hors mucoviscidose),-
CT_IND_AAAA_GN,sup_HPan_ind,number (3),Maladies du pancréas (hors mucoviscidose),-
CT_IND_AAAA_GN,sup_IRHemop_ind_exclu,number (3),Hémophilie,-
CT_IND_AAAA_GN,sup_IRTrHemoSev_ind,number (3),Autres troubles de l'hémostase graves,-
CT_IND_AAAA_GN,sup_InfRarVIH_cat,number (3),Maladies inflammatoires ou rares ou VIH ou SIDA,-
CT_IND_AAAA_GN,sup_Inflam_cat,number (3),Maladies inflammatoires chroniques,-
CT_IND_AAAA_GN,sup_Materni_ind_exclu,number (3),Maternité (hors pathologies et traitements),-
CT_IND_AAAA_GN,sup_NDemAlz_ind,number (3),Maladie d'Alzheimer,-
CT_IND_AAAA_GN,sup_NDemAut_ind,number (3),Autres démences,-
CT_IND_AAAA_GN,sup_NDemPar_cat,number (3),Maladies dégénératives (démences et Parkinson),-
CT_IND_AAAA_GN,sup_NeuDeg_cat,number (3),Maladies neurologiques ou dégénératives,-
CT_IND_AAAA_GN,sup_Neuro_cat,number (3),Maladies neurologiques,-
CT_IND_AAAA_GN,sup_PAddAlc_ind,number (3),Troubles addictifs liés à l'utilisation d'alcool,-
CT_IND_AAAA_GN,sup_PAddAut_ind,number (3),"Troubles addictifs (hormis ceux liés à l'utilisation d'alcool, du tabac et du cannabis)",-
CT_IND_AAAA_GN,sup_PAddCan_ind,number (3),Troubles addictifs liés à l'utilisation du cannabis,-
CT_IND_AAAA_GN,sup_PAddTab_ind,number (3),Troubles addictifs liés à l'utilisation du tabac,-
CT_IND_AAAA_GN,sup_PAntiDe_med_nnexclu,number (3),Traitements antidépresseurs ou régulateurs de l'humeur (avec ou sans pathologies),-
CT_IND_AAAA_GN,sup_PAnxiol_med_nnexclu,number (3),Traitements anxiolytiques (avec ou sans pathologies),-
CT_IND_AAAA_GN,sup_PHypnot_med_nnexclu,number (3),Traitements hypnotiques (avec ou sans pathologies),-
CT_IND_AAAA_GN,sup_PNeurol_med_nnexclu,number (3),Traitements neuroleptiques (avec ou sans pathologies),-
CT_IND_AAAA_GN,sup_PTrBipo_ind,number (3),Troubles maniaques et bipolaires,-
CT_IND_AAAA_GN,sup_PTrDHum_ind,number (3),Dépression et autres troubles de l'humeur,-
CT_IND_AAAA_GN,sup_PTrNevr_ind,number (3),Troubles névrotiques liés au stress et somatoformes,-
CT_IND_AAAA_GN,sup_PatMatHos_cat,number (3),"Au moins une pathologie, traitement, maternité ou hospitalisation",-
CT_IND_AAAA_GN,sup_PatMat_cat,number (3),"Au moins une pathologie, traitement ou maternité",-
CT_IND_AAAA_GN,sup_Patho_cat_exclu,number (3),Au moins une pathologie,-
CT_IND_AAAA_GN,sup_Patho_cat_nnexclu,number (3),Au moins une pathologie ou traitement,-
CT_IND_AAAA_GN,sup_Petit_Conso,number (8),"Pas de pathologies, traitements, maternité ou hospitalisations",-
CT_IND_AAAA_GN,sup_Petit_Conso_exclu,number (8),"Pas de pathologies, traitements, maternité, hospitalisations ou traitement antalgique ou anti-inflammatoire",-
CT_IND_AAAA_GN,sup_PopTot_cat,number (3),Total consommants régime général + sections locales mutualistes,-
CT_IND_AAAA_GN,sup_PsyMed_cat,number (3),Traitements psychotropes (hors pathologies),-
CT_IND_AAAA_GN,sup_PsyMed_cat_nnexclu,number (3),Traitements psychotropes (avec ou sans pathologies),-
CT_IND_AAAA_GN,sup_PsyPat_cat,number (3),Maladies psychiatriques,-
CT_IND_AAAA_GN,sup_Psy_cat,number (3),Maladies psychiatriques ou psychotropes,-
CT_IND_AAAA_GN,sup_RDiaCou_ind,number (3),Dialyse courte,-
CT_IND_AAAA_GN,sup_RDiaPer_ind,number (3),Dialyse péritonéale chronique,-
CT_IND_AAAA_GN,sup_RHemDia_ind,number (3),Hémodialyse chronique,-
CT_IND_AAAA_GN,sup_RIRCT_cat,number (3),Insuffisance rénale chronique terminale,-
CT_IND_AAAA_GN,sup_Rares_cat,number (3),Maladies rares,-
CT_IND_AAAA_GN,sup_hospit_ponct,number (3),"Hospitalisations ponctuelles (avec ou sans pathologies, traitements ou maternité)",-
CT_IND_AAAA_GN,sup_hospit_ponct_exclu,number (3),"Hospitalisations ponctuelles (hors pathologies, traitements ou maternité)",-
CT_IND_AAAA_GN,top_ABPCOIr_ind,number (3),Maladies respiratoires chroniques (hors mucoviscidose),-
CT_IND_AAAA_GN,top_ALDAutr_ind,number (3),Autres affections de longue durée (dont 31 et 32),-
CT_IND_AAAA_GN,top_CanAutr_act,number (8),Autres cancers actifs,-
CT_IND_AAAA_GN,top_CanAutr_sur,number (8),Autres cancers sous surveillance,-
CT_IND_AAAA_GN,top_CanColo_act,number (8),Cancer du côlon actif,-
CT_IND_AAAA_GN,top_CanColo_sur,number (8),Cancer du côlon sous surveillance,-
CT_IND_AAAA_GN,top_CanPoum_act,number (8),Cancer du poumon actif,-
CT_IND_AAAA_GN,top_CanPoum_sur,number (8),Cancer du poumon sous surveillance,-
CT_IND_AAAA_GN,top_CanPros_act,number (8),Cancer de la prostate actif,-
CT_IND_AAAA_GN,top_CanPros_sur,number (8),Cancer de la prostate sous surveillance,-
CT_IND_AAAA_GN,top_CanSeiF_act,number (8),Cancer du sein de la femme actif,-
CT_IND_AAAA_GN,top_CanSeiF_sur,number (8),Cancer du sein de la femme sous surveillance,-
CT_IND_AAAA_GN,top_CvAOMI_ind,number (3),Artériopathie oblitérante du membre inférieur,-
CT_IND_AAAA_GN,top_CvAVC_aig,number (3),Accident vasculaire cérébral aigu,-
CT_IND_AAAA_GN,top_CvAVC_seq,number (3),Séquelle d'accident vasculaire cérébral,-
CT_IND_AAAA_GN,top_CvAutre_ind,number (3),Autres affections cardiovasculaires,-
CT_IND_AAAA_GN,top_CvCoron_chr,number (3),Maladie coronaire chronique,-
CT_IND_AAAA_GN,top_CvEmbol_aig,number (3),Embolie pulmonaire aiguë,-
CT_IND_AAAA_GN,top_CvIC_aig,number (3),Insuffisance cardiaque aiguë,-
CT_IND_AAAA_GN,top_CvIC_chr,number (3),Insuffisance cardiaque chronique,-
CT_IND_AAAA_GN,top_CvIDM_aig,number (3),Syndrome coronaire aigu,-
CT_IND_AAAA_GN,top_CvTrRyC_ind,number (3),Troubles du rythme ou de la conduction cardiaque,-
CT_IND_AAAA_GN,top_CvValve_ind,number (3),Maladie valvulaire,-
CT_IND_AAAA_GN,top_FAntiHTA_med,number (3),Traitements antihypertenseurs (hors pathologies),-
CT_IND_AAAA_GN,top_FDiabet_ind,number (3),Diabète,-
CT_IND_AAAA_GN,top_FHypoLi_med,number (3),Traitements hypolipémiants (hors pathologies),-
CT_IND_AAAA_GN,top_HFoiPan_ind,number (3),Maladies du foie ou du pancréas (hors mucoviscidose),-
CT_IND_AAAA_GN,top_IRCrRCH_ind,number (3),Maladies inflammatoires chroniques intestinales,-
CT_IND_AAAA_GN,top_IRHemop_ind,number (3),Hémophilie ou troubles de l'hémostase graves,-
CT_IND_AAAA_GN,top_IRMMHer_ind,number (3),Maladies métaboliques héréditaires ou amylose,-
CT_IND_AAAA_GN,top_IRMuco_ind,number (3),Mucoviscidose,-
CT_IND_AAAA_GN,top_IRPolyA_ind,number (3),Polyarthrite rhumatoïde et maladies apparentées,-
CT_IND_AAAA_GN,top_IRSponA_ind,number (3),Spondylarthrite ankylosante et maladies apparentées,-
CT_IND_AAAA_GN,top_IRVih_ind,number (3),VIH ou SIDA,-
CT_IND_AAAA_GN,top_IRautre_ind,number (3),Autres maladies inflammatoires chroniques,-
CT_IND_AAAA_GN,top_Materni_ind,number (3),Maternité (avec ou sans pathologies),-
CT_IND_AAAA_GN,top_NAutres_ind,number (3),Autres affections neurologiques,-
CT_IND_AAAA_GN,top_NDemenc_ind,number (3),Démences (dont maladie d'Alzheimer),-
CT_IND_AAAA_GN,top_NEpilep_ind,number (3),Epilepsie,-
CT_IND_AAAA_GN,top_NMyoMya_ind,number (3),Myopathie ou myasthénie,-
CT_IND_AAAA_GN,top_NParapl_ind,number (3),Paraplégie,-
CT_IND_AAAA_GN,top_NParkin_ind,number (3),Maladie de Parkinson,-
CT_IND_AAAA_GN,top_NSePlaq_ind,number (3),Sclérose en plaque,-
CT_IND_AAAA_GN,top_PAddict_ind,number (3),Troubles addictifs,-
CT_IND_AAAA_GN,top_PAntiDe_med,number (3),Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies),-
CT_IND_AAAA_GN,top_PAnxiol_med,number (3),Traitements anxiolytiques (hors pathologies),-
CT_IND_AAAA_GN,top_PDepNev_ind,number (3),Troubles névrotiques et de l'humeur,-
CT_IND_AAAA_GN,top_PHypnot_med,number (3),Traitements hypnotiques (hors pathologies),-
CT_IND_AAAA_GN,top_PNeurol_med,number (3),Traitements neuroleptiques (hors pathologies),-
CT_IND_AAAA_GN,top_PRetard_ind,number (3),Déficience mentale,-
CT_IND_AAAA_GN,top_PTrEnfa_ind,number (3),Troubles psychiatriques débutant dans l'enfance,-
CT_IND_AAAA_GN,top_PsyAutr_ind,number (3),Autres troubles psychiatriques,-
CT_IND_AAAA_GN,top_Psychos_ind,number (3),Troubles psychotiques,-
CT_IND_AAAA_GN,top_RDialyse_ind,number (3),Dialyse chronique,-
CT_IND_AAAA_GN,top_Rtrans_aig,number (3),Transplantation rénale,-
CT_IND_AAAA_GN,top_Rtrans_chr,number (3),Suivi de transplantation rénale,-
CT_IND_AAAA_GN,version,string (2),Version de la cartographie,-
DA_PRA_R,ACT_CAB_COD,string (2),Code cabinet d'un praticien,-
DA_PRA_R,CAB_REF_DSD,string (8),Date début du code options conventionnelles,-
DA_PRA_R,CAB_REF_DSF,string (8),Date fin du code options conventionnelles,-
DA_PRA_R,CAI_NUM,string (3),Cpam gestionnaire du P.S.,-
DA_PRA_R,CES_CES_COD,string (2),Code diplôme du P.S,-
DA_PRA_R,CNV_CNV_COD,string (1),Code convention nationale du P.S.,-
DA_PRA_R,DTE_ANN_TRT,string (4),Exercice de traitement,-
DA_PRA_R,DTE_MOI_FIN,string (2),Mois de traitement,-
DA_PRA_R,EXC_EFF_DSD,string (8),Date effet nat. exercice du P.S,-
DA_PRA_R,EXC_EXC_NAT,string (2),Nature d exercice,-
DA_PRA_R,EXC_FIN_MTF,string (1),Motif de fin d'exercice libéral,-
DA_PRA_R,FIS_CAI_NUM,string (3),CPAM resp. relevé fisc. du P.S.,-
DA_PRA_R,FIS_PFS_NUM,string (8),Numéro chainage fiscal d'un P.S.,-
DA_PRA_R,FIS_URC_COD,string (2),URCAM de chaînage fiscal,-
DA_PRA_R,IPP_ANN_NAI,string (4),Année de naissance du P.S.,-
DA_PRA_R,IPP_IDV_NUM,string (13),N.I.R. du P.S,-
DA_PRA_R,IPP_SEX_COD,string (1),Sexe du PS,-
DA_PRA_R,LAB_CAT_COD,string (2),Code catégorie laboratoire,-
DA_PRA_R,PFS_ACP_DSD,string (8),Date de début de spécialité Médicale PS,-
DA_PRA_R,PFS_AMB_NBR,string (2),Effectif du véhicule de type ambulance,-
DA_PRA_R,PFS_COD_POS,string (5),Code postal adr. prof du P.S.,-
DA_PRA_R,PFS_EXC_COM,string (3),Code commune adr. prof du P.S.,-
DA_PRA_R,PFS_FIN_NUM,string (8),NUMERO FINESS,-
DA_PRA_R,PFS_INS_DSD,string (8),date d'installation d'un P.S,-
DA_PRA_R,PFS_LIB_COM,string (30),Lib. commune adr. prof. du P.S,-
DA_PRA_R,PFS_MAJ_DAT,string (2),Mois de dernière mise à jour durant l'exercice,-
DA_PRA_R,PFS_PFS_NUM,string (8),N° du PS,-
DA_PRA_R,PFS_PRA_SPE,string (2),Spécialité Médicale PS,-
DA_PRA_R,PFS_SCN_COD,string (5),Code association du P.S.,-
DA_PRA_R,PFS_SPE_ANT,string (2),Spécialité Médicale PS antérieure,-
DA_PRA_R,PFS_TXI_NBR,string (2),Effectif du véhicule de type Taxi,-
DA_PRA_R,PFS_VSL_NBR,string (2),Effectif du véhicule de type VSL,-
DA_PRA_R,PRA_CIV_COD,string (1),Code civilité du PS,-
DA_PRA_R,PRA_DIP_NBR,string (2),Nb de salariés diplômés,-
DA_PRA_R,PRA_IDP_DDP,string (1),Droit à dépassement,-
DA_PRA_R,PRA_IDP_SAL,string (1),Top salarié,-
DA_PRA_R,PRA_MEP_COD,string (2),Mode d'exercice particulier,-
DA_PRA_R,PRA_SAL_NBR,string (2),Nb de salariés non diplômés,-
DA_PRA_R,PRA_SAL_SPE1,string (1),Spécialité salariés 1,-
DA_PRA_R,PRA_SAL_SPE2,string (1),Spécialité salariés 2,-
DA_PRA_R,PRA_SAL_SPE3,string (1),Spécialité salariés 3,-
DA_PRA_R,PRA_SAL_SPE4,string (1),Spécialité salariés 4,-
DA_PRA_R,PRA_SAL_SPE5,string (1),Spécialité salariés 5,-
DA_PRA_R,PRA_SAL_SPE6,string (1),Spécialité salariés 6,-
DA_PRA_R,PRA_TOP_REF,string (1),Code options conventionnelles,-
